CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6348,000;2,000;0,032;0,240;0,030
SP00003;SP;6223,000;3562,000;2661,000;3339,000;2,000;0,060;0,240;0,056
SP00004;SP;6071,000;4117,000;1954,000;3823,000;4,000;0,105;0,480;0,097
SP00006;SP;6187,000;4196,000;1991,000;3968,000;1,000;0,025;0,120;0,024
SP00007;SP;9748,000;5727,000;4021,000;5355,000;3,000;0,056;0,360;0,052
SP00009;SP;5809,000;3876,000;1933,000;3718,000;1,000;0,027;0,120;0,026
SP00010;SP;9269,000;6039,000;3230,000;5790,000;4,000;0,069;0,480;0,066
SP00011;SP;7822,000;5249,000;2573,000;4994,000;2,000;0,040;0,240;0,038
SP00014;SP;7153,000;4433,000;2720,000;4097,000;3,000;0,073;0,360;0,068
SP00016;SP;4976,000;3125,000;1851,000;2880,000;1,000;0,035;0,120;0,032
SP00017;SP;6847,000;4140,000;2707,000;3867,000;2,000;0,052;0,240;0,048
SP00018;SP;5238,000;3256,000;1982,000;3039,000;1,000;0,033;0,120;0,031
SP00019;SP;4798,000;3546,000;1252,000;3411,000;1,000;0,029;0,120;0,028
SP00021;SP;3914,000;2744,000;1170,000;2564,000;1,000;0,039;0,120;0,036
SP00028;SP;8070,000;5175,000;2895,000;4942,000;1,000;0,020;0,120;0,019
SP00029;SP;17797,000;12599,000;5198,000;12178,000;2,000;0,016;0,240;0,016
SP00032;SP;11991,000;8507,000;3484,000;8299,000;1,000;0,012;0,120;0,012
SP00033;SP;7735,000;5271,000;2464,000;4985,000;1,000;0,020;0,120;0,019
SP00034;SP;5401,000;3246,000;2155,000;3075,000;1,000;0,033;0,120;0,031
SP00035;SP;5608,000;3859,000;1749,000;3597,000;1,000;0,028;0,120;0,026
SP00038;SP;8044,000;5650,000;2394,000;5390,000;1,000;0,019;0,120;0,018
SP00039;SP;6391,000;4336,000;2055,000;4105,000;2,000;0,049;0,240;0,046
SP00042;SP;3797,000;2921,000;876,000;2792,000;1,000;0,036;0,120;0,034
SP00044;SP;7789,000;5743,000;2046,000;5545,000;4,000;0,072;0,480;0,070
SP00046;SP;8211,000;6097,000;2114,000;5898,000;1,000;0,017;0,120;0,016
SP00047;SP;4672,000;3348,000;1324,000;3176,000;2,000;0,063;0,240;0,060
SP00051;SP;9919,000;6324,000;3595,000;6155,000;2,000;0,032;0,240;0,032
SP00052;SP;5165,000;3133,000;2032,000;2935,000;1,000;0,034;0,120;0,032
SP00053;SP;6007,000;3594,000;2413,000;3324,000;1,000;0,030;0,120;0,028
SP00054;SP;5696,000;3753,000;1943,000;3408,000;2,000;0,059;0,240;0,053
SP00055;SP;8226,000;5391,000;2835,000;4961,000;1,000;0,020;0,120;0,019
SP00058;SP;5387,000;3548,000;1839,000;3268,000;3,000;0,092;0,360;0,085
SP00061;SP;5110,000;3413,000;1697,000;3165,000;2,000;0,063;0,240;0,059
SP00071;SP;6547,000;4082,000;2465,000;3719,000;2,000;0,054;0,240;0,049
SP00072;SP;4862,000;3103,000;1759,000;2890,000;2,000;0,069;0,240;0,064
SP00073;SP;14871,000;9817,000;5054,000;9320,000;1,000;0,011;0,120;0,010
SP00079;SP;6753,000;5126,000;1627,000;4740,000;1,000;0,021;0,120;0,020
SP00084;SP;8514,000;5960,000;2554,000;5561,000;1,000;0,018;0,120;0,017
SP00085;SP;7942,000;5522,000;2420,000;5162,000;5,000;0,097;0,600;0,091
SP00088;SP;8110,000;5666,000;2444,000;5310,000;3,000;0,056;0,360;0,053
SP00091;SP;6781,000;4661,000;2120,000;4328,000;1,000;0,023;0,120;0,021
SP00098;SP;5038,000;3701,000;1337,000;3346,000;1,000;0,030;0,120;0,027
SP00101;SP;8957,000;6780,000;2177,000;6355,000;1,000;0,016;0,120;0,015
SP00114;SP;11524,000;7280,000;4244,000;6980,000;1,000;0,014;0,120;0,014
