CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6348,000;66,000;1,040;0,059;0,995
SP00002;SP;8476,000;5539,000;2937,000;5301,000;44,000;0,830;0,039;0,794
SP00003;SP;6223,000;3562,000;2661,000;3339,000;55,000;1,647;0,049;1,544
SP00004;SP;6071,000;4117,000;1954,000;3823,000;83,000;2,171;0,074;2,016
SP00005;SP;7574,000;4851,000;2723,000;4540,000;80,000;1,762;0,071;1,649
SP00006;SP;6187,000;4196,000;1991,000;3968,000;57,000;1,436;0,051;1,358
SP00007;SP;9748,000;5727,000;4021,000;5355,000;99,000;1,849;0,088;1,729
SP00008;SP;4250,000;2710,000;1540,000;2536,000;39,000;1,538;0,035;1,439
SP00009;SP;5809,000;3876,000;1933,000;3718,000;25,000;0,672;0,022;0,645
SP00010;SP;9269,000;6039,000;3230,000;5790,000;53,000;0,915;0,047;0,878
SP00011;SP;7822,000;5249,000;2573,000;4994,000;56,000;1,121;0,050;1,067
SP00012;SP;9441,000;6116,000;3325,000;5769,000;85,000;1,473;0,076;1,390
SP00013;SP;4269,000;2958,000;1311,000;2829,000;27,000;0,954;0,024;0,913
SP00014;SP;7153,000;4433,000;2720,000;4097,000;82,000;2,001;0,073;1,850
SP00015;SP;4890,000;3200,000;1690,000;2952,000;49,000;1,660;0,044;1,531
SP00016;SP;4976,000;3125,000;1851,000;2880,000;65,000;2,257;0,058;2,080
SP00017;SP;6847,000;4140,000;2707,000;3867,000;64,000;1,655;0,057;1,546
SP00018;SP;5238,000;3256,000;1982,000;3039,000;61,000;2,007;0,054;1,873
SP00019;SP;4798,000;3546,000;1252,000;3411,000;34,000;0,997;0,030;0,959
SP00020;SP;1562,000;1060,000;502,000;990,000;19,000;1,919;0,017;1,792
SP00021;SP;3914,000;2744,000;1170,000;2564,000;39,000;1,521;0,035;1,421
SP00022;SP;5474,000;3858,000;1616,000;3481,000;82,000;2,356;0,073;2,125
SP00023;SP;2029,000;1448,000;581,000;1349,000;32,000;2,372;0,028;2,210
SP00024;SP;629,000;454,000;175,000;432,000;3,000;0,694;0,003;0,661
SP00025;SP;3193,000;2227,000;966,000;2126,000;16,000;0,753;0,014;0,718
SP00026;SP;1515,000;1057,000;458,000;991,000;16,000;1,615;0,014;1,514
SP00027;SP;3011,000;1933,000;1078,000;1858,000;20,000;1,076;0,018;1,035
SP00028;SP;8070,000;5175,000;2895,000;4942,000;39,000;0,789;0,035;0,754
SP00029;SP;17797,000;12599,000;5198,000;12178,000;69,000;0,567;0,061;0,548
SP00030;SP;2911,000;1924,000;987,000;1835,000;29,000;1,580;0,026;1,507
SP00031;SP;6412,000;4268,000;2144,000;4024,000;49,000;1,218;0,044;1,148
SP00032;SP;11991,000;8507,000;3484,000;8299,000;49,000;0,590;0,044;0,576
SP00033;SP;7735,000;5271,000;2464,000;4985,000;63,000;1,264;0,056;1,195
SP00034;SP;5401,000;3246,000;2155,000;3075,000;42,000;1,366;0,037;1,294
SP00035;SP;5608,000;3859,000;1749,000;3597,000;44,000;1,223;0,039;1,140
SP00036;SP;6716,000;4776,000;1940,000;4617,000;44,000;0,953;0,039;0,921
SP00037;SP;5446,000;3922,000;1524,000;3788,000;38,000;1,003;0,034;0,969
SP00038;SP;8044,000;5650,000;2394,000;5390,000;49,000;0,909;0,044;0,867
SP00039;SP;6391,000;4336,000;2055,000;4105,000;41,000;0,999;0,036;0,946
SP00040;SP;7288,000;5434,000;1854,000;5235,000;29,000;0,554;0,026;0,534
SP00041;SP;4585,000;3191,000;1394,000;3059,000;25,000;0,817;0,022;0,783
SP00042;SP;3797,000;2921,000;876,000;2792,000;23,000;0,824;0,020;0,787
SP00043;SP;3049,000;2192,000;857,000;2077,000;24,000;1,156;0,021;1,095
SP00044;SP;7789,000;5743,000;2046,000;5545,000;35,000;0,631;0,031;0,609
SP00045;SP;3377,000;2532,000;845,000;2413,000;18,000;0,746;0,016;0,711
SP00046;SP;8211,000;6097,000;2114,000;5898,000;31,000;0,526;0,028;0,508
SP00047;SP;4672,000;3348,000;1324,000;3176,000;39,000;1,228;0,035;1,165
SP00048;SP;5609,000;4361,000;1248,000;4173,000;34,000;0,815;0,030;0,780
SP00049;SP;2731,000;2018,000;713,000;1963,000;11,000;0,560;0,010;0,545
SP00050;SP;1956,000;1443,000;513,000;1402,000;9,000;0,642;0,008;0,624
SP00051;SP;9919,000;6324,000;3595,000;6155,000;32,000;0,520;0,028;0,506
SP00052;SP;5165,000;3133,000;2032,000;2935,000;68,000;2,317;0,060;2,170
SP00053;SP;6007,000;3594,000;2413,000;3324,000;48,000;1,444;0,043;1,336
SP00054;SP;5696,000;3753,000;1943,000;3408,000;68,000;1,995;0,060;1,812
SP00055;SP;8226,000;5391,000;2835,000;4961,000;100,000;2,016;0,089;1,855
SP00056;SP;5794,000;3640,000;2154,000;3387,000;58,000;1,712;0,052;1,593
SP00057;SP;4525,000;2909,000;1616,000;2654,000;42,000;1,583;0,037;1,444
SP00058;SP;5387,000;3548,000;1839,000;3268,000;64,000;1,958;0,057;1,804
SP00059;SP;6072,000;4040,000;2032,000;3728,000;68,000;1,824;0,060;1,683
SP00060;SP;6204,000;4150,000;2054,000;3837,000;55,000;1,433;0,049;1,325
SP00061;SP;5110,000;3413,000;1697,000;3165,000;56,000;1,769;0,050;1,641
SP00062;SP;4386,000;2971,000;1415,000;2733,000;56,000;2,049;0,050;1,885
SP00063;SP;2961,000;1817,000;1144,000;1694,000;24,000;1,417;0,021;1,321
SP00064;SP;6208,000;4037,000;2171,000;3695,000;71,000;1,922;0,063;1,759
SP00065;SP;3705,000;2327,000;1378,000;2080,000;34,000;1,635;0,030;1,461
SP00066;SP;2941,000;1926,000;1015,000;1749,000;26,000;1,487;0,023;1,350
SP00067;SP;1499,000;922,000;577,000;822,000;17,000;2,068;0,015;1,844
SP00069;SP;2939,000;2032,000;907,000;1880,000;34,000;1,809;0,030;1,673
SP00070;SP;4221,000;2997,000;1224,000;2825,000;33,000;1,168;0,029;1,101
SP00071;SP;6547,000;4082,000;2465,000;3719,000;81,000;2,178;0,072;1,984
SP00072;SP;4862,000;3103,000;1759,000;2890,000;34,000;1,176;0,030;1,096
SP00073;SP;14871,000;9817,000;5054,000;9320,000;128,000;1,373;0,114;1,304
SP00074;SP;4599,000;3060,000;1539,000;2873,000;52,000;1,810;0,046;1,699
SP00075;SP;2374,000;1530,000;844,000;1409,000;24,000;1,703;0,021;1,569
SP00076;SP;7781,000;5170,000;2611,000;4791,000;88,000;1,837;0,078;1,702
SP00077;SP;5316,000;3714,000;1602,000;3401,000;43,000;1,264;0,038;1,158
SP00078;SP;6145,000;4471,000;1674,000;4230,000;48,000;1,135;0,043;1,074
SP00079;SP;6753,000;5126,000;1627,000;4740,000;61,000;1,287;0,054;1,190
SP00081;SP;4985,000;3194,000;1791,000;2956,000;44,000;1,488;0,039;1,378
SP00082;SP;2042,000;1343,000;699,000;1244,000;21,000;1,688;0,019;1,564
SP00083;SP;12710,000;9298,000;3412,000;8782,000;87,000;0,991;0,077;0,936
SP00084;SP;8514,000;5960,000;2554,000;5561,000;73,000;1,313;0,065;1,225
SP00085;SP;7942,000;5522,000;2420,000;5162,000;59,000;1,143;0,052;1,068
SP00086;SP;5934,000;4153,000;1781,000;3890,000;52,000;1,337;0,046;1,252
SP00087;SP;7025,000;4901,000;2124,000;4584,000;66,000;1,440;0,059;1,347
SP00088;SP;8110,000;5666,000;2444,000;5310,000;64,000;1,205;0,057;1,130
SP00089;SP;6261,000;4229,000;2032,000;4005,000;45,000;1,124;0,040;1,064
SP00090;SP;5982,000;4272,000;1710,000;4069,000;36,000;0,885;0,032;0,843
SP00091;SP;6781,000;4661,000;2120,000;4328,000;69,000;1,594;0,061;1,480
SP00092;SP;8010,000;5674,000;2336,000;5327,000;69,000;1,295;0,061;1,216
SP00093;SP;4638,000;3524,000;1114,000;3326,000;40,000;1,203;0,036;1,135
SP00094;SP;3713,000;2680,000;1033,000;2478,000;47,000;1,897;0,042;1,754
SP00095;SP;7262,000;5378,000;1884,000;4963,000;84,000;1,693;0,075;1,562
SP00096;SP;3961,000;2845,000;1116,000;2573,000;61,000;2,371;0,054;2,144
SP00097;SP;4480,000;3320,000;1160,000;2992,000;43,000;1,437;0,038;1,295
SP00098;SP;5038,000;3701,000;1337,000;3346,000;79,000;2,361;0,070;2,135
SP00099;SP;4550,000;3344,000;1206,000;3017,000;49,000;1,624;0,044;1,465
SP00100;SP;4225,000;2928,000;1297,000;2713,000;39,000;1,438;0,035;1,332
SP00101;SP;8957,000;6780,000;2177,000;6355,000;82,000;1,290;0,073;1,209
SP00102;SP;4710,000;2822,000;1888,000;2612,000;48,000;1,838;0,043;1,701
SP00103;SP;2478,000;1733,000;745,000;1615,000;14,000;0,867;0,012;0,808
SP00105;SP;3570,000;2330,000;1240,000;2269,000;10,000;0,441;0,009;0,429
SP00106;SP;4729,000;3001,000;1728,000;2887,000;27,000;0,935;0,024;0,900
SP00107;SP;5091,000;3438,000;1653,000;3330,000;13,000;0,390;0,012;0,378
SP00108;SP;7706,000;4996,000;2710,000;4834,000;18,000;0,372;0,016;0,360
SP00109;SP;3531,000;2268,000;1263,000;2183,000;23,000;1,054;0,020;1,014
SP00110;SP;4331,000;2860,000;1471,000;2746,000;15,000;0,546;0,013;0,524
SP00111;SP;5405,000;3713,000;1692,000;3600,000;17,000;0,472;0,015;0,458
SP00112;SP;5370,000;3564,000;1806,000;3414,000;31,000;0,908;0,028;0,870
SP00113;SP;4368,000;2914,000;1454,000;2813,000;13,000;0,462;0,012;0,446
SP00114;SP;11524,000;7280,000;4244,000;6980,000;46,000;0,659;0,041;0,632
SP00115;SP;6789,000;4670,000;2119,000;4459,000;19,000;0,426;0,017;0,407
SP00116;SP;13458,000;8809,000;4649,000;8500,000;45,000;0,529;0,040;0,511
SP00117;SP;12258,000;8026,000;4232,000;7754,000;50,000;0,645;0,044;0,623
SP00118;SP;11540,000;7496,000;4044,000;7234,000;48,000;0,664;0,043;0,640
SP00119;SP;8699,000;5629,000;3070,000;5431,000;27,000;0,497;0,024;0,480
SP00120;SP;7492,000;5053,000;2439,000;4864,000;39,000;0,802;0,035;0,772
SP00121;SP;4046,000;2658,000;1388,000;2521,000;24,000;0,952;0,021;0,903
SP00122;SP;2338,000;1648,000;690,000;1597,000;9,000;0,564;0,008;0,546
SP00123;SP;2390,000;1759,000;631,000;1701,000;7,000;0,412;0,006;0,398
SP00124;SP;5471,000;3750,000;1721,000;3559,000;41,000;1,152;0,036;1,093
SP00125;SP;8768,000;6055,000;2713,000;5776,000;58,000;1,004;0,052;0,958
SP00126;SP;3970,000;2788,000;1182,000;2688,000;26,000;0,967;0,023;0,933
SP00127;SP;7300,000;5121,000;2179,000;4900,000;49,000;1,000;0,044;0,957
SP00128;SP;9830,000;6546,000;3284,000;6200,000;52,000;0,839;0,046;0,794
SP00129;SP;8021,000;5609,000;2412,000;5363,000;33,000;0,615;0,029;0,588
SP00130;SP;7718,000;5325,000;2393,000;5106,000;43,000;0,842;0,038;0,808
SP00131;SP;5037,000;3622,000;1415,000;3474,000;25,000;0,720;0,022;0,690
SP00132;SP;4938,000;3378,000;1560,000;3204,000;32,000;0,999;0,028;0,947
SP00133;SP;4191,000;2905,000;1286,000;2762,000;38,000;1,376;0,034;1,308
SP00134;SP;5615,000;3841,000;1774,000;3657,000;25,000;0,684;0,022;0,651
SP00135;SP;10099,000;6853,000;3246,000;6392,000;88,000;1,377;0,078;1,284
SP00136;SP;9241,000;6497,000;2744,000;6114,000;60,000;0,981;0,053;0,924
SP00137;SP;6956,000;4953,000;2003,000;4699,000;51,000;1,085;0,045;1,030
SP00138;SP;3114,000;2129,000;985,000;2001,000;31,000;1,549;0,028;1,456
SP00139;SP;7945,000;5514,000;2431,000;5139,000;96,000;1,868;0,085;1,741
SP00140;SP;5793,000;3889,000;1904,000;3638,000;63,000;1,732;0,056;1,620
SP00141;SP;4594,000;3186,000;1408,000;2978,000;49,000;1,645;0,044;1,538
SP00142;SP;4541,000;2990,000;1551,000;2779,000;51,000;1,835;0,045;1,706
SP00143;SP;8101,000;5686,000;2415,000;5354,000;84,000;1,569;0,075;1,477
SP00144;SP;5788,000;3963,000;1825,000;3797,000;30,000;0,790;0,027;0,757
SP00145;SP;4652,000;3551,000;1101,000;3385,000;33,000;0,975;0,029;0,929
SP00146;SP;7336,000;5404,000;1932,000;5008,000;83,000;1,657;0,074;1,536
SP00147;SP;7272,000;5483,000;1789,000;5236,000;46,000;0,879;0,041;0,839
SP00148;SP;4985,000;3706,000;1279,000;3480,000;45,000;1,293;0,040;1,214
SP00149;SP;3452,000;2590,000;862,000;2382,000;40,000;1,679;0,036;1,544
SP00150;SP;2320,000;1742,000;578,000;1690,000;9,000;0,533;0,008;0,517
SP00151;SP;4988,000;3688,000;1300,000;3300,000;82,000;2,485;0,073;2,223
SP00152;SP;857,000;541,000;316,000;478,000;10,000;2,092;0,009;1,848
