CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;4097,000;1,000;0,024;0,294;0,023
SP00016;SP;4976,000;3125,000;1851,000;2880,000;1,000;0,035;0,294;0,032
SP00021;SP;3914,000;2744,000;1170,000;2564,000;1,000;0,039;0,294;0,036
SP00023;SP;2029,000;1448,000;581,000;1349,000;1,000;0,074;0,294;0,069
SP00044;SP;7789,000;5743,000;2046,000;5545,000;1,000;0,018;0,294;0,017
SP00064;SP;6208,000;4037,000;2171,000;3695,000;2,000;0,054;0,588;0,050
SP00066;SP;2941,000;1926,000;1015,000;1749,000;1,000;0,057;0,294;0,052
SP00067;SP;1499,000;922,000;577,000;822,000;1,000;0,122;0,294;0,108
SP00071;SP;6547,000;4082,000;2465,000;3719,000;1,000;0,027;0,294;0,024
SP00073;SP;14871,000;9817,000;5054,000;9320,000;2,000;0,021;0,588;0,020
SP00075;SP;2374,000;1530,000;844,000;1409,000;1,000;0,071;0,294;0,065
SP00076;SP;7781,000;5170,000;2611,000;4791,000;1,000;0,021;0,294;0,019
SP00079;SP;6753,000;5126,000;1627,000;4740,000;2,000;0,042;0,588;0,039
SP00081;SP;4985,000;3194,000;1791,000;2956,000;1,000;0,034;0,294;0,031
SP00086;SP;5934,000;4153,000;1781,000;3890,000;2,000;0,051;0,588;0,048
SP00088;SP;8110,000;5666,000;2444,000;5310,000;1,000;0,019;0,294;0,018
SP00090;SP;5982,000;4272,000;1710,000;4069,000;1,000;0,025;0,294;0,023
SP00096;SP;3961,000;2845,000;1116,000;2573,000;1,000;0,039;0,294;0,035
SP00099;SP;4550,000;3344,000;1206,000;3017,000;1,000;0,033;0,294;0,030
SP00101;SP;8957,000;6780,000;2177,000;6355,000;1,000;0,016;0,294;0,015
SP00111;SP;5405,000;3713,000;1692,000;3600,000;1,000;0,028;0,294;0,027
SP00113;SP;4368,000;2914,000;1454,000;2813,000;1,000;0,036;0,294;0,034
SP00116;SP;13458,000;8809,000;4649,000;8500,000;2,000;0,024;0,588;0,023
SP00129;SP;8021,000;5609,000;2412,000;5363,000;1,000;0,019;0,294;0,018
SP00135;SP;10099,000;6853,000;3246,000;6392,000;1,000;0,016;0,294;0,015
SP00143;SP;8101,000;5686,000;2415,000;5354,000;1,000;0,019;0,294;0,018
SP00158;SP;5902,000;3987,000;1915,000;3548,000;1,000;0,028;0,294;0,025
SP00162;SP;7705,000;5622,000;2083,000;4963,000;1,000;0,020;0,294;0,018
SP00169;SP;6507,000;4898,000;1609,000;4346,000;1,000;0,023;0,294;0,020
SP00195;SP;3523,000;2306,000;1217,000;2147,000;1,000;0,047;0,294;0,043
SP00214;SP;5779,000;4297,000;1482,000;3998,000;1,000;0,025;0,294;0,023
SP00220;SP;2119,000;1454,000;665,000;1338,000;1,000;0,075;0,294;0,069
SP00229;SP;6362,000;4716,000;1646,000;4121,000;1,000;0,024;0,294;0,021
SP00232;SP;6760,000;5102,000;1658,000;4486,000;1,000;0,022;0,294;0,020
SP00236;SP;4570,000;3488,000;1082,000;3132,000;1,000;0,032;0,294;0,029
SP00238;SP;6012,000;4671,000;1341,000;4143,000;1,000;0,024;0,294;0,021
SP00247;SP;3039,000;2356,000;683,000;2046,000;1,000;0,049;0,294;0,042
SP00250;SP;4023,000;3125,000;898,000;2707,000;1,000;0,037;0,294;0,032
SP00253;SP;6617,000;5105,000;1512,000;4447,000;1,000;0,022;0,294;0,020
SP00254;SP;4716,000;3494,000;1222,000;3128,000;1,000;0,032;0,294;0,029
SP00260;SP;6967,000;4886,000;2081,000;4308,000;1,000;0,023;0,294;0,020
SP00263;SP;10873,000;8161,000;2712,000;7340,000;1,000;0,014;0,294;0,012
SP00265;SP;5313,000;3854,000;1459,000;3413,000;1,000;0,029;0,294;0,026
SP00275;SP;4248,000;3284,000;964,000;2908,000;1,000;0,034;0,294;0,030
SP00280;SP;6493,000;4855,000;1638,000;4191,000;1,000;0,024;0,294;0,021
SP00286;SP;6009,000;4463,000;1546,000;3922,000;1,000;0,025;0,294;0,022
SP00292;SP;3524,000;2286,000;1238,000;2155,000;1,000;0,046;0,294;0,044
SP00293;SP;2607,000;1718,000;889,000;1581,000;1,000;0,063;0,294;0,058
SP00299;SP;2182,000;1568,000;614,000;1433,000;1,000;0,070;0,294;0,064
SP00302;SP;5488,000;4163,000;1325,000;3975,000;1,000;0,025;0,294;0,024
SP00307;SP;3529,000;2356,000;1173,000;2144,000;1,000;0,047;0,294;0,042
SP00325;SP;4286,000;3094,000;1192,000;2933,000;1,000;0,034;0,294;0,032
SP00345;SP;7886,000;5416,000;2470,000;5134,000;1,000;0,019;0,294;0,018
SP00367;SP;3181,000;2043,000;1138,000;1955,000;1,000;0,051;0,294;0,049
SP00368;SP;4441,000;3045,000;1396,000;2913,000;1,000;0,034;0,294;0,033
SP00404;SP;5256,000;3768,000;1488,000;3374,000;1,000;0,030;0,294;0,027
SP00424;SP;4823,000;3449,000;1374,000;3189,000;1,000;0,031;0,294;0,029
SP00435;SP;7037,000;5280,000;1757,000;4887,000;1,000;0,020;0,294;0,019
SP00441;SP;4817,000;3411,000;1406,000;3092,000;2,000;0,065;0,588;0,059
SP00448;SP;2058,000;1544,000;514,000;1442,000;1,000;0,069;0,294;0,065
SP00458;SP;8529,000;5970,000;2559,000;5467,000;1,000;0,018;0,294;0,017
SP00465;SP;7597,000;5474,000;2123,000;4914,000;1,000;0,020;0,294;0,018
SP00467;SP;5303,000;3827,000;1476,000;3456,000;1,000;0,029;0,294;0,026
SP00478;SP;3496,000;2495,000;1001,000;2279,000;1,000;0,044;0,294;0,040
SP00497;SP;6925,000;4935,000;1990,000;4614,000;1,000;0,022;0,294;0,020
SP00501;SP;4776,000;3340,000;1436,000;3012,000;1,000;0,033;0,294;0,030
SP00507;SP;9953,000;7335,000;2618,000;6671,000;1,000;0,015;0,294;0,014
SP00508;SP;5317,000;3827,000;1490,000;3455,000;2,000;0,058;0,588;0,052
SP00510;SP;6209,000;4329,000;1880,000;3841,000;1,000;0,026;0,294;0,023
SP00514;SP;5514,000;3990,000;1524,000;3648,000;1,000;0,027;0,294;0,025
SP00518;SP;4780,000;3303,000;1477,000;3021,000;1,000;0,033;0,294;0,030
SP00519;SP;5846,000;4121,000;1725,000;3726,000;1,000;0,027;0,294;0,024
SP00534;SP;4351,000;3409,000;942,000;3196,000;2,000;0,063;0,588;0,059
SP00539;SP;5948,000;4112,000;1836,000;3885,000;1,000;0,026;0,294;0,024
SP00545;SP;7097,000;4864,000;2233,000;4426,000;2,000;0,045;0,588;0,041
SP00552;SP;5887,000;3978,000;1909,000;3593,000;1,000;0,028;0,294;0,025
SP00564;SP;6019,000;4389,000;1630,000;3798,000;1,000;0,026;0,294;0,023
SP00565;SP;3148,000;2356,000;792,000;2159,000;1,000;0,046;0,294;0,042
SP00567;SP;3964,000;2865,000;1099,000;2677,000;1,000;0,037;0,294;0,035
SP00587;SP;3697,000;2586,000;1111,000;2443,000;1,000;0,041;0,294;0,039
SP00599;SP;6251,000;4342,000;1909,000;3850,000;1,000;0,026;0,294;0,023
SP00603;SP;4959,000;3460,000;1499,000;3080,000;1,000;0,032;0,294;0,029
SP00616;SP;3937,000;3054,000;883,000;2837,000;1,000;0,035;0,294;0,033
SP00632;SP;9851,000;7134,000;2717,000;6837,000;1,000;0,015;0,294;0,014
SP00640;SP;6187,000;4214,000;1973,000;4002,000;1,000;0,025;0,294;0,024
SP00643;SP;3354,000;2459,000;895,000;2299,000;1,000;0,043;0,294;0,041
SP00645;SP;3823,000;2661,000;1162,000;2508,000;1,000;0,040;0,294;0,038
SP00650;SP;4689,000;3535,000;1154,000;3393,000;1,000;0,029;0,294;0,028
SP00652;SP;4711,000;3356,000;1355,000;3082,000;1,000;0,032;0,294;0,030
SP00653;SP;9758,000;6871,000;2887,000;6586,000;1,000;0,015;0,294;0,015
SP00670;SP;5766,000;4219,000;1547,000;3993,000;1,000;0,025;0,294;0,024
SP00686;SP;9715,000;6586,000;3129,000;6066,000;1,000;0,016;0,294;0,015
SP00687;SP;5282,000;3669,000;1613,000;3417,000;1,000;0,029;0,294;0,027
SP00692;SP;8151,000;5848,000;2303,000;5475,000;1,000;0,018;0,294;0,017
SP00707;SP;6988,000;4980,000;2008,000;4458,000;1,000;0,022;0,294;0,020
SP00710;SP;3923,000;2817,000;1106,000;2562,000;1,000;0,039;0,294;0,035
SP00711;SP;4783,000;3500,000;1283,000;3195,000;1,000;0,031;0,294;0,029
SP00731;SP;4685,000;3466,000;1219,000;3123,000;1,000;0,032;0,294;0,029
SP00732;SP;3768,000;2783,000;985,000;2477,000;1,000;0,040;0,294;0,036
SP00733;SP;6587,000;4986,000;1601,000;4393,000;2,000;0,046;0,588;0,040
SP00734;SP;3871,000;2912,000;959,000;2590,000;1,000;0,039;0,294;0,034
SP00735;SP;5909,000;4419,000;1490,000;4005,000;1,000;0,025;0,294;0,023
SP00736;SP;6501,000;5079,000;1422,000;4565,000;1,000;0,022;0,294;0,020
SP00738;SP;8744,000;6776,000;1968,000;6083,000;1,000;0,016;0,294;0,015
SP00749;SP;1955,000;1539,000;416,000;1379,000;1,000;0,073;0,294;0,065
SP00753;SP;1731,000;1380,000;351,000;1254,000;1,000;0,080;0,294;0,072
SP00766;SP;7053,000;4968,000;2085,000;4597,000;1,000;0,022;0,294;0,020
SP00770;SP;6150,000;4203,000;1947,000;3800,000;1,000;0,026;0,294;0,024
SP00777;SP;5853,000;4038,000;1815,000;3544,000;1,000;0,028;0,294;0,025
SP00781;SP;4179,000;2991,000;1188,000;2681,000;1,000;0,037;0,294;0,033
SP00805;SP;6882,000;4879,000;2003,000;4361,000;1,000;0,023;0,294;0,020
SP00809;SP;4931,000;3684,000;1247,000;3427,000;1,000;0,029;0,294;0,027
SP00813;SP;5405,000;3715,000;1690,000;3429,000;1,000;0,029;0,294;0,027
SP00824;SP;5510,000;4207,000;1303,000;3855,000;1,000;0,026;0,294;0,024
SP00832;SP;4365,000;3114,000;1251,000;2887,000;1,000;0,035;0,294;0,032
SP00846;SP;7352,000;5299,000;2053,000;4594,000;1,000;0,022;0,294;0,019
SP00847;SP;4082,000;3056,000;1026,000;2680,000;2,000;0,075;0,588;0,065
SP00848;SP;5251,000;3634,000;1617,000;3215,000;1,000;0,031;0,294;0,028
SP00855;SP;3058,000;2169,000;889,000;1971,000;2,000;0,101;0,588;0,092
SP00856;SP;6062,000;4538,000;1524,000;3965,000;1,000;0,025;0,294;0,022
SP00862;SP;4149,000;3028,000;1121,000;2658,000;2,000;0,075;0,588;0,066
SP00864;SP;2151,000;1674,000;477,000;1523,000;1,000;0,066;0,294;0,060
SP00868;SP;4537,000;3375,000;1162,000;2962,000;1,000;0,034;0,294;0,030
SP00871;SP;4180,000;3171,000;1009,000;2752,000;1,000;0,036;0,294;0,032
SP00873;SP;5220,000;3631,000;1589,000;3177,000;1,000;0,031;0,294;0,028
SP00878;SP;4052,000;3009,000;1043,000;2623,000;1,000;0,038;0,294;0,033
SP00881;SP;1173,000;898,000;275,000;802,000;1,000;0,125;0,294;0,111
SP00891;SP;6195,000;4624,000;1571,000;4237,000;1,000;0,024;0,294;0,022
SP00894;SP;4335,000;3134,000;1201,000;2930,000;2,000;0,068;0,588;0,064
SP00922;SP;8638,000;6089,000;2549,000;5400,000;1,000;0,019;0,294;0,016
SP00933;SP;6037,000;4261,000;1776,000;3866,000;1,000;0,026;0,294;0,023
SP00945;SP;6631,000;4923,000;1708,000;4415,000;1,000;0,023;0,294;0,020
SP00952;SP;13315,000;8912,000;4403,000;8050,000;1,000;0,012;0,294;0,011
SP00954;SP;4954,000;3697,000;1257,000;3284,000;1,000;0,030;0,294;0,027
SP00957;SP;6423,000;4747,000;1676,000;4224,000;1,000;0,024;0,294;0,021
SP00966;SP;4337,000;2920,000;1417,000;2684,000;1,000;0,037;0,294;0,034
SP00972;SP;5527,000;3750,000;1777,000;3495,000;1,000;0,029;0,294;0,027
SP00974;SP;3974,000;2884,000;1090,000;2747,000;1,000;0,036;0,294;0,035
SP00988;SP;5130,000;3838,000;1292,000;3609,000;1,000;0,028;0,294;0,026
SP01017;SP;3849,000;2621,000;1228,000;2330,000;1,000;0,043;0,294;0,038
SP01018;SP;4200,000;2913,000;1287,000;2584,000;1,000;0,039;0,294;0,034
SP01021;SP;5856,000;4048,000;1808,000;3596,000;1,000;0,028;0,294;0,025
SP01026;SP;4576,000;3267,000;1309,000;2914,000;1,000;0,034;0,294;0,031
SP01036;SP;4224,000;3283,000;941,000;2981,000;1,000;0,034;0,294;0,030
SP01037;SP;5057,000;3801,000;1256,000;3358,000;1,000;0,030;0,294;0,026
SP01056;SP;6196,000;4361,000;1835,000;3971,000;1,000;0,025;0,294;0,023
SP01059;SP;5785,000;4403,000;1382,000;4017,000;1,000;0,025;0,294;0,023
SP01060;SP;5345,000;3929,000;1416,000;3593,000;1,000;0,028;0,294;0,025
SP01065;SP;3662,000;2656,000;1006,000;2404,000;1,000;0,042;0,294;0,038
SP01066;SP;2883,000;2142,000;741,000;1974,000;1,000;0,051;0,294;0,047
SP01077;SP;3176,000;2582,000;594,000;2426,000;1,000;0,041;0,294;0,039
SP01090;SP;4652,000;3593,000;1059,000;3177,000;1,000;0,031;0,294;0,028
SP01095;SP;5974,000;4274,000;1700,000;3803,000;2,000;0,053;0,588;0,047
SP01096;SP;4179,000;2929,000;1250,000;2634,000;1,000;0,038;0,294;0,034
SP01106;SP;8626,000;6096,000;2530,000;5278,000;1,000;0,019;0,294;0,016
