CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6348,000;1525,000;24,023;0,085;22,991
SP00002;SP;8476,000;5539,000;2937,000;5301,000;1200,000;22,637;0,067;21,665
SP00003;SP;6223,000;3562,000;2661,000;3339,000;910,000;27,254;0,050;25,547
SP00004;SP;6071,000;4117,000;1954,000;3823,000;907,000;23,725;0,050;22,031
SP00005;SP;7574,000;4851,000;2723,000;4540,000;994,000;21,894;0,055;20,491
SP00006;SP;6187,000;4196,000;1991,000;3968,000;882,000;22,228;0,049;21,020
SP00007;SP;9748,000;5727,000;4021,000;5355,000;1317,000;24,594;0,073;22,996
SP00008;SP;4250,000;2710,000;1540,000;2536,000;561,000;22,121;0,031;20,701
SP00009;SP;5809,000;3876,000;1933,000;3718,000;866,000;23,292;0,048;22,343
SP00010;SP;9269,000;6039,000;3230,000;5790,000;1303,000;22,504;0,072;21,576
SP00011;SP;7822,000;5249,000;2573,000;4994,000;906,000;18,142;0,050;17,260
SP00012;SP;9441,000;6116,000;3325,000;5769,000;1016,000;17,611;0,056;16,612
SP00013;SP;4269,000;2958,000;1311,000;2829,000;526,000;18,593;0,029;17,782
SP00014;SP;7153,000;4433,000;2720,000;4097,000;1154,000;28,167;0,064;26,032
SP00015;SP;4890,000;3200,000;1690,000;2952,000;768,000;26,016;0,043;24,000
SP00016;SP;4976,000;3125,000;1851,000;2880,000;864,000;30,000;0,048;27,648
SP00017;SP;6847,000;4140,000;2707,000;3867,000;842,000;21,774;0,047;20,338
SP00018;SP;5238,000;3256,000;1982,000;3039,000;779,000;25,633;0,043;23,925
SP00019;SP;4798,000;3546,000;1252,000;3411,000;722,000;21,167;0,040;20,361
SP00020;SP;1562,000;1060,000;502,000;990,000;233,000;23,535;0,013;21,981
SP00021;SP;3914,000;2744,000;1170,000;2564,000;582,000;22,699;0,032;21,210
SP00022;SP;5474,000;3858,000;1616,000;3481,000;782,000;22,465;0,043;20,270
SP00023;SP;2029,000;1448,000;581,000;1349,000;345,000;25,574;0,019;23,826
SP00024;SP;629,000;454,000;175,000;432,000;104,000;24,074;0,006;22,907
SP00025;SP;3193,000;2227,000;966,000;2126,000;313,000;14,722;0,017;14,055
SP00026;SP;1515,000;1057,000;458,000;991,000;200,000;20,182;0,011;18,921
SP00027;SP;3011,000;1933,000;1078,000;1858,000;385,000;20,721;0,021;19,917
SP00028;SP;8070,000;5175,000;2895,000;4942,000;1455,000;29,442;0,081;28,116
SP00029;SP;17797,000;12599,000;5198,000;12178,000;3204,000;26,310;0,178;25,431
SP00030;SP;2911,000;1924,000;987,000;1835,000;466,000;25,395;0,026;24,220
SP00031;SP;6412,000;4268,000;2144,000;4024,000;1011,000;25,124;0,056;23,688
SP00032;SP;11991,000;8507,000;3484,000;8299,000;3127,000;37,679;0,173;36,758
SP00033;SP;7735,000;5271,000;2464,000;4985,000;1104,000;22,146;0,061;20,945
SP00034;SP;5401,000;3246,000;2155,000;3075,000;804,000;26,146;0,045;24,769
SP00035;SP;5608,000;3859,000;1749,000;3597,000;881,000;24,493;0,049;22,830
SP00036;SP;6716,000;4776,000;1940,000;4617,000;1162,000;25,168;0,064;24,330
SP00037;SP;5446,000;3922,000;1524,000;3788,000;1231,000;32,497;0,068;31,387
SP00038;SP;8044,000;5650,000;2394,000;5390,000;1484,000;27,532;0,082;26,265
SP00039;SP;6391,000;4336,000;2055,000;4105,000;1222,000;29,769;0,068;28,183
SP00040;SP;7288,000;5434,000;1854,000;5235,000;1235,000;23,591;0,068;22,727
SP00041;SP;4585,000;3191,000;1394,000;3059,000;812,000;26,545;0,045;25,447
SP00042;SP;3797,000;2921,000;876,000;2792,000;690,000;24,713;0,038;23,622
SP00043;SP;3049,000;2192,000;857,000;2077,000;370,000;17,814;0,021;16,880
SP00044;SP;7789,000;5743,000;2046,000;5545,000;1687,000;30,424;0,094;29,375
SP00045;SP;3377,000;2532,000;845,000;2413,000;679,000;28,139;0,038;26,817
SP00046;SP;8211,000;6097,000;2114,000;5898,000;1715,000;29,078;0,095;28,129
SP00047;SP;4672,000;3348,000;1324,000;3176,000;701,000;22,072;0,039;20,938
SP00048;SP;5609,000;4361,000;1248,000;4173,000;1098,000;26,312;0,061;25,178
SP00049;SP;2731,000;2018,000;713,000;1963,000;588,000;29,954;0,033;29,138
SP00050;SP;1956,000;1443,000;513,000;1402,000;360,000;25,678;0,020;24,948
SP00051;SP;9919,000;6324,000;3595,000;6155,000;1908,000;30,999;0,106;30,171
