CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,226;0,030
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,113;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,226;0,035
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,113;0,037
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,226;0,038
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,113;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,113;0,024
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,113;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,226;0,052
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,113;0,069
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,113;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,226;0,016
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,113;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;3,000;0,037;0,339;0,035
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,113;0,019
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,226;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,113;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,113;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,113;0,016
SP00054;SP;5696,000;3753,000;1943,000;3197,000;4,000;0,125;0,452;0,107
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,113;0,027
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,226;0,048
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,226;0,059
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,113;0,034
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,113;0,010
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,113;0,065
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,113;0,027
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,113;0,022
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,113;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,113;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;0,226;0,034
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,113;0,024
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,113;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,113;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,226;0,043
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,226;0,035
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,113;0,028
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,113;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,113;0,015
SP00110;SP;4331,000;2860,000;1471,000;2625,000;2,000;0,076;0,226;0,070
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,113;0,027
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,226;0,056
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,113;0,014
SP00116;SP;13458,000;8809,000;4649,000;8195,000;3,000;0,037;0,339;0,034
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,226;0,027
SP00126;SP;3970,000;2788,000;1182,000;2578,000;3,000;0,116;0,339;0,108
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,226;0,031
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,113;0,019
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,113;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,113;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,113;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,226;0,031
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,113;0,047
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,113;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,113;0,018
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,113;0,025
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,113;0,018
SP00154;SP;6876,000;4799,000;2077,000;4025,000;3,000;0,075;0,339;0,063
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,113;0,021
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,113;0,017
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,113;0,026
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,113;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,113;0,033
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,113;0,031
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,113;0,046
SP00183;SP;1181,000;745,000;436,000;604,000;1,000;0,166;0,113;0,134
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,113;0,180
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,226;0,032
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,113;0,030
