CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,633;0,026
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,633;0,032
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,633;0,019
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,633;0,022
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,633;0,015
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,633;0,012
SP00272;SP;3513,000;2773,000;740,000;2324,000;1,000;0,043;0,633;0,036
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,633;0,021
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,633;0,033
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,633;0,045
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,633;0,042
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,633;0,027
SP00592;SP;5506,000;4004,000;1502,000;3466,000;1,000;0,029;0,633;0,025
SP00593;SP;5605,000;4143,000;1462,000;3635,000;1,000;0,028;0,633;0,024
SP00596;SP;3534,000;2596,000;938,000;2206,000;1,000;0,045;0,633;0,039
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;0,633;0,020
SP00618;SP;5671,000;3944,000;1727,000;3400,000;2,000;0,059;1,266;0,051
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,633;0,013
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,633;0,021
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;0,633;0,037
SP00843;SP;5641,000;3932,000;1709,000;3203,000;1,000;0,031;0,633;0,025
SP00845;SP;1830,000;1419,000;411,000;1181,000;1,000;0,085;0,633;0,070
SP00847;SP;4082,000;3056,000;1026,000;2550,000;3,000;0,118;1,899;0,098
SP00859;SP;4366,000;3337,000;1029,000;2773,000;1,000;0,036;0,633;0,030
SP01027;SP;3926,000;2963,000;963,000;2463,000;1,000;0,041;0,633;0,034
SP01054;SP;4275,000;2952,000;1323,000;2509,000;1,000;0,040;0,633;0,034
SP01063;SP;4282,000;3023,000;1259,000;2516,000;6,000;0,238;3,797;0,198
SP01064;SP;6076,000;4508,000;1568,000;3796,000;5,000;0,132;3,165;0,111
SP01067;SP;3428,000;2676,000;752,000;2228,000;2,000;0,090;1,266;0,075
SP01068;SP;3742,000;2791,000;951,000;2367,000;1,000;0,042;0,633;0,036
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;0,633;0,013
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,633;0,016
SP01080;SP;3811,000;2747,000;1064,000;2336,000;1,000;0,043;0,633;0,036
SP01084;SP;4187,000;3316,000;871,000;2810,000;1,000;0,036;0,633;0,030
SP01087;SP;3331,000;2631,000;700,000;2223,000;1,000;0,045;0,633;0,038
SP01089;SP;5551,000;4240,000;1311,000;3578,000;3,000;0,084;1,899;0,071
SP01090;SP;4652,000;3593,000;1059,000;2985,000;3,000;0,101;1,899;0,083
SP01123;SP;8211,000;5806,000;2405,000;4970,000;2,000;0,040;1,266;0,034
SP01124;SP;6479,000;4476,000;2003,000;3780,000;1,000;0,026;0,633;0,022
SP01126;SP;6161,000;4278,000;1883,000;3664,000;8,000;0,218;5,063;0,187
SP01128;SP;4920,000;3469,000;1451,000;2978,000;1,000;0,034;0,633;0,029
SP01129;SP;6181,000;4505,000;1676,000;3834,000;1,000;0,026;0,633;0,022
SP01130;SP;6066,000;4251,000;1815,000;3689,000;1,000;0,027;0,633;0,024
SP01132;SP;5881,000;4069,000;1812,000;3481,000;7,000;0,201;4,430;0,172
SP01134;SP;4563,000;3326,000;1237,000;2843,000;4,000;0,141;2,532;0,120
SP01136;SP;6560,000;4999,000;1561,000;4267,000;5,000;0,117;3,165;0,100
SP01139;SP;2703,000;2011,000;692,000;1677,000;1,000;0,060;0,633;0,050
SP01140;SP;4702,000;3629,000;1073,000;3096,000;2,000;0,065;1,266;0,055
SP01141;SP;6662,000;5002,000;1660,000;4271,000;1,000;0,023;0,633;0,020
SP01146;SP;4300,000;3212,000;1088,000;2676,000;4,000;0,149;2,532;0,125
SP01147;SP;2332,000;1719,000;613,000;1447,000;1,000;0,069;0,633;0,058
SP01154;SP;7187,000;5411,000;1776,000;4524,000;2,000;0,044;1,266;0,037
SP01156;SP;4593,000;3443,000;1150,000;2878,000;5,000;0,174;3,165;0,145
SP01157;SP;6773,000;5060,000;1713,000;4280,000;3,000;0,070;1,899;0,059
SP01162;SP;1286,000;971,000;315,000;836,000;1,000;0,120;0,633;0,103
SP01236;SP;4335,000;3024,000;1311,000;2493,000;1,000;0,040;0,633;0,033
SP01244;SP;3449,000;2654,000;795,000;2184,000;1,000;0,046;0,633;0,038
SP01293;SP;8374,000;6450,000;1924,000;5532,000;1,000;0,018;0,633;0,016
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;0,633;0,019
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,633;0,016
SP01378;SP;5134,000;3809,000;1325,000;3086,000;1,000;0,032;0,633;0,026
SP01445;SP;5567,000;4250,000;1317,000;3503,000;1,000;0,029;0,633;0,024
SP01447;SP;4389,000;3373,000;1016,000;2834,000;1,000;0,035;0,633;0,030
SP01449;SP;4414,000;3387,000;1027,000;2785,000;1,000;0,036;0,633;0,030
SP01464;SP;4055,000;2968,000;1087,000;2449,000;3,000;0,122;1,899;0,101
SP01465;SP;3773,000;2818,000;955,000;2190,000;2,000;0,091;1,266;0,071
SP01469;SP;5075,000;3731,000;1344,000;2913,000;1,000;0,034;0,633;0,027
SP01471;SP;1901,000;1496,000;405,000;1225,000;3,000;0,245;1,899;0,201
SP01643;SP;6423,000;4412,000;2011,000;3733,000;2,000;0,054;1,266;0,045
SP01644;SP;6058,000;4635,000;1423,000;3858,000;1,000;0,026;0,633;0,022
SP01646;SP;4342,000;3429,000;913,000;2817,000;2,000;0,071;1,266;0,058
SP01648;SP;5393,000;4065,000;1328,000;3385,000;1,000;0,030;0,633;0,025
SP01659;SP;4975,000;3950,000;1025,000;3337,000;1,000;0,030;0,633;0,025
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;0,633;0,030
SP01664;SP;4100,000;3227,000;873,000;2743,000;2,000;0,073;1,266;0,062
SP01665;SP;2933,000;2048,000;885,000;1706,000;1,000;0,059;0,633;0,049
SP01674;SP;2328,000;1727,000;601,000;1429,000;1,000;0,070;0,633;0,058
SP01686;SP;7314,000;5422,000;1892,000;4542,000;1,000;0,022;0,633;0,018
SP01766;SP;2383,000;1856,000;527,000;1558,000;2,000;0,128;1,266;0,108
SP01896;SP;4681,000;3529,000;1152,000;2874,000;1,000;0,035;0,633;0,028
SP01903;SP;5816,000;4296,000;1520,000;3620,000;1,000;0,028;0,633;0,023
SP01988;SP;5876,000;4116,000;1760,000;3522,000;5,000;0,142;3,165;0,121
SP01991;SP;6762,000;5186,000;1576,000;4448,000;1,000;0,022;0,633;0,019
SP01992;SP;6492,000;4575,000;1917,000;3943,000;1,000;0,025;0,633;0,022
SP01993;SP;5680,000;4331,000;1349,000;3584,000;1,000;0,028;0,633;0,023
SP01994;SP;8040,000;6246,000;1794,000;5147,000;2,000;0,039;1,266;0,032
SP01996;SP;4065,000;3200,000;865,000;2650,000;2,000;0,075;1,266;0,062
SP01997;SP;6927,000;5249,000;1678,000;4360,000;1,000;0,023;0,633;0,019
SP01998;SP;6178,000;4568,000;1610,000;3831,000;2,000;0,052;1,266;0,044
SP01999;SP;6988,000;5415,000;1573,000;4564,000;3,000;0,066;1,899;0,055
SP02014;SP;3660,000;2664,000;996,000;2271,000;1,000;0,044;0,633;0,038
