CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,971;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,971;0,031
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;1,942;0,024
SP00039;SP;6391,000;4336,000;2055,000;3981,000;3,000;0,075;2,913;0,069
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,971;0,028
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,971;0,034
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,971;0,029
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,971;0,055
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,971;0,032
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,971;0,011
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,971;0,018
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;1,942;0,071
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,971;0,016
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,971;0,033
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,971;0,019
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,971;0,019
SP00441;SP;4817,000;3411,000;1406,000;2965,000;3,000;0,101;2,913;0,088
SP00453;SP;1256,000;908,000;348,000;767,000;1,000;0,130;0,971;0,110
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,971;0,023
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;0,971;0,023
SP00544;SP;5536,000;3707,000;1829,000;3265,000;1,000;0,031;0,971;0,027
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,971;0,021
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,971;0,017
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,971;0,027
SP00643;SP;3354,000;2459,000;895,000;2145,000;2,000;0,093;1,942;0,081
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,971;0,025
SP00661;SP;3498,000;2295,000;1203,000;2021,000;1,000;0,049;0,971;0,044
SP00665;SP;4690,000;3236,000;1454,000;2925,000;1,000;0,034;0,971;0,031
SP00670;SP;5766,000;4219,000;1547,000;3799,000;2,000;0,053;1,942;0,047
SP00672;SP;5404,000;3859,000;1545,000;3453,000;1,000;0,029;0,971;0,026
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,971;0,015
SP00687;SP;5282,000;3669,000;1613,000;3211,000;3,000;0,093;2,913;0,082
SP00689;SP;6259,000;4395,000;1864,000;3885,000;2,000;0,051;1,942;0,046
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,971;0,017
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,971;0,016
SP00699;SP;2845,000;1980,000;865,000;1691,000;1,000;0,059;0,971;0,051
SP00701;SP;4091,000;3020,000;1071,000;2626,000;1,000;0,038;0,971;0,033
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,971;0,024
SP00773;SP;6264,000;4426,000;1838,000;3805,000;1,000;0,026;0,971;0,023
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,971;0,019
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,971;0,025
SP00802;SP;2293,000;1707,000;586,000;1374,000;1,000;0,073;0,971;0,059
SP00807;SP;4221,000;2943,000;1278,000;2555,000;1,000;0,039;0,971;0,034
SP00808;SP;5967,000;4362,000;1605,000;3844,000;2,000;0,052;1,942;0,046
SP00819;SP;1557,000;1232,000;325,000;1066,000;1,000;0,094;0,971;0,081
SP00859;SP;4366,000;3337,000;1029,000;2773,000;1,000;0,036;0,971;0,030
SP00879;SP;5137,000;3540,000;1597,000;2959,000;1,000;0,034;0,971;0,028
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;0,971;0,031
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,971;0,020
SP00949;SP;6028,000;4426,000;1602,000;3627,000;3,000;0,083;2,913;0,068
SP00977;SP;4747,000;3316,000;1431,000;2910,000;3,000;0,103;2,913;0,090
SP01010;SP;2767,000;2011,000;756,000;1774,000;1,000;0,056;0,971;0,050
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;0,971;0,016
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,971;0,019
SP01038;SP;3517,000;2693,000;824,000;2279,000;1,000;0,044;0,971;0,037
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;0,971;0,020
SP01065;SP;3662,000;2656,000;1006,000;2330,000;1,000;0,043;0,971;0,038
SP01081;SP;4604,000;3442,000;1162,000;2917,000;1,000;0,034;0,971;0,029
SP01101;SP;5144,000;3574,000;1570,000;3122,000;1,000;0,032;0,971;0,028
SP01104;SP;3373,000;2250,000;1123,000;1905,000;1,000;0,052;0,971;0,044
SP01113;SP;5153,000;3920,000;1233,000;3365,000;1,000;0,030;0,971;0,026
SP01168;SP;5911,000;4089,000;1822,000;3473,000;1,000;0,029;0,971;0,024
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,971;0,021
SP01190;SP;5137,000;3599,000;1538,000;3067,000;1,000;0,033;0,971;0,028
SP01194;SP;3150,000;2305,000;845,000;1880,000;1,000;0,053;0,971;0,043
SP01198;SP;4394,000;3400,000;994,000;2835,000;2,000;0,071;1,942;0,059
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;0,971;0,020
SP01221;SP;4891,000;3743,000;1148,000;3051,000;1,000;0,033;0,971;0,027
SP01369;SP;3307,000;2556,000;751,000;2150,000;1,000;0,047;0,971;0,039
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,971;0,035
SP01625;SP;5942,000;4747,000;1195,000;4037,000;1,000;0,025;0,971;0,021
SP01632;SP;5894,000;4098,000;1796,000;3431,000;1,000;0,029;0,971;0,024
SP01664;SP;4100,000;3227,000;873,000;2743,000;1,000;0,036;0,971;0,031
SP01684;SP;4928,000;3721,000;1207,000;3132,000;1,000;0,032;0,971;0,027
SP01687;SP;5072,000;3960,000;1112,000;3344,000;1,000;0,030;0,971;0,025
SP01727;SP;4196,000;3134,000;1062,000;2630,000;1,000;0,038;0,971;0,032
SP01735;SP;2431,000;1787,000;644,000;1502,000;1,000;0,067;0,971;0,056
SP01768;SP;5069,000;3536,000;1533,000;2973,000;1,000;0,034;0,971;0,028
SP01822;SP;6815,000;4948,000;1867,000;4153,000;1,000;0,024;0,971;0,020
SP01861;SP;5487,000;3813,000;1674,000;3319,000;1,000;0,030;0,971;0,026
SP01917;SP;4628,000;3281,000;1347,000;2811,000;1,000;0,036;0,971;0,030
SP01930;SP;4667,000;3372,000;1295,000;2823,000;1,000;0,035;0,971;0,030
SP01941;SP;3638,000;2601,000;1037,000;2147,000;1,000;0,047;0,971;0,038
SP01943;SP;3522,000;2387,000;1135,000;1965,000;1,000;0,051;0,971;0,042
SP01944;SP;4146,000;2878,000;1268,000;2323,000;1,000;0,043;0,971;0,035
SP02015;SP;6390,000;4422,000;1968,000;3666,000;1,000;0,027;0,971;0,023
