CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,264;0,017
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,264;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,264;0,021
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,264;0,034
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,264;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,264;0,050
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,264;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,264;0,025
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,264;0,049
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,264;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,264;0,010
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,264;0,065
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,264;0,022
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,264;0,037
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,264;0,030
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,264;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,264;0,020
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,264;0,014
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,264;0,012
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,264;0,017
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,264;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,264;0,019
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,264;0,030
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,264;0,034
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,264;0,018
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,264;0,018
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,264;0,039
SP00151;SP;4988,000;3688,000;1300,000;3066,000;2,000;0,065;0,528;0,054
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,264;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,264;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;2,000;0,059;0,528;0,050
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,264;0,020
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,264;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,528;0,041
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,264;0,021
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,264;0,031
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,264;0,046
SP00181;SP;1188,000;823,000;365,000;662,000;1,000;0,151;0,264;0,122
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,528;0,032
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,264;0,044
SP00199;SP;9351,000;6697,000;2654,000;6031,000;3,000;0,050;0,792;0,045
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,264;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,264;0,015
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,264;0,028
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,264;0,046
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,264;0,023
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,264;0,080
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,264;0,029
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,264;0,021
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,264;0,071
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,264;0,021
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,264;0,035
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,264;0,024
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,264;0,023
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,264;0,025
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;0,528;0,036
SP00323;SP;4008,000;2671,000;1337,000;2414,000;2,000;0,083;0,528;0,075
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,264;0,073
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,264;0,037
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,264;0,044
SP00340;SP;3747,000;2675,000;1072,000;2391,000;2,000;0,084;0,528;0,075
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,264;0,018
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,264;0,036
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,264;0,026
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,264;0,034
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,264;0,037
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,264;0,030
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,264;0,037
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,264;0,033
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,264;0,035
SP00411;SP;1750,000;1339,000;411,000;1163,000;2,000;0,172;0,528;0,149
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,264;0,033
SP00416;SP;1565,000;1172,000;393,000;969,000;1,000;0,103;0,264;0,085
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,264;0,018
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,264;0,021
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,264;0,045
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,264;0,024
SP00462;SP;5168,000;3650,000;1518,000;3226,000;1,000;0,031;0,264;0,027
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,264;0,028
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,264;0,023
SP00481;SP;1516,000;1132,000;384,000;999,000;1,000;0,100;0,264;0,088
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,264;0,020
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,264;0,029
SP00529;SP;3155,000;2369,000;786,000;2087,000;1,000;0,048;0,264;0,042
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,264;0,022
SP00548;SP;4404,000;2954,000;1450,000;2590,000;1,000;0,039;0,264;0,034
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,264;0,025
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,264;0,033
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;0,264;0,035
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,264;0,023
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,264;0,023
SP00600;SP;4185,000;3069,000;1116,000;2605,000;2,000;0,077;0,528;0,065
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,264;0,029
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,264;0,020
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,264;0,017
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,264;0,023
SP00628;SP;7913,000;5698,000;2215,000;5302,000;2,000;0,038;0,528;0,035
SP00629;SP;3705,000;2452,000;1253,000;2194,000;4,000;0,182;1,055;0,163
SP00630;SP;5514,000;3774,000;1740,000;3466,000;4,000;0,115;1,055;0,106
SP00634;SP;6679,000;4545,000;2134,000;4143,000;2,000;0,048;0,528;0,044
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,264;0,024
SP00645;SP;3823,000;2661,000;1162,000;2407,000;2,000;0,083;0,528;0,075
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,264;0,020
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,264;0,018
SP00668;SP;5384,000;3806,000;1578,000;3465,000;2,000;0,058;0,528;0,053
SP00670;SP;5766,000;4219,000;1547,000;3799,000;2,000;0,053;0,528;0,047
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,264;0,020
SP00672;SP;5404,000;3859,000;1545,000;3453,000;1,000;0,029;0,264;0,026
