CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,080;0,024
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,080;0,034
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;0,159;0,061
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,080;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,159;0,035
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,080;0,018
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,080;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,080;0,030
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,080;0,019
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,080;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,159;0,049
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,080;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,080;0,017
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,080;0,035
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,080;0,030
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,080;0,019
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,080;0,019
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,080;0,020
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,080;0,021
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,080;0,025
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,080;0,023
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,080;0,035
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,080;0,058
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,080;0,063
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,080;0,064
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,080;0,023
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,080;0,033
