CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;5,000;0,082;0,009;0,075
SP00002;SP;8476,000;5539,000;2937,000;5059,000;4,000;0,079;0,007;0,072
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,002;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;6,000;0,164;0,010;0,146
SP00005;SP;7574,000;4851,000;2723,000;4286,000;10,000;0,233;0,017;0,206
SP00006;SP;6187,000;4196,000;1991,000;3800,000;6,000;0,158;0,010;0,143
SP00007;SP;9748,000;5727,000;4021,000;5077,000;5,000;0,098;0,009;0,087
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,003;0,074
SP00009;SP;5809,000;3876,000;1933,000;3552,000;4,000;0,113;0,007;0,103
SP00010;SP;9269,000;6039,000;3230,000;5553,000;5,000;0,090;0,009;0,083
SP00011;SP;7822,000;5249,000;2573,000;4769,000;7,000;0,147;0,012;0,133
SP00012;SP;9441,000;6116,000;3325,000;5498,000;8,000;0,146;0,014;0,131
SP00013;SP;4269,000;2958,000;1311,000;2742,000;5,000;0,182;0,009;0,169
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,002;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;6,000;0,216;0,010;0,188
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,003;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;17,000;0,459;0,029;0,411
SP00018;SP;5238,000;3256,000;1982,000;2906,000;14,000;0,482;0,024;0,430
SP00019;SP;4798,000;3546,000;1252,000;3272,000;4,000;0,122;0,007;0,113
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,003;0,189
SP00021;SP;3914,000;2744,000;1170,000;2386,000;4,000;0,168;0,007;0,146
SP00022;SP;5474,000;3858,000;1616,000;3218,000;10,000;0,311;0,017;0,259
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,002;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;4,000;0,085;0,007;0,077
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,002;0,008
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;0,003;0,104
SP00031;SP;6412,000;4268,000;2144,000;3816,000;5,000;0,131;0,009;0,117
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,002;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;7,000;0,146;0,012;0,133
SP00034;SP;5401,000;3246,000;2155,000;2941,000;3,000;0,102;0,005;0,092
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,005;0,078
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,002;0,021
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,002;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,003;0,037
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,002;0,031
SP00043;SP;3049,000;2192,000;857,000;1985,000;4,000;0,202;0,007;0,182
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,003;0,035
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,002;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,003;0,046
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,002;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;4,000;0,068;0,007;0,063
SP00052;SP;5165,000;3133,000;2032,000;2746,000;6,000;0,218;0,010;0,192
SP00053;SP;6007,000;3594,000;2413,000;3140,000;8,000;0,255;0,014;0,223
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,005;0,080
SP00055;SP;8226,000;5391,000;2835,000;4660,000;11,000;0,236;0,019;0,204
SP00056;SP;5794,000;3640,000;2154,000;3156,000;4,000;0,127;0,007;0,110
SP00057;SP;4525,000;2909,000;1616,000;2485,000;4,000;0,161;0,007;0,138
SP00058;SP;5387,000;3548,000;1839,000;3095,000;13,000;0,420;0,022;0,366
SP00059;SP;6072,000;4040,000;2032,000;3525,000;11,000;0,312;0,019;0,272
SP00060;SP;6204,000;4150,000;2054,000;3582,000;14,000;0,391;0,024;0,337
SP00061;SP;5110,000;3413,000;1697,000;2995,000;12,000;0,401;0,021;0,352
SP00062;SP;4386,000;2971,000;1415,000;2589,000;6,000;0,232;0,010;0,202
SP00063;SP;2961,000;1817,000;1144,000;1572,000;5,000;0,318;0,009;0,275
SP00064;SP;6208,000;4037,000;2171,000;3511,000;5,000;0,142;0,009;0,124
SP00065;SP;3705,000;2327,000;1378,000;1980,000;4,000;0,202;0,007;0,172
SP00066;SP;2941,000;1926,000;1015,000;1623,000;3,000;0,185;0,005;0,156
SP00067;SP;1499,000;922,000;577,000;799,000;2,000;0,250;0,003;0,217
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,003;0,098
SP00070;SP;4221,000;2997,000;1224,000;2670,000;3,000;0,112;0,005;0,100
SP00071;SP;6547,000;4082,000;2465,000;3615,000;12,000;0,332;0,021;0,294
SP00072;SP;4862,000;3103,000;1759,000;2736,000;4,000;0,146;0,007;0,129
SP00073;SP;14871,000;9817,000;5054,000;8895,000;4,000;0,045;0,007;0,041
SP00074;SP;4599,000;3060,000;1539,000;2770,000;4,000;0,144;0,007;0,131
SP00075;SP;2374,000;1530,000;844,000;1347,000;3,000;0,223;0,005;0,196
SP00076;SP;7781,000;5170,000;2611,000;4521,000;12,000;0,265;0,021;0,232
SP00077;SP;5316,000;3714,000;1602,000;3239,000;6,000;0,185;0,010;0,162
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,003;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;14,000;0,312;0,024;0,273
SP00081;SP;4985,000;3194,000;1791,000;2755,000;6,000;0,218;0,010;0,188
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,002;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;15,000;0,179;0,026;0,161
SP00084;SP;8514,000;5960,000;2554,000;5282,000;7,000;0,133;0,012;0,117
SP00085;SP;7942,000;5522,000;2420,000;4861,000;4,000;0,082;0,007;0,072
SP00086;SP;5934,000;4153,000;1781,000;3692,000;7,000;0,190;0,012;0,169
SP00087;SP;7025,000;4901,000;2124,000;4319,000;6,000;0,139;0,010;0,122
SP00088;SP;8110,000;5666,000;2444,000;5056,000;12,000;0,237;0,021;0,212
SP00089;SP;6261,000;4229,000;2032,000;3816,000;7,000;0,183;0,012;0,166
SP00090;SP;5982,000;4272,000;1710,000;3906,000;6,000;0,154;0,010;0,140
