CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,242;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,242;0,024
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,242;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,242;0,034
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,242;0,031
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,242;0,069
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,242;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,242;0,019
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,242;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,242;0,019
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,484;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;4,000;0,080;0,969;0,074
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,242;0,017
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,242;0,010
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,484;0,045
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;0,726;0,032
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,484;0,036
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,242;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,242;0,018
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,242;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,242;0,019
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,484;0,054
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,242;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,242;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,242;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,242;0,012
