CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,340;0,024
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,340;0,026
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,680;0,189
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,340;0,031
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,340;0,023
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,340;0,016
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,340;0,028
SP00086;SP;5934,000;4153,000;1781,000;3692,000;6,000;0,163;2,041;0,144
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,340;0,018
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,340;0,044
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,340;0,028
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,340;0,061
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,340;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,340;0,019
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,340;0,015
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,340;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,340;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,680;0,035
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,340;0,027
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,340;0,046
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,340;0,021
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,340;0,020
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;0,680;0,040
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,340;0,020
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,340;0,020
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,340;0,023
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,340;0,044
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,340;0,036
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,340;0,025
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,340;0,030
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,340;0,035
SP00410;SP;1624,000;1232,000;392,000;1026,000;1,000;0,097;0,340;0,081
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,340;0,017
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,340;0,029
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,340;0,018
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,340;0,023
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,340;0,019
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;0,340;0,032
SP00580;SP;3133,000;2253,000;880,000;2017,000;1,000;0,050;0,340;0,044
SP00584;SP;2542,000;1782,000;760,000;1552,000;1,000;0,064;0,340;0,056
SP00585;SP;4746,000;3318,000;1428,000;2911,000;1,000;0,034;0,340;0,030
SP00607;SP;2771,000;2166,000;605,000;1868,000;1,000;0,054;0,340;0,046
SP00625;SP;10784,000;7630,000;3154,000;7038,000;2,000;0,028;0,680;0,026
SP00640;SP;6187,000;4214,000;1973,000;3845,000;3,000;0,078;1,020;0,071
SP00672;SP;5404,000;3859,000;1545,000;3453,000;2,000;0,058;0,680;0,052
SP00686;SP;9715,000;6586,000;3129,000;5733,000;4,000;0,070;1,361;0,061
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,340;0,027
SP00689;SP;6259,000;4395,000;1864,000;3885,000;1,000;0,026;0,340;0,023
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;0,340;0,026
SP00692;SP;8151,000;5848,000;2303,000;5192,000;2,000;0,039;0,680;0,034
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,340;0,016
SP00695;SP;5738,000;3934,000;1804,000;3443,000;2,000;0,058;0,680;0,051
SP00698;SP;4269,000;3022,000;1247,000;2595,000;13,000;0,501;4,422;0,430
SP00699;SP;2845,000;1980,000;865,000;1691,000;4,000;0,237;1,361;0,202
SP00700;SP;2038,000;1296,000;742,000;1148,000;1,000;0,087;0,340;0,077
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,340;0,038
SP00704;SP;5896,000;4329,000;1567,000;3685,000;4,000;0,109;1,361;0,092
SP00705;SP;2464,000;1689,000;775,000;1474,000;7,000;0,475;2,381;0,414
SP00706;SP;5478,000;3976,000;1502,000;3402,000;14,000;0,412;4,762;0,352
SP00707;SP;6988,000;4980,000;2008,000;4238,000;6,000;0,142;2,041;0,120
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,340;0,025
SP00709;SP;5869,000;4162,000;1707,000;3614,000;4,000;0,111;1,361;0,096
SP00710;SP;3923,000;2817,000;1106,000;2427,000;1,000;0,041;0,340;0,035
SP00711;SP;4783,000;3500,000;1283,000;3017,000;1,000;0,033;0,340;0,029
SP00712;SP;7054,000;5112,000;1942,000;4323,000;29,000;0,671;9,864;0,567
SP00713;SP;5464,000;4097,000;1367,000;3538,000;20,000;0,565;6,803;0,488
SP00714;SP;3081,000;2248,000;833,000;1931,000;6,000;0,311;2,041;0,267
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,340;0,028
SP00716;SP;6085,000;4740,000;1345,000;4111,000;15,000;0,365;5,102;0,316
SP00717;SP;5351,000;4130,000;1221,000;3567,000;4,000;0,112;1,361;0,097
SP00718;SP;3625,000;2512,000;1113,000;2090,000;16,000;0,766;5,442;0,637
SP00719;SP;6130,000;4359,000;1771,000;3647,000;6,000;0,165;2,041;0,138
SP00720;SP;2043,000;1618,000;425,000;1422,000;2,000;0,141;0,680;0,124
SP00722;SP;3108,000;2416,000;692,000;2060,000;1,000;0,049;0,340;0,041
SP00723;SP;5496,000;4095,000;1401,000;3502,000;17,000;0,485;5,782;0,415
SP00774;SP;7854,000;5792,000;2062,000;5026,000;1,000;0,020;0,340;0,017
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,340;0,019
SP00777;SP;5853,000;4038,000;1815,000;3381,000;1,000;0,030;0,340;0,025
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,340;0,025
SP00802;SP;2293,000;1707,000;586,000;1374,000;1,000;0,073;0,340;0,059
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,340;0,033
SP00829;SP;1366,000;1096,000;270,000;992,000;1,000;0,101;0,340;0,091
SP00844;SP;1541,000;1163,000;378,000;977,000;1,000;0,102;0,340;0,086
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;0,340;0,026
SP00862;SP;4149,000;3028,000;1121,000;2481,000;1,000;0,040;0,340;0,033
SP00884;SP;6025,000;4117,000;1908,000;3528,000;1,000;0,028;0,340;0,024
SP00930;SP;2858,000;2200,000;658,000;1854,000;1,000;0,054;0,340;0,045
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,340;0,012
SP00965;SP;6230,000;4373,000;1857,000;3908,000;1,000;0,026;0,340;0,023
SP01001;SP;5804,000;4098,000;1706,000;3731,000;1,000;0,027;0,340;0,024
SP01006;SP;5115,000;3831,000;1284,000;3413,000;1,000;0,029;0,340;0,026
SP01051;SP;3156,000;2436,000;720,000;2042,000;1,000;0,049;0,340;0,041
SP01094;SP;4951,000;3460,000;1491,000;3031,000;1,000;0,033;0,340;0,029
