CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;1,923;0,027
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;1,923;0,049
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;1,923;0,015
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;1,923;0,061
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;1,923;0,018
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;1,923;0,057
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;1,923;0,024
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;1,923;0,042
SP00321;SP;4314,000;3059,000;1255,000;2771,000;2,000;0,072;3,846;0,065
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;1,923;0,018
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;3,846;0,065
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;1,923;0,036
SP00339;SP;3299,000;2272,000;1027,000;2075,000;8,000;0,386;15,385;0,352
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;1,923;0,037
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;1,923;0,018
SP00347;SP;3164,000;2342,000;822,000;2145,000;2,000;0,093;3,846;0,085
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;1,923;0,030
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;1,923;0,068
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;1,923;0,049
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;1,923;0,018
SP00499;SP;6834,000;4904,000;1930,000;4285,000;2,000;0,047;3,846;0,041
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;1,923;0,052
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;1,923;0,024
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;1,923;0,026
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;1,923;0,027
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;1,923;0,027
SP00889;SP;4118,000;2831,000;1287,000;2529,000;1,000;0,040;1,923;0,035
SP00975;SP;5925,000;4068,000;1857,000;3551,000;1,000;0,028;1,923;0,025
SP01005;SP;5082,000;3418,000;1664,000;3092,000;1,000;0,032;1,923;0,029
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;1,923;0,013
SP01395;SP;5978,000;4264,000;1714,000;3711,000;1,000;0,027;1,923;0,023
SP01411;SP;5127,000;3922,000;1205,000;3438,000;1,000;0,029;1,923;0,025
SP01427;SP;13842,000;9705,000;4137,000;8556,000;2,000;0,023;3,846;0,021
SP01533;SP;7786,000;5910,000;1876,000;5039,000;1,000;0,020;1,923;0,017
SP01593;SP;3907,000;3008,000;899,000;2558,000;1,000;0,039;1,923;0,033
SP01734;SP;4835,000;3770,000;1065,000;3245,000;1,000;0,031;1,923;0,027
SP01738;SP;6502,000;4692,000;1810,000;3933,000;1,000;0,025;1,923;0,021
SP01740;SP;5160,000;3900,000;1260,000;3207,000;1,000;0,031;1,923;0,026
SP02044;SP;1543,000;1193,000;350,000;1063,000;1,000;0,094;1,923;0,084
SP02053;SP;3844,000;2932,000;912,000;2581,000;1,000;0,039;1,923;0,034
