CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,781;0,021
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,781;0,037
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;1,562;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;1,562;0,045
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;1,562;0,073
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,781;0,008
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;1,562;0,063
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,781;0,039
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,781;0,024
SP00093;SP;4638,000;3524,000;1114,000;3163,000;3,000;0,095;2,344;0,085
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;1,562;0,037
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,781;0,014
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;1,562;0,023
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;1,562;0,027
SP00119;SP;8699,000;5629,000;3070,000;5241,000;2,000;0,038;1,562;0,036
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,781;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,781;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,781;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;3,000;0,058;2,344;0,053
SP00130;SP;7718,000;5325,000;2393,000;4865,000;3,000;0,062;2,344;0,056
SP00131;SP;5037,000;3622,000;1415,000;3345,000;3,000;0,090;2,344;0,083
SP00134;SP;5615,000;3841,000;1774,000;3504,000;2,000;0,057;1,562;0,052
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;1,562;0,031
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,781;0,020
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,781;0,047
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,781;0,033
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,781;0,019
SP00158;SP;5902,000;3987,000;1915,000;3372,000;2,000;0,059;1,562;0,050
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,781;0,018
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,781;0,030
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,781;0,016
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,781;0,030
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;1,562;0,030
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,781;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,781;0,018
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,781;0,045
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;1,562;0,066
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,781;0,046
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,781;0,026
SP00306;SP;5275,000;3647,000;1628,000;3252,000;2,000;0,062;1,562;0,055
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,781;0,040
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,781;0,032
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,781;0,019
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,781;0,030
SP00388;SP;1990,000;1488,000;502,000;1379,000;1,000;0,073;0,781;0,067
SP00400;SP;2153,000;1503,000;650,000;1323,000;1,000;0,076;0,781;0,067
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,781;0,020
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,781;0,024
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,781;0,026
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,781;0,026
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,781;0,025
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,781;0,026
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,781;0,038
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,781;0,015
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,781;0,033
SP00665;SP;4690,000;3236,000;1454,000;2925,000;1,000;0,034;0,781;0,031
SP00672;SP;5404,000;3859,000;1545,000;3453,000;2,000;0,058;1,562;0,052
SP00688;SP;4013,000;2804,000;1209,000;2484,000;2,000;0,081;1,562;0,071
SP00694;SP;8474,000;6228,000;2246,000;5583,000;2,000;0,036;1,562;0,032
SP00708;SP;5710,000;3952,000;1758,000;3354,000;3,000;0,089;2,344;0,076
SP00721;SP;3054,000;2197,000;857,000;1978,000;1,000;0,051;0,781;0,046
SP00734;SP;3871,000;2912,000;959,000;2509,000;1,000;0,040;0,781;0,034
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,781;0,015
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,781;0,029
