CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;1,266;0,024
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;1,266;0,029
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;1,266;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;2,000;0,109;2,532;0,091
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;1,266;0,038
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;2,532;0,065
SP00256;SP;4254,000;3283,000;971,000;2674,000;2,000;0,075;2,532;0,061
SP00257;SP;5556,000;4081,000;1475,000;3166,000;3,000;0,095;3,797;0,074
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;1,266;0,066
SP00259;SP;1803,000;1399,000;404,000;1139,000;2,000;0,176;2,532;0,143
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;1,266;0,035
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;1,266;0,021
SP00281;SP;5656,000;4194,000;1462,000;3612,000;3,000;0,083;3,797;0,072
SP00287;SP;1938,000;1490,000;448,000;1274,000;3,000;0,235;3,797;0,201
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;1,266;0,061
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;1,266;0,020
SP00400;SP;2153,000;1503,000;650,000;1323,000;1,000;0,076;1,266;0,067
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;1,266;0,031
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;1,266;0,033
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;1,266;0,080
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;1,266;0,032
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;1,266;0,029
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;1,266;0,035
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;1,266;0,022
SP00874;SP;3637,000;2753,000;884,000;2278,000;1,000;0,044;1,266;0,036
SP00878;SP;4052,000;3009,000;1043,000;2553,000;3,000;0,118;3,797;0,100
SP00896;SP;3683,000;2558,000;1125,000;2191,000;1,000;0,046;1,266;0,039
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;1,266;0,011
SP01072;SP;1029,000;793,000;236,000;657,000;1,000;0,152;1,266;0,126
SP01136;SP;6560,000;4999,000;1561,000;4267,000;1,000;0,023;1,266;0,020
SP01181;SP;4741,000;3452,000;1289,000;2824,000;1,000;0,035;1,266;0,029
SP01190;SP;5137,000;3599,000;1538,000;3067,000;2,000;0,065;2,532;0,056
SP01191;SP;7205,000;5151,000;2054,000;4314,000;2,000;0,046;2,532;0,039
SP01205;SP;6483,000;4885,000;1598,000;4000,000;2,000;0,050;2,532;0,041
SP01238;SP;4275,000;3201,000;1074,000;2644,000;1,000;0,038;1,266;0,031
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;1,266;0,020
SP01245;SP;7927,000;6126,000;1801,000;5200,000;1,000;0,019;1,266;0,016
SP01254;SP;7148,000;5309,000;1839,000;4294,000;1,000;0,023;1,266;0,019
SP01264;SP;1742,000;1334,000;408,000;1046,000;1,000;0,096;1,266;0,075
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;1,266;0,013
SP01461;SP;6903,000;5217,000;1686,000;4301,000;1,000;0,023;1,266;0,019
SP01620;SP;3851,000;2955,000;896,000;2529,000;1,000;0,040;1,266;0,034
SP01642;SP;2330,000;1658,000;672,000;1391,000;1,000;0,072;1,266;0,060
SP01643;SP;6423,000;4412,000;2011,000;3733,000;2,000;0,054;2,532;0,045
SP01644;SP;6058,000;4635,000;1423,000;3858,000;3,000;0,078;3,797;0,065
SP01652;SP;5410,000;3880,000;1530,000;3273,000;1,000;0,031;1,266;0,026
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;1,266;0,030
SP01671;SP;2362,000;1793,000;569,000;1520,000;1,000;0,066;1,266;0,056
SP01764;SP;5036,000;3884,000;1152,000;3281,000;1,000;0,030;1,266;0,026
SP01779;SP;3173,000;2448,000;725,000;2056,000;2,000;0,097;2,532;0,082
SP01803;SP;6098,000;4524,000;1574,000;3804,000;1,000;0,026;1,266;0,022
SP01805;SP;5577,000;4145,000;1432,000;3471,000;1,000;0,029;1,266;0,024
SP01811;SP;6412,000;4710,000;1702,000;3911,000;2,000;0,051;2,532;0,042
SP01814;SP;4705,000;3560,000;1145,000;2954,000;3,000;0,102;3,797;0,084
SP01919;SP;5480,000;3862,000;1618,000;3239,000;1,000;0,031;1,266;0,026
SP02011;SP;1844,000;1364,000;480,000;1118,000;1,000;0,089;1,266;0,073
SP02018;SP;4910,000;3391,000;1519,000;2745,000;1,000;0,036;1,266;0,029
