CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,617;0,025
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,617;0,026
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,617;0,020
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,617;0,016
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,617;0,018
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,617;0,025
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,617;0,015
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,617;0,025
SP00767;SP;6440,000;4457,000;1983,000;3930,000;2,000;0,051;1,235;0,045
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;0,617;0,016
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;0,617;0,026
SP00933;SP;6037,000;4261,000;1776,000;3621,000;13,000;0,359;8,025;0,305
SP00934;SP;5284,000;3737,000;1547,000;3064,000;2,000;0,065;1,235;0,054
SP00935;SP;6922,000;4974,000;1948,000;4152,000;2,000;0,048;1,235;0,040
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,617;0,020
SP00938;SP;7741,000;5514,000;2227,000;4610,000;1,000;0,022;0,617;0,018
SP00942;SP;6510,000;5027,000;1483,000;4307,000;2,000;0,046;1,235;0,040
SP00944;SP;6614,000;4784,000;1830,000;3934,000;43,000;1,093;26,543;0,899
SP00946;SP;4553,000;3449,000;1104,000;2787,000;3,000;0,108;1,852;0,087
SP00948;SP;6371,000;4901,000;1470,000;3965,000;28,000;0,706;17,284;0,571
SP00950;SP;6838,000;5137,000;1701,000;4204,000;3,000;0,071;1,852;0,058
SP00951;SP;6758,000;5122,000;1636,000;4246,000;5,000;0,118;3,086;0,098
SP00952;SP;13315,000;8912,000;4403,000;7365,000;2,000;0,027;1,235;0,022
SP00956;SP;6086,000;4211,000;1875,000;3458,000;2,000;0,058;1,235;0,047
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;0,617;0,021
SP00958;SP;5350,000;3284,000;2066,000;2681,000;3,000;0,112;1,852;0,091
SP00959;SP;7126,000;5108,000;2018,000;4199,000;7,000;0,167;4,321;0,137
SP00963;SP;706,000;535,000;171,000;445,000;1,000;0,225;0,617;0,187
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,617;0,012
SP01304;SP;3849,000;2885,000;964,000;2389,000;1,000;0,042;0,617;0,035
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;0,617;0,013
SP01367;SP;4323,000;3020,000;1303,000;2537,000;2,000;0,079;1,235;0,066
SP01368;SP;6668,000;5077,000;1591,000;4150,000;1,000;0,024;0,617;0,020
SP01369;SP;3307,000;2556,000;751,000;2150,000;2,000;0,093;1,235;0,078
SP01373;SP;6512,000;4729,000;1783,000;3906,000;2,000;0,051;1,235;0,042
SP01377;SP;6246,000;4413,000;1833,000;3586,000;1,000;0,028;0,617;0,023
SP01381;SP;5235,000;3846,000;1389,000;3111,000;1,000;0,032;0,617;0,026
SP01386;SP;5463,000;4021,000;1442,000;3254,000;2,000;0,061;1,235;0,050
SP01437;SP;5207,000;3881,000;1326,000;3148,000;1,000;0,032;0,617;0,026
SP01474;SP;7185,000;5083,000;2102,000;4320,000;1,000;0,023;0,617;0,020
SP01493;SP;3722,000;2712,000;1010,000;2272,000;1,000;0,044;0,617;0,037
SP01496;SP;5781,000;4430,000;1351,000;3721,000;1,000;0,027;0,617;0,023
SP01684;SP;4928,000;3721,000;1207,000;3132,000;1,000;0,032;0,617;0,027
SP01820;SP;8046,000;5660,000;2386,000;4881,000;1,000;0,020;0,617;0,018
SP01823;SP;7272,000;5078,000;2194,000;4264,000;5,000;0,117;3,086;0,098
SP01825;SP;5132,000;3457,000;1675,000;3002,000;1,000;0,033;0,617;0,029
SP01827;SP;6711,000;4773,000;1938,000;3991,000;2,000;0,050;1,235;0,042
SP01830;SP;3740,000;2650,000;1090,000;2266,000;1,000;0,044;0,617;0,038
SP01832;SP;6225,000;4582,000;1643,000;3756,000;1,000;0,027;0,617;0,022
SP01927;SP;6734,000;4883,000;1851,000;4168,000;1,000;0,024;0,617;0,020
