CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,244;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,488;0,049
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,488;0,041
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,488;0,035
SP00014;SP;7153,000;4433,000;2720,000;3934,000;4,000;0,102;0,976;0,090
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,732;0,094
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,244;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,244;0,028
SP00022;SP;5474,000;3858,000;1616,000;3218,000;7,000;0,218;1,707;0,181
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,244;0,019
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,244;0,043
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,244;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,244;0,030
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,488;0,071
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,488;0,031
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,244;0,025
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,244;0,021
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,244;0,028
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,244;0,046
SP00186;SP;1134,000;804,000;330,000;667,000;1,000;0,150;0,244;0,124
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,244;0,021
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,244;0,021
SP00235;SP;6359,000;4733,000;1626,000;4005,000;2,000;0,050;0,488;0,042
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,244;0,035
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,244;0,071
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,244;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,244;0,026
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,244;0,030
SP00286;SP;6009,000;4463,000;1546,000;3798,000;2,000;0,053;0,488;0,045
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,244;0,035
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,244;0,044
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,244;0,030
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,244;0,044
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,244;0,037
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,244;0,032
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,244;0,035
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,244;0,019
SP00410;SP;1624,000;1232,000;392,000;1026,000;1,000;0,097;0,244;0,081
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,244;0,025
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,244;0,017
SP00443;SP;5342,000;3920,000;1422,000;3502,000;2,000;0,057;0,488;0,051
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;0,244;0,022
SP00462;SP;5168,000;3650,000;1518,000;3226,000;3,000;0,093;0,732;0,082
SP00464;SP;4296,000;3192,000;1104,000;2765,000;2,000;0,072;0,488;0,063
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,244;0,026
SP00486;SP;4286,000;3178,000;1108,000;2833,000;1,000;0,035;0,244;0,031
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;0,244;0,025
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,244;0,029
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,244;0,086
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,244;0,018
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,244;0,025
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,244;0,030
SP00585;SP;4746,000;3318,000;1428,000;2911,000;1,000;0,034;0,244;0,030
SP00644;SP;5516,000;3931,000;1585,000;3555,000;3,000;0,084;0,732;0,076
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,244;0,033
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,244;0,018
SP00660;SP;1900,000;1365,000;535,000;1239,000;1,000;0,081;0,244;0,073
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,244;0,034
SP00678;SP;3777,000;2815,000;962,000;2493,000;1,000;0,040;0,244;0,036
SP00720;SP;2043,000;1618,000;425,000;1422,000;1,000;0,070;0,244;0,062
SP00732;SP;3768,000;2783,000;985,000;2391,000;1,000;0,042;0,244;0,036
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,244;0,015
SP00756;SP;3235,000;2278,000;957,000;1971,000;2,000;0,101;0,488;0,088
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,244;0,018
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,244;0,029
SP00773;SP;6264,000;4426,000;1838,000;3805,000;1,000;0,026;0,244;0,023
SP00779;SP;7813,000;5789,000;2024,000;4877,000;2,000;0,041;0,488;0,035
SP00788;SP;6979,000;5171,000;1808,000;4203,000;1,000;0,024;0,244;0,019
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,244;0,018
SP00848;SP;5251,000;3634,000;1617,000;3006,000;1,000;0,033;0,244;0,028
SP00871;SP;4180,000;3171,000;1009,000;2619,000;1,000;0,038;0,244;0,032
SP00872;SP;4150,000;2963,000;1187,000;2373,000;1,000;0,042;0,244;0,034
SP00876;SP;4758,000;3686,000;1072,000;3039,000;3,000;0,099;0,732;0,081
SP00877;SP;2332,000;1762,000;570,000;1425,000;3,000;0,211;0,732;0,170
SP00879;SP;5137,000;3540,000;1597,000;2959,000;1,000;0,034;0,244;0,028
SP00913;SP;3776,000;2897,000;879,000;2382,000;1,000;0,042;0,244;0,035
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,244;0,020
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;0,244;0,021
SP00948;SP;6371,000;4901,000;1470,000;3965,000;1,000;0,025;0,244;0,020
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;0,244;0,021
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,244;0,030
SP01015;SP;5212,000;3695,000;1517,000;3226,000;1,000;0,031;0,244;0,027
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;0,244;0,018
SP01035;SP;6691,000;4957,000;1734,000;4181,000;1,000;0,024;0,244;0,020
SP01039;SP;3823,000;2910,000;913,000;2407,000;1,000;0,042;0,244;0,034
SP01051;SP;3156,000;2436,000;720,000;2042,000;1,000;0,049;0,244;0,041
SP01107;SP;8910,000;6337,000;2573,000;5296,000;2,000;0,038;0,488;0,032
SP01109;SP;3179,000;2360,000;819,000;1954,000;1,000;0,051;0,244;0,042
SP01120;SP;6954,000;4897,000;2057,000;4084,000;1,000;0,024;0,244;0,020
SP01141;SP;6662,000;5002,000;1660,000;4271,000;1,000;0,023;0,244;0,020
SP01154;SP;7187,000;5411,000;1776,000;4524,000;2,000;0,044;0,488;0,037
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,244;0,026
SP01170;SP;7817,000;5560,000;2257,000;4585,000;1,000;0,022;0,244;0,018
SP01174;SP;6350,000;4434,000;1916,000;3606,000;1,000;0,028;0,244;0,023
SP01181;SP;4741,000;3452,000;1289,000;2824,000;1,000;0,035;0,244;0,029
SP01193;SP;6918,000;4893,000;2025,000;4015,000;1,000;0,025;0,244;0,020
SP01201;SP;5937,000;4477,000;1460,000;3616,000;1,000;0,028;0,244;0,022
SP01204;SP;5365,000;4097,000;1268,000;3436,000;1,000;0,029;0,244;0,024
SP01205;SP;6483,000;4885,000;1598,000;4000,000;1,000;0,025;0,244;0,020
SP01218;SP;1256,000;984,000;272,000;793,000;1,000;0,126;0,244;0,102
SP01230;SP;2563,000;1804,000;759,000;1469,000;1,000;0,068;0,244;0,055
SP01239;SP;6020,000;4603,000;1417,000;3712,000;1,000;0,027;0,244;0,022
