CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;2,041;0,025
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;2,041;0,030
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;2,041;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;2,041;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;2,041;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;2,000;0,071;4,082;0,063
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;4,082;0,035
SP00146;SP;7336,000;5404,000;1932,000;4752,000;5,000;0,105;10,204;0,093
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;2,041;0,029
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;2,041;0,029
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;2,041;0,020
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;2,041;0,020
SP00483;SP;2523,000;1867,000;656,000;1612,000;1,000;0,062;2,041;0,054
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;2,041;0,021
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;2,041;0,020
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;2,041;0,039
SP00686;SP;9715,000;6586,000;3129,000;5733,000;3,000;0,052;6,122;0,046
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;2,041;0,017
SP00906;SP;1659,000;1267,000;392,000;1089,000;1,000;0,092;2,041;0,079
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;2,041;0,019
SP00967;SP;4335,000;3041,000;1294,000;2679,000;1,000;0,037;2,041;0,033
SP00968;SP;5544,000;3913,000;1631,000;3471,000;1,000;0,029;2,041;0,026
SP01033;SP;4681,000;3640,000;1041,000;3143,000;1,000;0,032;2,041;0,027
SP01063;SP;4282,000;3023,000;1259,000;2516,000;1,000;0,040;2,041;0,033
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;2,041;0,013
SP01133;SP;5893,000;4168,000;1725,000;3571,000;1,000;0,028;2,041;0,024
SP01139;SP;2703,000;2011,000;692,000;1677,000;2,000;0,119;4,082;0,099
SP01141;SP;6662,000;5002,000;1660,000;4271,000;1,000;0,023;2,041;0,020
SP01154;SP;7187,000;5411,000;1776,000;4524,000;1,000;0,022;2,041;0,018
SP01404;SP;6132,000;4322,000;1810,000;3778,000;1,000;0,026;2,041;0,023
SP01546;SP;4679,000;3573,000;1106,000;3012,000;1,000;0,033;2,041;0,028
SP01583;SP;5432,000;4096,000;1336,000;3442,000;1,000;0,029;2,041;0,024
SP01603;SP;3140,000;2352,000;788,000;1886,000;1,000;0,053;2,041;0,043
SP01644;SP;6058,000;4635,000;1423,000;3858,000;1,000;0,026;2,041;0,022
SP01693;SP;5042,000;3888,000;1154,000;3140,000;1,000;0,032;2,041;0,026
SP01748;SP;3372,000;2550,000;822,000;2096,000;1,000;0,048;2,041;0,039
SP01770;SP;6174,000;4477,000;1697,000;3720,000;1,000;0,027;2,041;0,022
SP01863;SP;5889,000;4259,000;1630,000;3651,000;1,000;0,027;2,041;0,023
SP01906;SP;4600,000;3470,000;1130,000;2856,000;1,000;0,035;2,041;0,029
SP01974;SP;6477,000;4953,000;1524,000;4205,000;1,000;0,024;2,041;0,020
