CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,166;0,019
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,166;0,045
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,166;0,025
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,331;0,043
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,166;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,166;0,015
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,331;0,041
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,166;0,108
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,166;0,017
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,166;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,331;0,036
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,166;0,020
SP00165;SP;5151,000;3881,000;1270,000;3088,000;4,000;0,130;0,662;0,103
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,166;0,036
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,166;0,033
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,166;0,037
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,166;0,022
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,331;0,031
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,166;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;3,000;0,089;0,497;0,078
SP00190;SP;9191,000;6215,000;2976,000;5565,000;5,000;0,090;0,828;0,080
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,166;0,033
SP00195;SP;3523,000;2306,000;1217,000;2013,000;2,000;0,099;0,331;0,087
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,166;0,040
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,166;0,015
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,166;0,029
SP00215;SP;993,000;761,000;232,000;665,000;2,000;0,301;0,331;0,263
SP00217;SP;1566,000;1244,000;322,000;1121,000;3,000;0,268;0,497;0,241
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,166;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;3,000;0,090;0,497;0,078
SP00220;SP;2119,000;1454,000;665,000;1292,000;4,000;0,310;0,662;0,275
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,166;0,018
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,166;0,016
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,166;0,027
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,166;0,030
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,166;0,036
SP00695;SP;5738,000;3934,000;1804,000;3443,000;1,000;0,029;0,166;0,025
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,166;0,025
SP00716;SP;6085,000;4740,000;1345,000;4111,000;1,000;0,024;0,166;0,021
SP00726;SP;4468,000;3025,000;1443,000;2675,000;1,000;0,037;0,166;0,033
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,166;0,015
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,166;0,031
SP00748;SP;3624,000;2591,000;1033,000;2215,000;2,000;0,090;0,331;0,077
SP00779;SP;7813,000;5789,000;2024,000;4877,000;2,000;0,041;0,331;0,035
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,166;0,052
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,166;0,027
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;0,166;0,020
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,166;0,020
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,166;0,020
SP00942;SP;6510,000;5027,000;1483,000;4307,000;1,000;0,023;0,166;0,020
SP00943;SP;5578,000;4080,000;1498,000;3484,000;1,000;0,029;0,166;0,025
SP00948;SP;6371,000;4901,000;1470,000;3965,000;2,000;0,050;0,331;0,041
SP00952;SP;13315,000;8912,000;4403,000;7365,000;2,000;0,027;0,331;0,022
SP00955;SP;4285,000;3238,000;1047,000;2757,000;2,000;0,073;0,331;0,062
SP00959;SP;7126,000;5108,000;2018,000;4199,000;1,000;0,024;0,166;0,020
SP00961;SP;1021,000;668,000;353,000;532,000;1,000;0,188;0,166;0,150
SP00962;SP;709,000;496,000;213,000;397,000;1,000;0,252;0,166;0,202
SP00992;SP;1966,000;1511,000;455,000;1290,000;2,000;0,155;0,331;0,132
SP01120;SP;6954,000;4897,000;2057,000;4084,000;1,000;0,024;0,166;0,020
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,166;0,026
SP01174;SP;6350,000;4434,000;1916,000;3606,000;2,000;0,055;0,331;0,045
SP01182;SP;5929,000;4415,000;1514,000;3910,000;1,000;0,026;0,166;0,023
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,166;0,021
SP01272;SP;3598,000;2700,000;898,000;2308,000;1,000;0,043;0,166;0,037
SP01277;SP;5451,000;4180,000;1271,000;3551,000;1,000;0,028;0,166;0,024
SP01278;SP;6124,000;4326,000;1798,000;3583,000;1,000;0,028;0,166;0,023
SP01281;SP;6196,000;4845,000;1351,000;4089,000;4,000;0,098;0,662;0,083
SP01296;SP;1918,000;1444,000;474,000;1219,000;1,000;0,082;0,166;0,069
SP01298;SP;4397,000;3285,000;1112,000;2749,000;1,000;0,036;0,166;0,030
SP01300;SP;3153,000;2400,000;753,000;2048,000;1,000;0,049;0,166;0,042
SP01308;SP;4137,000;3151,000;986,000;2579,000;1,000;0,039;0,166;0,032
SP01312;SP;4582,000;3352,000;1230,000;2711,000;4,000;0,148;0,662;0,119
SP01313;SP;5646,000;4362,000;1284,000;3544,000;2,000;0,056;0,331;0,046
SP01314;SP;4826,000;3450,000;1376,000;2922,000;2,000;0,068;0,331;0,058
SP01315;SP;5836,000;4110,000;1726,000;3568,000;1,000;0,028;0,166;0,024
SP01316;SP;6703,000;4570,000;2133,000;3887,000;2,000;0,051;0,331;0,044
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;0,166;0,019
SP01318;SP;5897,000;4085,000;1812,000;3426,000;4,000;0,117;0,662;0,098
SP01319;SP;6497,000;4542,000;1955,000;3670,000;2,000;0,054;0,331;0,044
SP01320;SP;8209,000;6019,000;2190,000;5015,000;20,000;0,399;3,311;0,332
SP01321;SP;5117,000;3907,000;1210,000;3326,000;1,000;0,030;0,166;0,026
SP01322;SP;6445,000;4994,000;1451,000;4166,000;7,000;0,168;1,159;0,140
SP01323;SP;6741,000;5078,000;1663,000;4301,000;1,000;0,023;0,166;0,020
SP01324;SP;1575,000;1123,000;452,000;935,000;1,000;0,107;0,166;0,089
SP01326;SP;4913,000;3679,000;1234,000;2940,000;3,000;0,102;0,497;0,082
SP01327;SP;5676,000;4019,000;1657,000;3252,000;3,000;0,092;0,497;0,075
SP01328;SP;6187,000;4762,000;1425,000;4004,000;5,000;0,125;0,828;0,105
SP01330;SP;7538,000;5905,000;1633,000;5127,000;175,000;3,413;28,974;2,964
SP01331;SP;1932,000;1420,000;512,000;1196,000;1,000;0,084;0,166;0,070
SP01333;SP;8821,000;6398,000;2423,000;5220,000;11,000;0,211;1,821;0,172
SP01334;SP;5470,000;3996,000;1474,000;3334,000;5,000;0,150;0,828;0,125
SP01335;SP;7407,000;5504,000;1903,000;4414,000;1,000;0,023;0,166;0,018
SP01337;SP;5929,000;4445,000;1484,000;3629,000;2,000;0,055;0,331;0,045
SP01338;SP;10511,000;7553,000;2958,000;6278,000;5,000;0,080;0,828;0,066
SP01339;SP;6726,000;4990,000;1736,000;3954,000;1,000;0,025;0,166;0,020
SP01340;SP;6735,000;5134,000;1601,000;4118,000;3,000;0,073;0,497;0,058
SP01341;SP;3295,000;2546,000;749,000;2084,000;1,000;0,048;0,166;0,039
SP01342;SP;1975,000;1567,000;408,000;1312,000;1,000;0,076;0,166;0,064
SP01343;SP;2274,000;1747,000;527,000;1438,000;3,000;0,209;0,497;0,172
SP01344;SP;1994,000;1507,000;487,000;1250,000;1,000;0,080;0,166;0,066
SP01345;SP;3443,000;2632,000;811,000;2198,000;2,000;0,091;0,331;0,076
SP01346;SP;4333,000;3268,000;1065,000;2784,000;1,000;0,036;0,166;0,031
SP01347;SP;7950,000;5978,000;1972,000;5066,000;13,000;0,257;2,152;0,217
SP01348;SP;3369,000;2354,000;1015,000;1888,000;7,000;0,371;1,159;0,297
SP01349;SP;7723,000;5766,000;1957,000;4646,000;3,000;0,065;0,497;0,052
SP01354;SP;7702,000;5819,000;1883,000;4593,000;1,000;0,022;0,166;0,017
SP01359;SP;839,000;573,000;266,000;457,000;1,000;0,219;0,166;0,175
SP01361;SP;7818,000;5512,000;2306,000;4598,000;3,000;0,065;0,497;0,054
SP01362;SP;7767,000;5488,000;2279,000;4591,000;3,000;0,065;0,497;0,055
SP01363;SP;5696,000;3998,000;1698,000;3277,000;2,000;0,061;0,331;0,050
SP01364;SP;3423,000;2550,000;873,000;2100,000;2,000;0,095;0,331;0,078
SP01365;SP;4472,000;3176,000;1296,000;2649,000;2,000;0,076;0,331;0,063
SP01366;SP;6944,000;5099,000;1845,000;4243,000;1,000;0,024;0,166;0,020
SP01368;SP;6668,000;5077,000;1591,000;4150,000;2,000;0,048;0,331;0,039
SP01369;SP;3307,000;2556,000;751,000;2150,000;1,000;0,047;0,166;0,039
SP01370;SP;6243,000;4702,000;1541,000;3926,000;7,000;0,178;1,159;0,149
SP01375;SP;4586,000;3582,000;1004,000;2958,000;1,000;0,034;0,166;0,028
SP01378;SP;5134,000;3809,000;1325,000;3086,000;3,000;0,097;0,497;0,079
SP01386;SP;5463,000;4021,000;1442,000;3254,000;3,000;0,092;0,497;0,075
SP01388;SP;4349,000;3282,000;1067,000;2705,000;5,000;0,185;0,828;0,152
SP01389;SP;5537,000;3939,000;1598,000;3325,000;3,000;0,090;0,497;0,076
SP01390;SP;5471,000;4004,000;1467,000;3342,000;17,000;0,509;2,815;0,425
SP01392;SP;5417,000;4157,000;1260,000;3419,000;1,000;0,029;0,166;0,024
SP01393;SP;4576,000;3329,000;1247,000;2824,000;8,000;0,283;1,325;0,240
SP01412;SP;6509,000;4892,000;1617,000;4139,000;1,000;0,024;0,166;0,020
SP01439;SP;4463,000;3192,000;1271,000;2737,000;1,000;0,037;0,166;0,031
SP01445;SP;5567,000;4250,000;1317,000;3503,000;2,000;0,057;0,331;0,047
SP01448;SP;2723,000;2084,000;639,000;1723,000;1,000;0,058;0,166;0,048
SP01476;SP;4315,000;3049,000;1266,000;2546,000;1,000;0,039;0,166;0,033
SP01492;SP;6727,000;4828,000;1899,000;4030,000;1,000;0,025;0,166;0,021
SP01520;SP;4453,000;3273,000;1180,000;2709,000;1,000;0,037;0,166;0,031
SP01528;SP;3192,000;2439,000;753,000;2080,000;1,000;0,048;0,166;0,041
SP01540;SP;3159,000;2384,000;775,000;1968,000;1,000;0,051;0,166;0,042
