CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,685;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,685;0,018
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;1,370;0,033
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,685;0,019
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,685;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,685;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,685;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;1,370;0,064
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,685;0,028
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,685;0,036
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;1,370;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;1,370;0,016
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,685;0,052
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,685;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,685;0,026
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,685;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,685;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,685;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;1,370;0,037
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,685;0,017
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;1,370;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,685;0,016
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;1,370;0,055
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,685;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,685;0,010
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,685;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,685;0,019
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,685;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,685;0,011
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,685;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,685;0,020
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;1,370;0,072
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,685;0,020
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,685;0,031
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,685;0,108
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,685;0,018
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,685;0,016
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,685;0,050
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,685;0,015
