CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;3,000;0,059;0,802;0,054
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,267;0,028
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,535;0,041
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,267;0,017
SP00023;SP;2029,000;1448,000;581,000;1264,000;2,000;0,158;0,535;0,138
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,802;0,024
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,267;0,052
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,267;0,019
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,267;0,018
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,535;0,091
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,267;0,016
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,267;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,535;0,046
SP00049;SP;2731,000;2018,000;713,000;1902,000;2,000;0,105;0,535;0,099
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,267;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,267;0,019
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,267;0,010
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,267;0,027
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,267;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,267;0,011
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,267;0,033
SP00113;SP;4368,000;2914,000;1454,000;2731,000;2,000;0,073;0,535;0,069
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,267;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,267;0,013
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,267;0,036
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,535;0,055
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,267;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,267;0,018
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,267;0,018
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,267;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,267;0,023
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,267;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,267;0,033
