CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;1,149;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;1,149;0,018
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;1,149;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;3,000;0,109;3,448;0,096
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;2,299;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;2,299;0,061
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;1,149;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;2,299;0,052
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;1,149;0,021
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;1,149;0,034
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;2,299;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;1,149;0,019
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;1,149;0,010
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;1,149;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;1,149;0,011
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;1,149;0,057
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;1,149;0,036
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;1,149;0,034
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;2,299;0,029
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;1,149;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;1,149;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;1,149;0,030
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;1,149;0,035
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;2,299;0,047
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;1,149;0,033
SP00346;SP;1595,000;1205,000;390,000;1113,000;1,000;0,090;1,149;0,083
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;1,149;0,023
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;1,149;0,018
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;1,149;0,059
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;1,149;0,041
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;1,149;0,029
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;1,149;0,021
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;1,149;0,028
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;1,149;0,032
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;1,149;0,021
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;1,149;0,032
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;1,149;0,024
SP00558;SP;5547,000;4114,000;1433,000;3404,000;1,000;0,029;1,149;0,024
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;1,149;0,034
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;1,149;0,025
SP00695;SP;5738,000;3934,000;1804,000;3443,000;1,000;0,029;1,149;0,025
SP00809;SP;4931,000;3684,000;1247,000;3295,000;1,000;0,030;1,149;0,027
SP00835;SP;4136,000;2891,000;1245,000;2501,000;1,000;0,040;1,149;0,035
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;1,149;0,026
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;1,149;0,035
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;1,149;0,030
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;1,149;0,031
SP00947;SP;6568,000;4904,000;1664,000;4056,000;1,000;0,025;1,149;0,020
SP00959;SP;7126,000;5108,000;2018,000;4199,000;1,000;0,024;1,149;0,020
SP00972;SP;5527,000;3750,000;1777,000;3325,000;1,000;0,030;1,149;0,027
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;1,149;0,033
SP01001;SP;5804,000;4098,000;1706,000;3731,000;1,000;0,027;1,149;0,024
SP01007;SP;3314,000;2392,000;922,000;2070,000;1,000;0,048;1,149;0,042
SP01021;SP;5856,000;4048,000;1808,000;3411,000;1,000;0,029;1,149;0,025
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;1,149;0,029
SP01047;SP;2728,000;2106,000;622,000;1772,000;1,000;0,056;1,149;0,047
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;1,149;0,023
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;1,149;0,016
SP01116;SP;3795,000;3002,000;793,000;2684,000;1,000;0,037;1,149;0,033
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;1,149;0,027
SP01163;SP;4114,000;2788,000;1326,000;2400,000;1,000;0,042;1,149;0,036
SP01171;SP;6620,000;4759,000;1861,000;3966,000;1,000;0,025;1,149;0,021
SP01328;SP;6187,000;4762,000;1425,000;4004,000;1,000;0,025;1,149;0,021
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;1,149;0,021
SP01407;SP;5751,000;3974,000;1777,000;3419,000;1,000;0,029;1,149;0,025
SP01440;SP;4739,000;3347,000;1392,000;2705,000;1,000;0,037;1,149;0,030
SP01522;SP;2437,000;1847,000;590,000;1570,000;1,000;0,064;1,149;0,054
SP01584;SP;4414,000;3438,000;976,000;2829,000;1,000;0,035;1,149;0,029
SP01708;SP;4897,000;3752,000;1145,000;3009,000;1,000;0,033;1,149;0,027
SP01759;SP;4843,000;3633,000;1210,000;3053,000;2,000;0,066;2,299;0,055
SP01768;SP;5069,000;3536,000;1533,000;2973,000;2,000;0,067;2,299;0,057
SP01792;SP;4050,000;2861,000;1189,000;2330,000;2,000;0,086;2,299;0,070
SP01858;SP;8697,000;5871,000;2826,000;5026,000;1,000;0,020;1,149;0,017
SP01868;SP;4200,000;3182,000;1018,000;2758,000;1,000;0,036;1,149;0,031
SP01917;SP;4628,000;3281,000;1347,000;2811,000;1,000;0,036;1,149;0,030
SP02017;SP;5843,000;4354,000;1489,000;3669,000;1,000;0,027;1,149;0,023
