CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;2,564;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;2,564;0,017
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;2,564;0,008
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;2,564;0,019
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;5,128;0,091
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;2,564;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;2,564;0,023
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;5,128;0,064
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;2,564;0,027
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;2,564;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;3,000;0,097;7,692;0,085
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;2,564;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;3,000;0,083;7,692;0,073
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;5,128;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;2,564;0,033
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;2,564;0,027
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;2,564;0,033
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;2,564;0,020
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;2,564;0,064
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;2,564;0,022
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;2,564;0,028
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;2,564;0,024
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;2,564;0,028
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;2,564;0,025
SP00837;SP;2272,000;1787,000;485,000;1553,000;1,000;0,064;2,564;0,056
SP01279;SP;7160,000;5349,000;1811,000;4413,000;1,000;0,023;2,564;0,019
SP01413;SP;5838,000;4146,000;1692,000;3467,000;1,000;0,029;2,564;0,024
SP01497;SP;5264,000;3875,000;1389,000;3261,000;1,000;0,031;2,564;0,026
SP01725;SP;6477,000;4901,000;1576,000;4149,000;1,000;0,024;2,564;0,020
SP01807;SP;4489,000;3336,000;1153,000;2767,000;1,000;0,036;2,564;0,030
SP01813;SP;5173,000;3885,000;1288,000;3261,000;2,000;0,061;5,128;0,051
