CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,086;0,018
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,172;0,035
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,086;0,016
SP00017;SP;6847,000;4140,000;2707,000;3704,000;3,000;0,081;0,258;0,072
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,086;0,028
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,086;0,026
SP00028;SP;8070,000;5175,000;2895,000;4726,000;7,000;0,148;0,601;0,135
SP00029;SP;17797,000;12599,000;5198,000;11769,000;8,000;0,068;0,687;0,063
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,086;0,023
SP00035;SP;5608,000;3859,000;1749,000;3432,000;8,000;0,233;0,687;0,207
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,172;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;5,000;0,139;0,430;0,127
SP00038;SP;8044,000;5650,000;2394,000;5177,000;4,000;0,077;0,344;0,071
SP00039;SP;6391,000;4336,000;2055,000;3981,000;3,000;0,075;0,258;0,069
SP00040;SP;7288,000;5434,000;1854,000;4999,000;3,000;0,060;0,258;0,055
SP00041;SP;4585,000;3191,000;1394,000;2950,000;3,000;0,102;0,258;0,094
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,172;0,068
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,172;0,035
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,172;0,046
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,086;0,069
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,086;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,172;0,037
SP00063;SP;2961,000;1817,000;1144,000;1572,000;2,000;0,127;0,172;0,110
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,172;0,050
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,086;0,043
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,258;0,031
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,086;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,086;0,024
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,086;0,030
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,086;0,020
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,086;0,035
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,086;0,027
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,086;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,086;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;3,000;0,037;0,258;0,034
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,172;0,025
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,086;0,020
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,086;0,027
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,086;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,086;0,026
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,086;0,027
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,086;0,016
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,086;0,031
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,086;0,027
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,172;0,037
