CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,524;0,045
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,349;0,036
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,175;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,175;0,024
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,349;0,074
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,349;0,033
SP00011;SP;7822,000;5249,000;2573,000;4769,000;4,000;0,084;0,698;0,076
SP00012;SP;9441,000;6116,000;3325,000;5498,000;4,000;0,073;0,698;0,065
SP00013;SP;4269,000;2958,000;1311,000;2742,000;3,000;0,109;0,524;0,101
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,524;0,094
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,175;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,175;0,028
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,175;0,069
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,175;0,220
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,175;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,175;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,175;0,021
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,175;0,023
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,349;0,053
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,175;0,034
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,175;0,055
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,349;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,175;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,349;0,039
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,175;0,011
SP00090;SP;5982,000;4272,000;1710,000;3906,000;2,000;0,051;0,349;0,047
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,175;0,037
