CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,135;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,135;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,271;0,049
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,135;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,406;0,052
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,135;0,037
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,271;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,135;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;2,000;0,072;0,271;0,062
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,135;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,271;0,048
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,135;0,036
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,135;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,135;0,008
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,135;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,135;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,135;0,012
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,135;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,271;0,052
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,135;0,021
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,135;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,135;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;3,000;0,056;0,406;0,052
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,135;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,135;0,016
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,271;0,060
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,135;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,135;0,050
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,135;0,069
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,135;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,271;0,053
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,135;0,029
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,135;0,034
SP00070;SP;4221,000;2997,000;1224,000;2670,000;3,000;0,112;0,406;0,100
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,271;0,049
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,135;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,271;0,022
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,135;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,271;0,041
SP00088;SP;8110,000;5666,000;2444,000;5056,000;3,000;0,059;0,406;0,053
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,135;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,135;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;7,000;0,171;0,947;0,150
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,271;0,035
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,135;0,028
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,135;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,135;0,019
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,135;0,030
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,135;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,271;0,040
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,135;0,027
SP00113;SP;4368,000;2914,000;1454,000;2731,000;2,000;0,073;0,271;0,069
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,135;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,271;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;0,406;0,040
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,135;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;4,000;0,165;0,541;0,150
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,135;0,061
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,135;0,057
SP00124;SP;5471,000;3750,000;1721,000;3417,000;2,000;0,059;0,271;0,053
SP00125;SP;8768,000;6055,000;2713,000;5539,000;4,000;0,072;0,541;0,066
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,135;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,271;0,031
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,135;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,271;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,135;0,028
SP00133;SP;4191,000;2905,000;1286,000;2648,000;2,000;0,076;0,271;0,069
SP00134;SP;5615,000;3841,000;1774,000;3504,000;6,000;0,171;0,812;0,156
SP00135;SP;10099,000;6853,000;3246,000;5983,000;3,000;0,050;0,406;0,044
SP00137;SP;6956,000;4953,000;2003,000;4471,000;4,000;0,089;0,541;0,081
SP00138;SP;3114,000;2129,000;985,000;1891,000;2,000;0,106;0,271;0,094
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,135;0,018
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,135;0,031
SP00142;SP;4541,000;2990,000;1551,000;2638,000;2,000;0,076;0,271;0,067
SP00143;SP;8101,000;5686,000;2415,000;5122,000;5,000;0,098;0,677;0,088
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,135;0,025
SP00145;SP;4652,000;3551,000;1101,000;3217,000;5,000;0,155;0,677;0,141
SP00147;SP;7272,000;5483,000;1789,000;5016,000;2,000;0,040;0,271;0,036
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,135;0,027
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,135;0,021
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,135;0,050
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,135;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,135;0,016
SP00193;SP;4453,000;3011,000;1442,000;2715,000;2,000;0,074;0,271;0,066
SP00194;SP;8615,000;6268,000;2347,000;5780,000;3,000;0,052;0,406;0,048
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;0,271;0,028
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,271;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,271;0,037
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,135;0,033
SP00216;SP;2036,000;1558,000;478,000;1384,000;1,000;0,072;0,135;0,064
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,135;0,080
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,135;0,039
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,135;0,030
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,135;0,029
SP00226;SP;6504,000;4681,000;1823,000;3905,000;3,000;0,077;0,406;0,064
SP00229;SP;6362,000;4716,000;1646,000;4007,000;2,000;0,050;0,271;0,042
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,135;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,135;0,022
SP00242;SP;4031,000;3017,000;1014,000;2461,000;1,000;0,041;0,135;0,033
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,135;0,032
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,135;0,029
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,135;0,066
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;0,271;0,025
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,135;0,023
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,135;0,035
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,135;0,021
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,135;0,033
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,135;0,063
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,135;0,064
SP00302;SP;5488,000;4163,000;1325,000;3804,000;3,000;0,079;0,406;0,072
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,135;0,027
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,135;0,025
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,135;0,054
SP00315;SP;5861,000;4276,000;1585,000;3850,000;2,000;0,052;0,271;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;2,000;0,034;0,271;0,031
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,135;0,056
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;0,271;0,036
