CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,172;0,031
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,172;0,008
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,172;0,023
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,172;0,069
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,172;0,055
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,172;0,018
SP00097;SP;4480,000;3320,000;1160,000;2831,000;3,000;0,106;0,517;0,090
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,172;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,172;0,030
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,172;0,029
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,172;0,044
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,172;0,017
SP00130;SP;7718,000;5325,000;2393,000;4865,000;3,000;0,062;0,517;0,056
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,172;0,030
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,172;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,172;0,015
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,172;0,018
SP00221;SP;3925,000;2950,000;975,000;2531,000;3,000;0,119;0,517;0,102
SP00222;SP;5627,000;4034,000;1593,000;3525,000;4,000;0,113;0,690;0,099
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,172;0,052
SP00224;SP;4682,000;3295,000;1387,000;2841,000;2,000;0,070;0,345;0,061
SP00225;SP;4793,000;3416,000;1377,000;2882,000;9,000;0,312;1,552;0,263
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,172;0,021
SP00229;SP;6362,000;4716,000;1646,000;4007,000;4,000;0,100;0,690;0,085
SP00230;SP;4442,000;3139,000;1303,000;2668,000;3,000;0,112;0,517;0,096
SP00233;SP;2180,000;1518,000;662,000;1306,000;2,000;0,153;0,345;0,132
SP00234;SP;1126,000;832,000;294,000;718,000;3,000;0,418;0,517;0,361
SP00237;SP;4589,000;3414,000;1175,000;2908,000;32,000;1,100;5,517;0,937
SP00238;SP;6012,000;4671,000;1341,000;3951,000;2,000;0,051;0,345;0,043
SP00239;SP;5869,000;4516,000;1353,000;3700,000;2,000;0,054;0,345;0,044
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,172;0,041
SP00245;SP;1860,000;1458,000;402,000;1167,000;1,000;0,086;0,172;0,069
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,172;0,042
SP00249;SP;3623,000;2627,000;996,000;2284,000;6,000;0,263;1,034;0,228
SP00250;SP;4023,000;3125,000;898,000;2566,000;6,000;0,234;1,034;0,192
SP00251;SP;3854,000;2856,000;998,000;2435,000;22,000;0,903;3,793;0,770
SP00252;SP;4288,000;3078,000;1210,000;2638,000;7,000;0,265;1,207;0,227
SP00255;SP;6778,000;5044,000;1734,000;4293,000;12,000;0,280;2,069;0,238
SP00259;SP;1803,000;1399,000;404,000;1139,000;3,000;0,263;0,517;0,214
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;0,345;0,025
SP00264;SP;6606,000;4757,000;1849,000;3973,000;4,000;0,101;0,690;0,084
SP00272;SP;3513,000;2773,000;740,000;2324,000;2,000;0,086;0,345;0,072
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,172;0,031
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,172;0,020
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,172;0,037
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,172;0,054
SP00395;SP;7319,000;5036,000;2283,000;4255,000;3,000;0,071;0,517;0,060
