CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,617;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;1,235;0,061
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,617;0,018
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,617;0,039
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,617;0,032
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,617;0,029
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;1,235;0,039
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,617;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;1,235;0,022
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;1,235;0,036
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,617;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;1,235;0,035
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,617;0,019
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,617;0,034
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,617;0,058
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,617;0,034
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,617;0,026
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,617;0,033
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,617;0,014
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,617;0,078
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,617;0,021
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,617;0,046
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;1,235;0,040
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,617;0,066
SP00297;SP;1311,000;946,000;365,000;845,000;1,000;0,118;0,617;0,106
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,617;0,031
SP00322;SP;8258,000;5548,000;2710,000;4975,000;3,000;0,060;1,852;0,054
SP00323;SP;4008,000;2671,000;1337,000;2414,000;3,000;0,124;1,852;0,112
SP00363;SP;6587,000;4335,000;2252,000;4017,000;2,000;0,050;1,235;0,046
SP00367;SP;3181,000;2043,000;1138,000;1835,000;2,000;0,109;1,235;0,098
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,617;0,030
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,617;0,044
SP00391;SP;3539,000;2437,000;1102,000;2119,000;2,000;0,094;1,235;0,082
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,617;0,028
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,617;0,019
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;0,617;0,080
SP00419;SP;4961,000;3484,000;1477,000;3096,000;5,000;0,161;3,086;0,144
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,617;0,046
SP00422;SP;10320,000;7595,000;2725,000;6744,000;3,000;0,044;1,852;0,039
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,617;0,029
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,617;0,027
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,617;0,028
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,617;0,017
SP00431;SP;4417,000;3122,000;1295,000;2760,000;2,000;0,072;1,235;0,064
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,617;0,031
SP00448;SP;2058,000;1544,000;514,000;1354,000;2,000;0,148;1,235;0,130
SP00449;SP;6333,000;4838,000;1495,000;4289,000;3,000;0,070;1,852;0,062
SP00450;SP;4825,000;3770,000;1055,000;3407,000;3,000;0,088;1,852;0,080
SP00452;SP;3018,000;2212,000;806,000;1929,000;2,000;0,104;1,235;0,090
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,617;0,017
SP00466;SP;6038,000;4389,000;1649,000;3812,000;2,000;0,052;1,235;0,046
SP00470;SP;4692,000;3265,000;1427,000;2911,000;2,000;0,069;1,235;0,061
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,617;0,074
SP00610;SP;4996,000;3877,000;1119,000;3393,000;2,000;0,059;1,235;0,052
SP00616;SP;3937,000;3054,000;883,000;2687,000;1,000;0,037;0,617;0,033
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,617;0,015
SP00773;SP;6264,000;4426,000;1838,000;3805,000;1,000;0,026;0,617;0,023
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;0,617;0,026
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;0,617;0,022
SP00866;SP;2305,000;1801,000;504,000;1511,000;1,000;0,066;0,617;0,056
