CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,262;0,015
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,262;0,021
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,262;0,037
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,262;0,023
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,262;0,034
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,262;0,049
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,262;0,010
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,262;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,262;0,018
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,262;0,035
SP00098;SP;5038,000;3701,000;1337,000;3156,000;4,000;0,127;1,050;0,108
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,262;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,262;0,015
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,262;0,011
SP00124;SP;5471,000;3750,000;1721,000;3417,000;2,000;0,059;0,525;0,053
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,262;0,036
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,262;0,030
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,262;0,034
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,262;0,047
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,262;0,015
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,262;0,021
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,262;0,032
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,262;0,021
SP00243;SP;3895,000;2713,000;1182,000;2275,000;2,000;0,088;0,525;0,074
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,262;0,046
SP00250;SP;4023,000;3125,000;898,000;2566,000;3,000;0,117;0,787;0,096
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;0,525;0,065
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,262;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;2,000;0,063;0,525;0,049
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,262;0,021
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,262;0,023
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,262;0,030
SP00274;SP;5083,000;4027,000;1056,000;3417,000;3,000;0,088;0,787;0,074
SP00279;SP;3855,000;2853,000;1002,000;2307,000;2,000;0,087;0,525;0,070
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,262;0,061
SP00311;SP;4745,000;3212,000;1533,000;2868,000;2,000;0,070;0,525;0,062
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,262;0,030
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,262;0,032
SP00381;SP;4728,000;3340,000;1388,000;3119,000;1,000;0,032;0,262;0,030
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,262;0,028
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;0,525;0,039
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,262;0,058
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;0,262;0,080
SP00425;SP;6519,000;4845,000;1674,000;4356,000;2,000;0,046;0,525;0,041
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,262;0,029
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,262;0,036
SP00434;SP;5194,000;3618,000;1576,000;3183,000;5,000;0,157;1,312;0,138
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,262;0,019
SP00436;SP;2845,000;1967,000;878,000;1697,000;3,000;0,177;0,787;0,153
