CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,045;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,045;0,028
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,045;0,026
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,091;0,038
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,045;0,031
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,045;0,026
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,045;0,034
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,045;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,045;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,045;0,024
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,045;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,045;0,018
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,045;0,044
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,045;0,028
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,045;0,014
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,045;0,011
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,045;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,045;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,045;0,020
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,045;0,030
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,045;0,015
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,045;0,025
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,045;0,025
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,045;0,018
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,045;0,020
SP00182;SP;780,000;558,000;222,000;444,000;1,000;0,225;0,045;0,179
SP00185;SP;785,000;570,000;215,000;463,000;1,000;0,216;0,045;0,175
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,045;0,016
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,045;0,044
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,091;0,032
SP00195;SP;3523,000;2306,000;1217,000;2013,000;2,000;0,099;0,091;0,087
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,045;0,040
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,045;0,015
SP00200;SP;4987,000;3648,000;1339,000;3251,000;3,000;0,092;0,136;0,082
SP00201;SP;9459,000;6572,000;2887,000;5989,000;3,000;0,050;0,136;0,046
SP00202;SP;7973,000;5469,000;2504,000;5015,000;4,000;0,080;0,182;0,073
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,045;0,021
SP00205;SP;3126,000;2267,000;859,000;2107,000;2,000;0,095;0,091;0,088
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,045;0,045
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,045;0,028
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,045;0,021
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,045;0,023
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,045;0,040
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,045;0,032
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,045;0,045
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,045;0,027
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,045;0,019
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,045;0,025
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,045;0,035
SP00399;SP;4200,000;2969,000;1231,000;2600,000;1,000;0,038;0,045;0,034
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,045;0,021
SP00437;SP;4783,000;3440,000;1343,000;3049,000;2,000;0,066;0,091;0,058
SP00440;SP;4147,000;2940,000;1207,000;2548,000;1,000;0,039;0,045;0,034
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,045;0,023
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,045;0,030
SP00521;SP;5002,000;3490,000;1512,000;2901,000;2,000;0,069;0,091;0,057
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,045;0,019
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,045;0,018
SP00561;SP;4720,000;3508,000;1212,000;2955,000;1,000;0,034;0,045;0,029
SP00578;SP;2949,000;2238,000;711,000;2000,000;1,000;0,050;0,045;0,045
SP00588;SP;5167,000;3521,000;1646,000;3105,000;1,000;0,032;0,045;0,028
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,045;0,020
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,045;0,017
SP00624;SP;6339,000;4326,000;2013,000;3981,000;2,000;0,050;0,091;0,046
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,045;0,013
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,045;0,023
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,045;0,041
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,045;0,026
SP00631;SP;2522,000;1571,000;951,000;1400,000;4,000;0,286;0,182;0,255
SP00632;SP;9851,000;7134,000;2717,000;6537,000;4,000;0,061;0,182;0,056
SP00633;SP;3955,000;2796,000;1159,000;2560,000;1,000;0,039;0,045;0,036
SP00634;SP;6679,000;4545,000;2134,000;4143,000;5,000;0,121;0,227;0,110
SP00635;SP;5917,000;4054,000;1863,000;3591,000;8,000;0,223;0,363;0,197
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,045;0,020
SP00637;SP;5885,000;3783,000;2102,000;3470,000;2,000;0,058;0,091;0,053
SP00638;SP;6804,000;4640,000;2164,000;4208,000;6,000;0,143;0,272;0,129
SP00639;SP;9027,000;6272,000;2755,000;5745,000;6,000;0,104;0,272;0,096
SP00640;SP;6187,000;4214,000;1973,000;3845,000;2,000;0,052;0,091;0,047
SP00641;SP;6983,000;4703,000;2280,000;4242,000;7,000;0,165;0,318;0,149
SP00642;SP;5042,000;3746,000;1296,000;3356,000;14,000;0,417;0,635;0,374
SP00643;SP;3354,000;2459,000;895,000;2145,000;6,000;0,280;0,272;0,244
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,045;0,039
SP00649;SP;2648,000;1982,000;666,000;1760,000;2,000;0,114;0,091;0,101
SP00650;SP;4689,000;3535,000;1154,000;3191,000;12,000;0,376;0,545;0,339
SP00651;SP;4603,000;3022,000;1581,000;2669,000;4,000;0,150;0,182;0,132
SP00652;SP;4711,000;3356,000;1355,000;2915,000;31,000;1,063;1,407;0,924
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,045;0,025
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,045;0,033
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,045;0,018
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,045;0,021
SP00658;SP;4399,000;3055,000;1344,000;2774,000;4,000;0,144;0,182;0,131
SP00663;SP;4883,000;3374,000;1509,000;3029,000;2,000;0,066;0,091;0,059
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,045;0,034
SP00668;SP;5384,000;3806,000;1578,000;3465,000;3,000;0,087;0,136;0,079
SP00678;SP;3777,000;2815,000;962,000;2493,000;1,000;0,040;0,045;0,036
SP00679;SP;4304,000;3017,000;1287,000;2683,000;4,000;0,149;0,182;0,133
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,045;0,026
SP00701;SP;4091,000;3020,000;1071,000;2626,000;1,000;0,038;0,045;0,033
SP00704;SP;5896,000;4329,000;1567,000;3685,000;2,000;0,054;0,091;0,046
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,045;0,024
SP00724;SP;3664,000;2699,000;965,000;2432,000;1,000;0,041;0,045;0,037
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,045;0,017
SP00732;SP;3768,000;2783,000;985,000;2391,000;2,000;0,084;0,091;0,072
SP00735;SP;5909,000;4419,000;1490,000;3878,000;3,000;0,077;0,136;0,068
SP00736;SP;6501,000;5079,000;1422,000;4352,000;1,000;0,023;0,045;0,020
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,045;0,021
SP00740;SP;3936,000;3068,000;868,000;2621,000;2,000;0,076;0,091;0,065
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,045;0,031
SP00765;SP;8135,000;5621,000;2514,000;4929,000;15,000;0,304;0,681;0,267
SP00766;SP;7053,000;4968,000;2085,000;4402,000;3,000;0,068;0,136;0,060
SP00767;SP;6440,000;4457,000;1983,000;3930,000;3,000;0,076;0,136;0,067
SP00769;SP;5078,000;3464,000;1614,000;3068,000;10,000;0,326;0,454;0,289
SP00770;SP;6150,000;4203,000;1947,000;3615,000;7,000;0,194;0,318;0,167
SP00771;SP;7436,000;5164,000;2272,000;4500,000;29,000;0,644;1,316;0,562
SP00772;SP;5664,000;4117,000;1547,000;3538,000;96,000;2,713;4,358;2,332
SP00773;SP;6264,000;4426,000;1838,000;3805,000;200,000;5,256;9,079;4,519
SP00774;SP;7854,000;5792,000;2062,000;5026,000;446,000;8,874;20,245;7,700
SP00775;SP;7449,000;5305,000;2144,000;4528,000;244,000;5,389;11,076;4,599
SP00776;SP;6598,000;4696,000;1902,000;4003,000;36,000;0,899;1,634;0,767
SP00777;SP;5853,000;4038,000;1815,000;3381,000;7,000;0,207;0,318;0,173
SP00778;SP;7392,000;5180,000;2212,000;4241,000;10,000;0,236;0,454;0,193
SP00779;SP;7813,000;5789,000;2024,000;4877,000;30,000;0,615;1,362;0,518
