CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;1,020;0,015
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;1,020;0,023
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;2,041;0,055
SP00111;SP;5405,000;3713,000;1692,000;3463,000;3,000;0,087;3,061;0,081
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;1,020;0,011
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;1,020;0,014
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;1,020;0,029
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;1,020;0,029
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;1,020;0,021
SP00279;SP;3855,000;2853,000;1002,000;2307,000;2,000;0,087;2,041;0,070
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;1,020;0,033
SP00420;SP;1442,000;1026,000;416,000;925,000;1,000;0,108;1,020;0,097
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;1,020;0,013
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;1,020;0,032
SP00425;SP;6519,000;4845,000;1674,000;4356,000;3,000;0,069;3,061;0,062
SP00428;SP;5397,000;3698,000;1699,000;3296,000;2,000;0,061;2,041;0,054
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;1,020;0,028
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;1,020;0,017
SP00432;SP;3964,000;2754,000;1210,000;2401,000;2,000;0,083;2,041;0,073
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;1,020;0,028
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;1,020;0,019
SP00436;SP;2845,000;1967,000;878,000;1697,000;4,000;0,236;4,082;0,203
SP00439;SP;3746,000;2751,000;995,000;2414,000;3,000;0,124;3,061;0,109
SP00440;SP;4147,000;2940,000;1207,000;2548,000;1,000;0,039;1,020;0,034
SP00441;SP;4817,000;3411,000;1406,000;2965,000;1,000;0,034;1,020;0,029
SP00442;SP;3055,000;2335,000;720,000;2045,000;1,000;0,049;1,020;0,043
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;1,020;0,018
SP00453;SP;1256,000;908,000;348,000;767,000;1,000;0,130;1,020;0,110
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;1,020;0,035
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;1,020;0,023
SP00712;SP;7054,000;5112,000;1942,000;4323,000;1,000;0,023;1,020;0,020
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;1,020;0,044
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;1,020;0,020
SP00809;SP;4931,000;3684,000;1247,000;3295,000;3,000;0,091;3,061;0,081
SP00875;SP;4489,000;3490,000;999,000;2842,000;1,000;0,035;1,020;0,029
SP00955;SP;4285,000;3238,000;1047,000;2757,000;1,000;0,036;1,020;0,031
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;1,020;0,012
SP01013;SP;5581,000;4094,000;1487,000;3585,000;1,000;0,028;1,020;0,024
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;1,020;0,018
SP01020;SP;1678,000;1325,000;353,000;1100,000;1,000;0,091;1,020;0,075
SP01022;SP;7237,000;5347,000;1890,000;4505,000;3,000;0,067;3,061;0,056
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;1,020;0,029
SP01025;SP;3899,000;2743,000;1156,000;2367,000;1,000;0,042;1,020;0,036
SP01029;SP;3145,000;2379,000;766,000;1989,000;1,000;0,050;1,020;0,042
SP01031;SP;4290,000;3312,000;978,000;2843,000;2,000;0,070;2,041;0,060
SP01033;SP;4681,000;3640,000;1041,000;3143,000;2,000;0,064;2,041;0,055
SP01037;SP;5057,000;3801,000;1256,000;3294,000;1,000;0,030;1,020;0,026
SP01039;SP;3823,000;2910,000;913,000;2407,000;2,000;0,083;2,041;0,069
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;1,020;0,023
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;1,020;0,016
SP01083;SP;3114,000;2088,000;1026,000;1808,000;3,000;0,166;3,061;0,144
SP01085;SP;3957,000;3131,000;826,000;2527,000;1,000;0,040;1,020;0,032
SP01088;SP;889,000;723,000;166,000;623,000;4,000;0,642;4,082;0,553
SP01153;SP;12021,000;8675,000;3346,000;7258,000;1,000;0,014;1,020;0,012
SP01397;SP;8800,000;6245,000;2555,000;5280,000;1,000;0,019;1,020;0,016
SP01440;SP;4739,000;3347,000;1392,000;2705,000;1,000;0,037;1,020;0,030
SP01455;SP;5140,000;3917,000;1223,000;3284,000;2,000;0,061;2,041;0,051
SP01639;SP;778,000;553,000;225,000;436,000;1,000;0,229;1,020;0,181
SP01761;SP;6449,000;4860,000;1589,000;3968,000;1,000;0,025;1,020;0,021
SP01784;SP;5548,000;4158,000;1390,000;3356,000;1,000;0,030;1,020;0,024
SP01789;SP;5960,000;4385,000;1575,000;3608,000;1,000;0,028;1,020;0,023
SP01805;SP;5577,000;4145,000;1432,000;3471,000;1,000;0,029;1,020;0,024
SP01887;SP;11149,000;7662,000;3487,000;6482,000;1,000;0,015;1,020;0,013
SP01890;SP;5322,000;3800,000;1522,000;3207,000;1,000;0,031;1,020;0,026
SP01892;SP;7589,000;5302,000;2287,000;4472,000;2,000;0,045;2,041;0,038
SP01903;SP;5816,000;4296,000;1520,000;3620,000;1,000;0,028;1,020;0,023
SP01905;SP;3477,000;2527,000;950,000;2101,000;1,000;0,048;1,020;0,040
