CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;6,000;0,099;0,177;0,090
SP00002;SP;8476,000;5539,000;2937,000;5059,000;3,000;0,059;0,088;0,054
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,088;0,084
SP00004;SP;6071,000;4117,000;1954,000;3653,000;5,000;0,137;0,147;0,121
SP00005;SP;7574,000;4851,000;2723,000;4286,000;9,000;0,210;0,265;0,186
SP00006;SP;6187,000;4196,000;1991,000;3800,000;4,000;0,105;0,118;0,095
SP00007;SP;9748,000;5727,000;4021,000;5077,000;5,000;0,098;0,147;0,087
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,029;0,037
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,059;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,029;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;3,000;0,063;0,088;0,057
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,059;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,059;0,045
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,029;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,059;0,048
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,059;0,056
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,029;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,029;0,026
SP00025;SP;3193,000;2227,000;966,000;2052,000;2,000;0,097;0,059;0,090
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,029;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,059;0,016
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,029;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;3,000;0,079;0,088;0,070
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,059;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,029;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,029;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,029;0,026
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,059;0,035
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,029;0,034
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,059;0,060
