CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,297;0,023
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,297;0,008
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,297;0,023
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,297;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,297;0,024
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,297;0,018
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,297;0,044
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,297;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,297;0,019
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,297;0,019
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,297;0,034
SP00222;SP;5627,000;4034,000;1593,000;3525,000;3,000;0,085;0,890;0,074
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,297;0,052
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,297;0,030
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,297;0,021
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,297;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,297;0,022
SP00242;SP;4031,000;3017,000;1014,000;2461,000;1,000;0,041;0,297;0,033
SP00245;SP;1860,000;1458,000;402,000;1167,000;1,000;0,086;0,297;0,069
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,297;0,038
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,297;0,032
SP00253;SP;6617,000;5105,000;1512,000;4218,000;2,000;0,047;0,593;0,039
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,297;0,029
SP00255;SP;6778,000;5044,000;1734,000;4293,000;4,000;0,093;1,187;0,079
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,297;0,012
SP00266;SP;6960,000;5099,000;1861,000;4318,000;4,000;0,093;1,187;0,078
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,297;0,023
