CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,282;0,032
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,282;0,025
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,282;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,282;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,282;0,019
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,282;0,033
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,565;0,054
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,282;0,031
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,282;0,016
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,282;0,025
SP00304;SP;3481,000;2524,000;957,000;2284,000;3,000;0,131;0,847;0,119
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,282;0,054
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,282;0,015
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,282;0,035
SP00395;SP;7319,000;5036,000;2283,000;4255,000;2,000;0,047;0,565;0,040
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,282;0,050
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,282;0,031
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,282;0,020
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,282;0,028
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,282;0,033
SP00416;SP;1565,000;1172,000;393,000;969,000;1,000;0,103;0,282;0,085
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,282;0,046
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,282;0,020
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,282;0,028
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,282;0,029
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,282;0,027
SP00454;SP;6000,000;4085,000;1915,000;3524,000;28,000;0,795;7,910;0,685
SP00455;SP;4145,000;2936,000;1209,000;2668,000;2,000;0,075;0,565;0,068
SP00456;SP;4320,000;3095,000;1225,000;2792,000;7,000;0,251;1,977;0,226
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,282;0,052
SP00458;SP;8529,000;5970,000;2559,000;5339,000;16,000;0,300;4,520;0,268
SP00459;SP;4392,000;3188,000;1204,000;2896,000;11,000;0,380;3,107;0,345
SP00460;SP;6386,000;4591,000;1795,000;4104,000;22,000;0,536;6,215;0,479
SP00461;SP;4042,000;2899,000;1143,000;2649,000;6,000;0,227;1,695;0,207
SP00462;SP;5168,000;3650,000;1518,000;3226,000;2,000;0,062;0,565;0,055
SP00464;SP;4296,000;3192,000;1104,000;2765,000;6,000;0,217;1,695;0,188
SP00465;SP;7597,000;5474,000;2123,000;4737,000;3,000;0,063;0,847;0,055
SP00466;SP;6038,000;4389,000;1649,000;3812,000;6,000;0,157;1,695;0,137
SP00467;SP;5303,000;3827,000;1476,000;3421,000;2,000;0,058;0,565;0,052
SP00468;SP;5330,000;3854,000;1476,000;3503,000;5,000;0,143;1,412;0,130
SP00471;SP;3265,000;2247,000;1018,000;1966,000;2,000;0,102;0,565;0,089
SP00476;SP;5975,000;4311,000;1664,000;3817,000;3,000;0,079;0,847;0,070
SP00479;SP;2742,000;2051,000;691,000;1807,000;3,000;0,166;0,847;0,146
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,282;0,074
SP00482;SP;6633,000;4865,000;1768,000;4345,000;26,000;0,598;7,345;0,534
SP00483;SP;2523,000;1867,000;656,000;1612,000;1,000;0,062;0,282;0,054
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;0,282;0,042
SP00485;SP;1466,000;1071,000;395,000;957,000;1,000;0,104;0,282;0,093
SP00486;SP;4286,000;3178,000;1108,000;2833,000;5,000;0,176;1,412;0,157
SP00491;SP;985,000;764,000;221,000;701,000;1,000;0,143;0,282;0,131
SP00492;SP;847,000;671,000;176,000;585,000;1,000;0,171;0,282;0,149
SP00493;SP;1172,000;862,000;310,000;755,000;3,000;0,397;0,847;0,348
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,282;0,030
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,282;0,020
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,282;0,033
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;0,282;0,021
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,282;0,029
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,282;0,019
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,282;0,022
SP00542;SP;4842,000;3391,000;1451,000;2867,000;2,000;0,070;0,565;0,059
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,282;0,032
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,282;0,029
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,282;0,031
SP00555;SP;3492,000;2514,000;978,000;2184,000;1,000;0,046;0,282;0,040
SP00558;SP;5547,000;4114,000;1433,000;3404,000;1,000;0,029;0,282;0,024
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;0,282;0,020
SP00560;SP;4755,000;3443,000;1312,000;2876,000;1,000;0,035;0,282;0,029
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;0,282;0,034
SP00564;SP;6019,000;4389,000;1630,000;3561,000;2,000;0,056;0,565;0,046
SP00571;SP;1966,000;1470,000;496,000;1235,000;1,000;0,081;0,282;0,068
SP00592;SP;5506,000;4004,000;1502,000;3466,000;1,000;0,029;0,282;0,025
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,282;0,023
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;0,282;0,023
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,282;0,015
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,282;0,020
SP00809;SP;4931,000;3684,000;1247,000;3295,000;1,000;0,030;0,282;0,027
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;0,282;0,030
SP00918;SP;1646,000;1272,000;374,000;1081,000;1,000;0,093;0,282;0,079
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;0,282;0,016
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;0,282;0,020
SP00959;SP;7126,000;5108,000;2018,000;4199,000;1,000;0,024;0,282;0,020
SP01003;SP;6014,000;4523,000;1491,000;4108,000;1,000;0,024;0,282;0,022
SP01036;SP;4224,000;3283,000;941,000;2773,000;1,000;0,036;0,282;0,030
SP01096;SP;4179,000;2929,000;1250,000;2561,000;1,000;0,039;0,282;0,034
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,282;0,025
SP01099;SP;4340,000;3039,000;1301,000;2637,000;1,000;0,038;0,282;0,033
SP01103;SP;5564,000;4101,000;1463,000;3623,000;1,000;0,028;0,282;0,024
SP01104;SP;3373,000;2250,000;1123,000;1905,000;3,000;0,157;0,847;0,133
SP01105;SP;5682,000;4024,000;1658,000;3544,000;1,000;0,028;0,282;0,025
SP01106;SP;8626,000;6096,000;2530,000;4992,000;48,000;0,962;13,559;0,787
SP01107;SP;8910,000;6337,000;2573,000;5296,000;7,000;0,132;1,977;0,110
SP01108;SP;3363,000;2567,000;796,000;2199,000;3,000;0,136;0,847;0,117
SP01112;SP;1834,000;1371,000;463,000;1101,000;2,000;0,182;0,565;0,146
SP01115;SP;2032,000;1606,000;426,000;1369,000;1,000;0,073;0,282;0,062
SP01117;SP;703,000;507,000;196,000;424,000;1,000;0,236;0,282;0,197
SP01118;SP;3117,000;2195,000;922,000;1851,000;1,000;0,054;0,282;0,046
SP01119;SP;893,000;706,000;187,000;615,000;1,000;0,163;0,282;0,142
SP01121;SP;2241,000;1669,000;572,000;1388,000;8,000;0,576;2,260;0,479
SP01133;SP;5893,000;4168,000;1725,000;3571,000;1,000;0,028;0,282;0,024
SP01394;SP;3196,000;2477,000;719,000;2018,000;1,000;0,050;0,282;0,040
SP01398;SP;4499,000;3199,000;1300,000;2780,000;1,000;0,036;0,282;0,031
SP01410;SP;6568,000;4871,000;1697,000;4389,000;1,000;0,023;0,282;0,021
SP01417;SP;8205,000;6028,000;2177,000;5141,000;1,000;0,019;0,282;0,017
SP01455;SP;5140,000;3917,000;1223,000;3284,000;1,000;0,030;0,282;0,026
SP01466;SP;5214,000;3923,000;1291,000;3163,000;1,000;0,032;0,282;0,025
SP01517;SP;8843,000;6741,000;2102,000;5697,000;1,000;0,018;0,282;0,015
SP01649;SP;3698,000;2822,000;876,000;2374,000;1,000;0,042;0,282;0,035
SP01650;SP;1635,000;1317,000;318,000;1109,000;1,000;0,090;0,282;0,076
SP01660;SP;1780,000;1387,000;393,000;1175,000;1,000;0,085;0,282;0,072
SP01797;SP;6711,000;4719,000;1992,000;3984,000;1,000;0,025;0,282;0,021
SP01823;SP;7272,000;5078,000;2194,000;4264,000;1,000;0,023;0,282;0,020
SP01959;SP;5593,000;3840,000;1753,000;3364,000;1,000;0,030;0,282;0,026
SP01960;SP;5568,000;3947,000;1621,000;3431,000;1,000;0,029;0,282;0,025
SP01962;SP;7108,000;5093,000;2015,000;4362,000;3,000;0,069;0,847;0,059
SP01963;SP;6175,000;4386,000;1789,000;3833,000;2,000;0,052;0,565;0,046
SP01965;SP;6052,000;4377,000;1675,000;3858,000;3,000;0,078;0,847;0,069
SP01966;SP;3725,000;2683,000;1042,000;2393,000;1,000;0,042;0,282;0,037
SP01968;SP;6332,000;4433,000;1899,000;3881,000;2,000;0,052;0,565;0,045
SP01969;SP;4540,000;3384,000;1156,000;3029,000;2,000;0,066;0,565;0,059
SP01970;SP;5176,000;3902,000;1274,000;3434,000;2,000;0,058;0,565;0,051
SP01972;SP;4287,000;3177,000;1110,000;2711,000;1,000;0,037;0,282;0,031
SP01973;SP;4606,000;3323,000;1283,000;2903,000;3,000;0,103;0,847;0,090
SP01976;SP;1818,000;1441,000;377,000;1274,000;1,000;0,078;0,282;0,069
SP01979;SP;3299,000;2595,000;704,000;2305,000;1,000;0,043;0,282;0,039
SP01980;SP;3089,000;2298,000;791,000;1947,000;1,000;0,051;0,282;0,044
SP02005;SP;4698,000;3512,000;1186,000;2845,000;1,000;0,035;0,282;0,028
SP02015;SP;6390,000;4422,000;1968,000;3666,000;1,000;0,027;0,282;0,023
SP02027;SP;5306,000;3655,000;1651,000;3143,000;1,000;0,032;0,282;0,027
SP02036;SP;3622,000;2725,000;897,000;2407,000;1,000;0,042;0,282;0,037
SP02050;SP;3558,000;2718,000;840,000;2303,000;2,000;0,087;0,565;0,074
SP02051;SP;4627,000;3564,000;1063,000;3165,000;1,000;0,032;0,282;0,028
SP02056;SP;3560,000;2821,000;739,000;2491,000;1,000;0,040;0,282;0,035
SP02057;SP;3114,000;2324,000;790,000;1921,000;1,000;0,052;0,282;0,043
