CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;1,389;0,031
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;1,389;0,024
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;1,389;0,043
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;1,389;0,018
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;1,389;0,027
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;1,389;0,033
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;1,389;0,030
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;1,389;0,021
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;1,389;0,071
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;1,389;0,024
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;1,389;0,025
SP00633;SP;3955,000;2796,000;1159,000;2560,000;1,000;0,039;1,389;0,036
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;1,389;0,023
SP00774;SP;7854,000;5792,000;2062,000;5026,000;1,000;0,020;1,389;0,017
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;1,389;0,018
SP00828;SP;40,000;36,000;4,000;35,000;1,000;2,857;1,389;2,778
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;1,389;0,033
SP01111;SP;1699,000;1262,000;437,000;1087,000;1,000;0,092;1,389;0,079
SP01113;SP;5153,000;3920,000;1233,000;3365,000;2,000;0,059;2,778;0,051
SP01198;SP;4394,000;3400,000;994,000;2835,000;1,000;0,035;1,389;0,029
SP01206;SP;4510,000;3346,000;1164,000;2819,000;1,000;0,035;1,389;0,030
SP01233;SP;3348,000;2374,000;974,000;1949,000;2,000;0,103;2,778;0,084
SP01247;SP;4854,000;3719,000;1135,000;3036,000;1,000;0,033;1,389;0,027
SP01388;SP;4349,000;3282,000;1067,000;2705,000;1,000;0,037;1,389;0,030
SP01391;SP;5920,000;4493,000;1427,000;3657,000;1,000;0,027;1,389;0,022
SP01675;SP;7296,000;5435,000;1861,000;4628,000;3,000;0,065;4,167;0,055
SP01677;SP;6587,000;4822,000;1765,000;4008,000;3,000;0,075;4,167;0,062
SP01678;SP;6291,000;4642,000;1649,000;3951,000;2,000;0,051;2,778;0,043
SP01680;SP;5598,000;4355,000;1243,000;3657,000;5,000;0,137;6,944;0,115
SP01683;SP;4635,000;3492,000;1143,000;2877,000;5,000;0,174;6,944;0,143
SP01685;SP;7787,000;5783,000;2004,000;4857,000;1,000;0,021;1,389;0,017
SP01686;SP;7314,000;5422,000;1892,000;4542,000;8,000;0,176;11,111;0,148
SP01688;SP;5851,000;4458,000;1393,000;3814,000;3,000;0,079;4,167;0,067
SP01689;SP;4779,000;3653,000;1126,000;2960,000;7,000;0,236;9,722;0,192
SP01691;SP;6176,000;4697,000;1479,000;3802,000;2,000;0,053;2,778;0,043
SP01692;SP;6368,000;4706,000;1662,000;3971,000;2,000;0,050;2,778;0,042
SP01891;SP;2651,000;2058,000;593,000;1758,000;1,000;0,057;1,389;0,049
SP01919;SP;5480,000;3862,000;1618,000;3239,000;1,000;0,031;1,389;0,026
SP01948;SP;4518,000;3392,000;1126,000;2842,000;1,000;0,035;1,389;0,029
SP01989;SP;5992,000;4344,000;1648,000;3718,000;1,000;0,027;1,389;0,023
