CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;315,000;5,176;0,060;4,749
SP00002;SP;8476,000;5539,000;2937,000;5059,000;249,000;4,922;0,048;4,495
SP00003;SP;6223,000;3562,000;2661,000;3191,000;186,000;5,829;0,036;5,222
SP00004;SP;6071,000;4117,000;1954,000;3653,000;269,000;7,364;0,052;6,534
SP00005;SP;7574,000;4851,000;2723,000;4286,000;325,000;7,583;0,062;6,700
SP00006;SP;6187,000;4196,000;1991,000;3800,000;221,000;5,816;0,042;5,267
SP00007;SP;9748,000;5727,000;4021,000;5077,000;378,000;7,445;0,073;6,600
SP00008;SP;4250,000;2710,000;1540,000;2422,000;171,000;7,060;0,033;6,310
SP00009;SP;5809,000;3876,000;1933,000;3552,000;175,000;4,927;0,034;4,515
SP00010;SP;9269,000;6039,000;3230,000;5553,000;281,000;5,060;0,054;4,653
SP00011;SP;7822,000;5249,000;2573,000;4769,000;270,000;5,662;0,052;5,144
SP00012;SP;9441,000;6116,000;3325,000;5498,000;365,000;6,639;0,070;5,968
SP00013;SP;4269,000;2958,000;1311,000;2742,000;130,000;4,741;0,025;4,395
SP00014;SP;7153,000;4433,000;2720,000;3934,000;265,000;6,736;0,051;5,978
SP00015;SP;4890,000;3200,000;1690,000;2777,000;248,000;8,931;0,048;7,750
SP00016;SP;4976,000;3125,000;1851,000;2763,000;202,000;7,311;0,039;6,464
SP00017;SP;6847,000;4140,000;2707,000;3704,000;269,000;7,262;0,052;6,498
SP00018;SP;5238,000;3256,000;1982,000;2906,000;201,000;6,917;0,039;6,173
SP00019;SP;4798,000;3546,000;1252,000;3272,000;140,000;4,279;0,027;3,948
SP00020;SP;1562,000;1060,000;502,000;914,000;96,000;10,503;0,018;9,057
SP00021;SP;3914,000;2744,000;1170,000;2386,000;210,000;8,801;0,040;7,653
SP00022;SP;5474,000;3858,000;1616,000;3218,000;404,000;12,554;0,078;10,472
SP00023;SP;2029,000;1448,000;581,000;1264,000;105,000;8,307;0,020;7,251
SP00024;SP;629,000;454,000;175,000;420,000;20,000;4,762;0,004;4,405
SP00025;SP;3193,000;2227,000;966,000;2052,000;103,000;5,019;0,020;4,625
SP00026;SP;1515,000;1057,000;458,000;941,000;65,000;6,908;0,012;6,149
SP00027;SP;3011,000;1933,000;1078,000;1784,000;85,000;4,765;0,016;4,397
SP00028;SP;8070,000;5175,000;2895,000;4726,000;244,000;5,163;0,047;4,715
SP00029;SP;17797,000;12599,000;5198,000;11769,000;429,000;3,645;0,082;3,405
SP00030;SP;2911,000;1924,000;987,000;1764,000;84,000;4,762;0,016;4,366
SP00031;SP;6412,000;4268,000;2144,000;3816,000;226,000;5,922;0,043;5,295
SP00032;SP;11991,000;8507,000;3484,000;8030,000;286,000;3,562;0,055;3,362
SP00033;SP;7735,000;5271,000;2464,000;4792,000;278,000;5,801;0,053;5,274
SP00034;SP;5401,000;3246,000;2155,000;2941,000;168,000;5,712;0,032;5,176
SP00035;SP;5608,000;3859,000;1749,000;3432,000;222,000;6,469;0,043;5,753
SP00036;SP;6716,000;4776,000;1940,000;4457,000;167,000;3,747;0,032;3,497
SP00037;SP;5446,000;3922,000;1524,000;3606,000;171,000;4,742;0,033;4,360
SP00038;SP;8044,000;5650,000;2394,000;5177,000;267,000;5,157;0,051;4,726
