CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,357;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,357;0,026
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,357;0,028
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,357;0,036
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,357;0,008
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,357;0,025
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,714;0,035
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,357;0,024
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,357;0,019
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,357;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,357;0,019
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,357;0,044
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,357;0,014
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,357;0,013
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,357;0,020
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,357;0,027
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,357;0,020
SP00133;SP;4191,000;2905,000;1286,000;2648,000;3,000;0,113;1,071;0,103
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,357;0,047
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,357;0,027
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,357;0,015
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,357;0,023
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,357;0,034
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,357;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,357;0,026
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,357;0,023
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,357;0,023
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,357;0,046
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,357;0,024
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,357;0,040
SP00305;SP;2904,000;1801,000;1103,000;1620,000;2,000;0,123;0,714;0,111
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,714;0,047
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,357;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,357;0,037
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,357;0,044
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,357;0,023
SP00365;SP;5757,000;3680,000;2077,000;3504,000;1,000;0,029;0,357;0,027
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,357;0,035
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,357;0,051
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,357;0,040
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,357;0,032
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,357;0,036
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,357;0,021
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,357;0,020
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;0,357;0,032
SP00446;SP;7010,000;5463,000;1547,000;4823,000;2,000;0,041;0,714;0,037
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;0,357;0,032
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,357;0,017
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,357;0,045
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,357;0,028
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,357;0,023
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,357;0,040
SP00479;SP;2742,000;2051,000;691,000;1807,000;2,000;0,111;0,714;0,098
SP00497;SP;6925,000;4935,000;1990,000;4441,000;4,000;0,090;1,429;0,081
SP00498;SP;3111,000;2164,000;947,000;1894,000;2,000;0,106;0,714;0,092
SP00502;SP;6808,000;4910,000;1898,000;4207,000;7,000;0,166;2,500;0,143
SP00503;SP;6619,000;4634,000;1985,000;4034,000;9,000;0,223;3,214;0,194
SP00504;SP;4008,000;3045,000;963,000;2673,000;4,000;0,150;1,429;0,131
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,357;0,014
SP00509;SP;4399,000;3005,000;1394,000;2554,000;5,000;0,196;1,786;0,166
SP00510;SP;6209,000;4329,000;1880,000;3594,000;3,000;0,083;1,071;0,069
SP00511;SP;6942,000;4878,000;2064,000;4132,000;2,000;0,048;0,714;0,041
SP00514;SP;5514,000;3990,000;1524,000;3430,000;6,000;0,175;2,143;0,150
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,357;0,038
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,357;0,030
SP00519;SP;5846,000;4121,000;1725,000;3509,000;2,000;0,057;0,714;0,049
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,357;0,028
SP00524;SP;2811,000;2096,000;715,000;1775,000;1,000;0,056;0,357;0,048
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,357;0,022
SP00530;SP;1521,000;1164,000;357,000;979,000;3,000;0,306;1,071;0,258
SP00531;SP;6972,000;5267,000;1705,000;4395,000;2,000;0,046;0,714;0,038
SP00538;SP;5278,000;3612,000;1666,000;3064,000;2,000;0,065;0,714;0,055
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,357;0,021
SP00553;SP;4676,000;3124,000;1552,000;2659,000;2,000;0,075;0,714;0,064
SP00555;SP;3492,000;2514,000;978,000;2184,000;1,000;0,046;0,357;0,040
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,357;0,041
SP00566;SP;3965,000;2993,000;972,000;2499,000;3,000;0,120;1,071;0,100
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,357;0,026
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,357;0,023
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,357;0,026
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,357;0,022
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,357;0,022
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,357;0,016
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,357;0,024
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,357;0,020
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,357;0,033
SP00669;SP;4307,000;3090,000;1217,000;2819,000;3,000;0,106;1,071;0,097
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,357;0,012
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,357;0,027
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,357;0,016
SP00698;SP;4269,000;3022,000;1247,000;2595,000;2,000;0,077;0,714;0,066
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,357;0,025
SP00711;SP;4783,000;3500,000;1283,000;3017,000;1,000;0,033;0,357;0,029
SP00731;SP;4685,000;3466,000;1219,000;3004,000;1,000;0,033;0,357;0,029
SP00733;SP;6587,000;4986,000;1601,000;4131,000;1,000;0,024;0,357;0,020
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,357;0,022
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,357;0,019
SP00778;SP;7392,000;5180,000;2212,000;4241,000;2,000;0,047;0,714;0,039
SP00806;SP;5119,000;3556,000;1563,000;3097,000;1,000;0,032;0,357;0,028
SP00807;SP;4221,000;2943,000;1278,000;2555,000;1,000;0,039;0,357;0,034
SP00809;SP;4931,000;3684,000;1247,000;3295,000;1,000;0,030;0,357;0,027
SP00811;SP;4790,000;3322,000;1468,000;2896,000;1,000;0,035;0,357;0,030
SP00815;SP;4827,000;3371,000;1456,000;2943,000;1,000;0,034;0,357;0,030
SP00832;SP;4365,000;3114,000;1251,000;2744,000;1,000;0,036;0,357;0,032
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;0,357;0,035
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,357;0,027
SP00886;SP;3614,000;2519,000;1095,000;2153,000;2,000;0,093;0,714;0,079
SP00892;SP;4485,000;3072,000;1413,000;2701,000;1,000;0,037;0,357;0,033
SP00903;SP;1833,000;1397,000;436,000;1247,000;1,000;0,080;0,357;0,072
SP00930;SP;2858,000;2200,000;658,000;1854,000;1,000;0,054;0,357;0,045
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,357;0,020
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,357;0,020
SP00954;SP;4954,000;3697,000;1257,000;3067,000;1,000;0,033;0,357;0,027
SP00970;SP;4314,000;2956,000;1358,000;2665,000;2,000;0,075;0,714;0,068
SP00971;SP;4461,000;3050,000;1411,000;2736,000;1,000;0,037;0,357;0,033
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;0,357;0,033
SP00975;SP;5925,000;4068,000;1857,000;3551,000;1,000;0,028;0,357;0,025
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;0,357;0,029
SP01000;SP;5650,000;4018,000;1632,000;3607,000;1,000;0,028;0,357;0,025
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;0,357;0,016
SP01007;SP;3314,000;2392,000;922,000;2070,000;1,000;0,048;0,357;0,042
SP01021;SP;5856,000;4048,000;1808,000;3411,000;1,000;0,029;0,357;0,025
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;0,357;0,029
SP01030;SP;3473,000;2728,000;745,000;2337,000;1,000;0,043;0,357;0,037
SP01033;SP;4681,000;3640,000;1041,000;3143,000;2,000;0,064;0,714;0,055
SP01035;SP;6691,000;4957,000;1734,000;4181,000;1,000;0,024;0,357;0,020
SP01062;SP;2994,000;2078,000;916,000;1770,000;2,000;0,113;0,714;0,096
SP01069;SP;3158,000;2498,000;660,000;2184,000;1,000;0,046;0,357;0,040
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,357;0,016
SP01092;SP;5885,000;3837,000;2048,000;3221,000;1,000;0,031;0,357;0,026
SP01097;SP;7641,000;5404,000;2237,000;4710,000;1,000;0,021;0,357;0,019
SP01152;SP;1143,000;876,000;267,000;745,000;1,000;0,134;0,357;0,114
SP01174;SP;6350,000;4434,000;1916,000;3606,000;1,000;0,028;0,357;0,023
SP01178;SP;7018,000;4887,000;2131,000;4032,000;1,000;0,025;0,357;0,020
SP01180;SP;4666,000;3372,000;1294,000;2690,000;1,000;0,037;0,357;0,030
SP01190;SP;5137,000;3599,000;1538,000;3067,000;1,000;0,033;0,357;0,028
SP01193;SP;6918,000;4893,000;2025,000;4015,000;1,000;0,025;0,357;0,020
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,357;0,019
SP01247;SP;4854,000;3719,000;1135,000;3036,000;1,000;0,033;0,357;0,027
