CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,142;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,142;0,018
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,142;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,142;0,028
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,142;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,142;0,023
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,142;0,031
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,142;0,023
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,142;0,034
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,142;0,027
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,284;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,142;0,011
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,142;0,024
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,142;0,043
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,142;0,029
SP00109;SP;3531,000;2268,000;1263,000;2068,000;2,000;0,097;0,284;0,088
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,284;0,054
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,142;0,028
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,142;0,034
SP00114;SP;11524,000;7280,000;4244,000;6663,000;3,000;0,045;0,426;0,041
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,284;0,043
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,142;0,011
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,142;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,142;0,038
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,142;0,027
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,142;0,026
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,142;0,018
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,142;0,031
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,142;0,033
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,142;0,027
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,142;0,021
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,142;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;4,000;0,119;0,567;0,100
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,142;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,142;0,018
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,142;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,142;0,026
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,142;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,142;0,020
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,142;0,028
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,142;0,029
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,142;0,028
SP00188;SP;4302,000;3191,000;1111,000;2652,000;3,000;0,113;0,426;0,094
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,142;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,142;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,284;0,059
SP00193;SP;4453,000;3011,000;1442,000;2715,000;2,000;0,074;0,284;0,066
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,284;0,032
SP00195;SP;3523,000;2306,000;1217,000;2013,000;4,000;0,199;0,567;0,173
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,142;0,040
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,142;0,014
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,284;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,142;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;6,000;0,139;0,851;0,124
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,142;0,045
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,142;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,142;0,026
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,142;0,027
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,142;0,031
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,142;0,021
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,142;0,032
SP00330;SP;4062,000;2873,000;1189,000;2547,000;2,000;0,079;0,284;0,070
SP00340;SP;3747,000;2675,000;1072,000;2391,000;2,000;0,084;0,284;0,075
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,142;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,142;0,027
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,142;0,019
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,142;0,023
SP00365;SP;5757,000;3680,000;2077,000;3504,000;2,000;0,057;0,284;0,054
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,142;0,034
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,142;0,030
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,142;0,035
SP00393;SP;3958,000;2809,000;1149,000;2404,000;2,000;0,083;0,284;0,071
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;0,284;0,039
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,142;0,029
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,142;0,028
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,142;0,033
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,142;0,018
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,142;0,031
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,142;0,040
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,142;0,020
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,142;0,014
SP00621;SP;7468,000;5058,000;2410,000;4641,000;3,000;0,065;0,426;0,059
SP00622;SP;8525,000;5893,000;2632,000;5358,000;2,000;0,037;0,284;0,034
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,142;0,013
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,142;0,023
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,142;0,021
SP00630;SP;5514,000;3774,000;1740,000;3466,000;2,000;0,058;0,284;0,053
SP00631;SP;2522,000;1571,000;951,000;1400,000;1,000;0,071;0,142;0,064
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,142;0,014
SP00633;SP;3955,000;2796,000;1159,000;2560,000;1,000;0,039;0,142;0,036
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,142;0,022
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,142;0,020
SP00637;SP;5885,000;3783,000;2102,000;3470,000;2,000;0,058;0,284;0,053
SP00638;SP;6804,000;4640,000;2164,000;4208,000;6,000;0,143;0,851;0,129
SP00639;SP;9027,000;6272,000;2755,000;5745,000;2,000;0,035;0,284;0,032
SP00640;SP;6187,000;4214,000;1973,000;3845,000;4,000;0,104;0,567;0,095
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,142;0,021
SP00647;SP;7403,000;5083,000;2320,000;4634,000;3,000;0,065;0,426;0,059
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,142;0,021
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,142;0,033
SP00660;SP;1900,000;1365,000;535,000;1239,000;1,000;0,081;0,142;0,073
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,142;0,031
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,142;0,019
SP00670;SP;5766,000;4219,000;1547,000;3799,000;1,000;0,026;0,142;0,024
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;0,142;0,039
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,142;0,025
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,142;0,017
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,142;0,016
SP00702;SP;3281,000;2263,000;1018,000;2012,000;1,000;0,050;0,142;0,044
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,142;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,142;0,017
SP00732;SP;3768,000;2783,000;985,000;2391,000;1,000;0,042;0,142;0,036
SP00734;SP;3871,000;2912,000;959,000;2509,000;2,000;0,080;0,284;0,069
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,142;0,033
SP00742;SP;5088,000;4001,000;1087,000;3393,000;1,000;0,029;0,142;0,025
SP00746;SP;1614,000;1302,000;312,000;1139,000;1,000;0,088;0,142;0,077
SP00758;SP;4241,000;3341,000;900,000;2876,000;1,000;0,035;0,142;0,030
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,142;0,022
SP00774;SP;7854,000;5792,000;2062,000;5026,000;1,000;0,020;0,142;0,017
