CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,685;0,015
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,685;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,685;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;1,370;0,052
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;1,370;0,032
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,685;0,034
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,685;0,052
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,685;0,010
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;1,370;0,039
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,685;0,037
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,685;0,020
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,685;0,028
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,685;0,061
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,685;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,685;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,685;0,031
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,685;0,024
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,685;0,021
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,685;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;2,000;0,109;1,370;0,091
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,685;0,030
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,685;0,030
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,685;0,037
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,685;0,025
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,685;0,044
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,685;0,018
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,685;0,049
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,685;0,041
SP00409;SP;5537,000;4146,000;1391,000;3428,000;2,000;0,058;1,370;0,048
SP00593;SP;5605,000;4143,000;1462,000;3635,000;2,000;0,055;1,370;0,048
SP00594;SP;3522,000;2548,000;974,000;2172,000;3,000;0,138;2,055;0,118
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,685;0,033
SP00603;SP;4959,000;3460,000;1499,000;2923,000;3,000;0,103;2,055;0,087
SP00613;SP;1184,000;914,000;270,000;787,000;1,000;0,127;0,685;0,109
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,685;0,025
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,685;0,022
SP00669;SP;4307,000;3090,000;1217,000;2819,000;2,000;0,071;1,370;0,065
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,685;0,015
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,685;0,027
SP00724;SP;3664,000;2699,000;965,000;2432,000;1,000;0,041;0,685;0,037
SP00732;SP;3768,000;2783,000;985,000;2391,000;1,000;0,042;0,685;0,036
SP00744;SP;5446,000;4215,000;1231,000;3568,000;1,000;0,028;0,685;0,024
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;0,685;0,037
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,685;0,052
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,685;0,025
