CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;4,000;0,019
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;4,000;0,023
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;4,000;0,026
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;4,000;0,044
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;4,000;0,032
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;4,000;0,037
SP00388;SP;1990,000;1488,000;502,000;1379,000;1,000;0,073;4,000;0,067
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;4,000;0,027
SP00678;SP;3777,000;2815,000;962,000;2493,000;1,000;0,040;4,000;0,036
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;4,000;0,012
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;4,000;0,025
SP00880;SP;4156,000;3214,000;942,000;2672,000;1,000;0,037;4,000;0,031
SP00969;SP;5494,000;3865,000;1629,000;3305,000;1,000;0,030;4,000;0,026
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;4,000;0,020
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;4,000;0,025
SP01220;SP;2623,000;2080,000;543,000;1725,000;1,000;0,058;4,000;0,048
SP01256;SP;6264,000;4532,000;1732,000;3688,000;2,000;0,054;8,000;0,044
SP01369;SP;3307,000;2556,000;751,000;2150,000;1,000;0,047;4,000;0,039
SP01526;SP;5784,000;4463,000;1321,000;3807,000;1,000;0,026;4,000;0,022
SP01554;SP;5840,000;4399,000;1441,000;3656,000;1,000;0,027;4,000;0,023
SP01618;SP;8129,000;6088,000;2041,000;4942,000;1,000;0,020;4,000;0,016
SP01655;SP;3529,000;2415,000;1114,000;2058,000;1,000;0,049;4,000;0,041
SP01811;SP;6412,000;4710,000;1702,000;3911,000;1,000;0,026;4,000;0,021
SP01961;SP;5779,000;4031,000;1748,000;3463,000;1,000;0,029;4,000;0,025
