CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,629;0,026
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,629;0,008
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,629;0,046
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,629;0,011
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,629;0,014
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,629;0,038
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,629;0,018
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,629;0,019
SP00230;SP;4442,000;3139,000;1303,000;2668,000;2,000;0,075;1,258;0,064
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,629;0,042
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,629;0,025
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,629;0,020
SP00303;SP;3512,000;2379,000;1133,000;2163,000;1,000;0,046;0,629;0,042
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,629;0,032
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,629;0,033
SP00395;SP;7319,000;5036,000;2283,000;4255,000;3,000;0,071;1,887;0,060
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,629;0,025
SP00509;SP;4399,000;3005,000;1394,000;2554,000;2,000;0,078;1,258;0,067
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,629;0,052
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,629;0,018
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,629;0,025
SP00569;SP;2316,000;1676,000;640,000;1426,000;1,000;0,070;0,629;0,060
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,629;0,023
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,629;0,020
SP00637;SP;5885,000;3783,000;2102,000;3470,000;2,000;0,058;1,258;0,053
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,629;0,024
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,629;0,024
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,629;0,026
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,629;0,023
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;0,629;0,026
SP00893;SP;4866,000;3614,000;1252,000;3170,000;1,000;0,032;0,629;0,028
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;0,629;0,032
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;0,629;0,026
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;0,629;0,025
SP00930;SP;2858,000;2200,000;658,000;1854,000;1,000;0,054;0,629;0,045
SP00933;SP;6037,000;4261,000;1776,000;3621,000;2,000;0,055;1,258;0,047
SP00956;SP;6086,000;4211,000;1875,000;3458,000;1,000;0,029;0,629;0,024
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,629;0,012
SP01009;SP;3257,000;2457,000;800,000;2139,000;1,000;0,047;0,629;0,041
SP01049;SP;2385,000;1831,000;554,000;1538,000;1,000;0,065;0,629;0,055
SP01064;SP;6076,000;4508,000;1568,000;3796,000;1,000;0,026;0,629;0,022
SP01068;SP;3742,000;2791,000;951,000;2367,000;1,000;0,042;0,629;0,036
SP01120;SP;6954,000;4897,000;2057,000;4084,000;1,000;0,024;0,629;0,020
SP01158;SP;6016,000;4357,000;1659,000;3658,000;1,000;0,027;0,629;0,023
SP01214;SP;5318,000;3918,000;1400,000;3148,000;1,000;0,032;0,629;0,026
SP01243;SP;4912,000;3806,000;1106,000;3153,000;1,000;0,032;0,629;0,026
SP01256;SP;6264,000;4532,000;1732,000;3688,000;1,000;0,027;0,629;0,022
SP01290;SP;5911,000;4545,000;1366,000;3870,000;1,000;0,026;0,629;0,022
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;0,629;0,024
SP01301;SP;2227,000;1757,000;470,000;1464,000;1,000;0,068;0,629;0,057
SP01328;SP;6187,000;4762,000;1425,000;4004,000;1,000;0,025;0,629;0,021
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;0,629;0,013
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,629;0,016
SP01354;SP;7702,000;5819,000;1883,000;4593,000;1,000;0,022;0,629;0,017
SP01435;SP;1570,000;1150,000;420,000;964,000;1,000;0,104;0,629;0,087
SP01473;SP;5784,000;3936,000;1848,000;3286,000;1,000;0,030;0,629;0,025
SP01475;SP;3961,000;2752,000;1209,000;2310,000;3,000;0,130;1,887;0,109
SP01477;SP;6382,000;4456,000;1926,000;3738,000;15,000;0,401;9,434;0,337
SP01478;SP;7765,000;5221,000;2544,000;4345,000;1,000;0,023;0,629;0,019
SP01484;SP;4803,000;3637,000;1166,000;3023,000;28,000;0,926;17,610;0,770
