CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,538;0,030
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,269;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,269;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,269;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,269;0,024
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,269;0,069
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,269;0,019
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,269;0,052
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,538;0,051
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,538;0,037
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,269;0,034
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,538;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,269;0,019
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,269;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,538;0,048
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,538;0,050
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,269;0,010
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,269;0,018
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,538;0,054
SP00108;SP;7706,000;4996,000;2710,000;4672,000;3,000;0,064;0,806;0,060
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,269;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,269;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,269;0,012
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,538;0,075
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,269;0,061
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,269;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,269;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,269;0,028
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,269;0,030
SP00134;SP;5615,000;3841,000;1774,000;3504,000;2,000;0,057;0,538;0,052
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,269;0,015
SP00142;SP;4541,000;2990,000;1551,000;2638,000;2,000;0,076;0,538;0,067
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,269;0,025
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,269;0,057
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,269;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,269;0,021
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,269;0,021
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,269;0,012
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,269;0,026
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,269;0,035
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,269;0,044
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,269;0,058
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,538;0,055
SP00296;SP;2387,000;1583,000;804,000;1433,000;2,000;0,140;0,538;0,126
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,269;0,032
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,269;0,026
SP00302;SP;5488,000;4163,000;1325,000;3804,000;2,000;0,053;0,538;0,048
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,269;0,056
SP00306;SP;5275,000;3647,000;1628,000;3252,000;2,000;0,062;0,538;0,055
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,269;0,042
SP00308;SP;4601,000;3237,000;1364,000;2784,000;3,000;0,108;0,806;0,093
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,269;0,031
SP00315;SP;5861,000;4276,000;1585,000;3850,000;2,000;0,052;0,538;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;4,000;0,068;1,075;0,061
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,269;0,067
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,269;0,055
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,269;0,033
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,269;0,018
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,538;0,037
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,269;0,036
SP00356;SP;6871,000;5190,000;1681,000;4713,000;3,000;0,064;0,806;0,058
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,269;0,030
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,269;0,035
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,269;0,040
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,269;0,023
SP00404;SP;5256,000;3768,000;1488,000;3185,000;2,000;0,063;0,538;0,053
SP00416;SP;1565,000;1172,000;393,000;969,000;2,000;0,206;0,538;0,171
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,269;0,013
SP00439;SP;3746,000;2751,000;995,000;2414,000;2,000;0,083;0,538;0,073
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,269;0,026
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,269;0,018
SP00451;SP;1835,000;1413,000;422,000;1250,000;1,000;0,080;0,269;0,071
SP00458;SP;8529,000;5970,000;2559,000;5339,000;3,000;0,056;0,806;0,050
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;0,269;0,022
SP00464;SP;4296,000;3192,000;1104,000;2765,000;2,000;0,072;0,538;0,063
