CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,133;0,015
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,133;0,017
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,133;0,032
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,133;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,133;0,012
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,133;0,026
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,133;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,266;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,133;0,023
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,133;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,133;0,016
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,133;0,069
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,133;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,133;0,027
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,266;0,055
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,133;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,133;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,266;0,050
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,133;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,133;0,010
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,133;0,020
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,133;0,021
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,133;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,133;0,020
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,133;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,266;0,027
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,133;0,012
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,133;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,133;0,038
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,133;0,027
SP00127;SP;7300,000;5121,000;2179,000;4725,000;3,000;0,063;0,398;0,059
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,133;0,026
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,133;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;2,000;0,071;0,266;0,063
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,133;0,018
SP00146;SP;7336,000;5404,000;1932,000;4752,000;2,000;0,042;0,266;0,037
SP00147;SP;7272,000;5483,000;1789,000;5016,000;3,000;0,060;0,398;0,055
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,133;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,133;0,017
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,133;0,020
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,133;0,026
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,133;0,029
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,133;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,133;0,016
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,133;0,040
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,133;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,133;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,133;0,021
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,133;0,045
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,133;0,028
