CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;1,852;0,018
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;1,852;0,024
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;1,852;0,019
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;3,704;0,048
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;3,704;0,041
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;1,852;0,021
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;1,852;0,034
SP00124;SP;5471,000;3750,000;1721,000;3417,000;3,000;0,088;5,556;0,080
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;1,852;0,035
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;1,852;0,031
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;1,852;0,034
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;1,852;0,033
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;1,852;0,028
SP00421;SP;3048,000;2181,000;867,000;1947,000;4,000;0,205;7,407;0,183
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;1,852;0,013
SP00423;SP;4513,000;3158,000;1355,000;2820,000;2,000;0,071;3,704;0,063
SP00424;SP;4823,000;3449,000;1374,000;3041,000;4,000;0,132;7,407;0,116
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;1,852;0,018
SP00459;SP;4392,000;3188,000;1204,000;2896,000;1,000;0,035;1,852;0,031
SP00475;SP;5821,000;4091,000;1730,000;3609,000;1,000;0,028;1,852;0,024
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;1,852;0,020
SP00587;SP;3697,000;2586,000;1111,000;2332,000;1,000;0,043;1,852;0,039
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;1,852;0,019
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;1,852;0,022
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;1,852;0,020
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;1,852;0,021
SP00829;SP;1366,000;1096,000;270,000;992,000;1,000;0,101;1,852;0,091
SP00937;SP;5631,000;4138,000;1493,000;3493,000;1,000;0,029;1,852;0,024
SP01051;SP;3156,000;2436,000;720,000;2042,000;1,000;0,049;1,852;0,041
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;1,852;0,023
SP01054;SP;4275,000;2952,000;1323,000;2509,000;1,000;0,040;1,852;0,034
SP01066;SP;2883,000;2142,000;741,000;1859,000;2,000;0,108;3,704;0,093
SP01099;SP;4340,000;3039,000;1301,000;2637,000;1,000;0,038;1,852;0,033
SP01122;SP;3123,000;2007,000;1116,000;1679,000;1,000;0,060;1,852;0,050
SP01463;SP;4734,000;3558,000;1176,000;2951,000;1,000;0,034;1,852;0,028
SP01633;SP;5184,000;3704,000;1480,000;3122,000;1,000;0,032;1,852;0,027
SP01713;SP;4285,000;3322,000;963,000;2877,000;1,000;0,035;1,852;0,030
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;1,852;0,028
SP01745;SP;3806,000;2617,000;1189,000;2071,000;1,000;0,048;1,852;0,038
SP01919;SP;5480,000;3862,000;1618,000;3239,000;1,000;0,031;1,852;0,026
SP01962;SP;7108,000;5093,000;2015,000;4362,000;1,000;0,023;1,852;0,020
SP02047;SP;5031,000;3799,000;1232,000;3118,000;1,000;0,032;1,852;0,026
