CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;0,240;0,060
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,060;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,120;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,060;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;3,000;0,070;0,180;0,062
SP00007;SP;9748,000;5727,000;4021,000;5077,000;6,000;0,118;0,360;0,105
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,120;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,180;0,050
SP00011;SP;7822,000;5249,000;2573,000;4769,000;3,000;0,063;0,180;0,057
SP00012;SP;9441,000;6116,000;3325,000;5498,000;3,000;0,055;0,180;0,049
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,060;0,034
SP00016;SP;4976,000;3125,000;1851,000;2763,000;3,000;0,109;0,180;0,096
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,060;0,028
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,060;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;7,000;0,059;0,420;0,056
SP00032;SP;11991,000;8507,000;3484,000;8030,000;9,000;0,112;0,540;0,106
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,060;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,060;0,031
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,120;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,120;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,120;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,060;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,120;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,060;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,180;0,049
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,060;0,030
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,060;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;3,000;0,051;0,180;0,047
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,060;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,060;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,060;0,034
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,060;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,120;0,050
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,060;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;2,000;0,073;0,120;0,064
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,120;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,060;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,060;0,027
SP00078;SP;6145,000;4471,000;1674,000;4014,000;3,000;0,075;0,180;0,067
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,120;0,039
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,060;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;0,180;0,032
SP00084;SP;8514,000;5960,000;2554,000;5282,000;9,000;0,170;0,540;0,151
SP00085;SP;7942,000;5522,000;2420,000;4861,000;6,000;0,123;0,360;0,109
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,060;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,120;0,035
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,060;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;2,000;0,051;0,120;0,047
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,180;0,053
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,060;0,028
SP00094;SP;3713,000;2680,000;1033,000;2357,000;3,000;0,127;0,180;0,112
SP00096;SP;3961,000;2845,000;1116,000;2437,000;3,000;0,123;0,180;0,105
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,120;0,068
SP00101;SP;8957,000;6780,000;2177,000;6001,000;4,000;0,067;0,240;0,059
SP00105;SP;3570,000;2330,000;1240,000;2184,000;5,000;0,229;0,300;0,215
SP00106;SP;4729,000;3001,000;1728,000;2772,000;6,000;0,216;0,360;0,200
SP00107;SP;5091,000;3438,000;1653,000;3201,000;6,000;0,187;0,360;0,175
SP00108;SP;7706,000;4996,000;2710,000;4672,000;18,000;0,385;1,079;0,360
SP00109;SP;3531,000;2268,000;1263,000;2068,000;2,000;0,097;0,120;0,088
SP00110;SP;4331,000;2860,000;1471,000;2625,000;4,000;0,152;0,240;0,140
SP00111;SP;5405,000;3713,000;1692,000;3463,000;42,000;1,213;2,518;1,131
SP00112;SP;5370,000;3564,000;1806,000;3242,000;9,000;0,278;0,540;0,253
SP00113;SP;4368,000;2914,000;1454,000;2731,000;8,000;0,293;0,480;0,275
SP00114;SP;11524,000;7280,000;4244,000;6663,000;8,000;0,120;0,480;0,110
SP00115;SP;6789,000;4670,000;2119,000;4276,000;21,000;0,491;1,259;0,450
SP00116;SP;13458,000;8809,000;4649,000;8195,000;46,000;0,561;2,758;0,522
SP00117;SP;12258,000;8026,000;4232,000;7396,000;6,000;0,081;0,360;0,075
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,120;0,027
SP00119;SP;8699,000;5629,000;3070,000;5241,000;8,000;0,153;0,480;0,142
SP00120;SP;7492,000;5053,000;2439,000;4694,000;18,000;0,383;1,079;0,356
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,120;0,075
SP00122;SP;2338,000;1648,000;690,000;1510,000;5,000;0,331;0,300;0,303
SP00123;SP;2390,000;1759,000;631,000;1653,000;6,000;0,363;0,360;0,341
SP00124;SP;5471,000;3750,000;1721,000;3417,000;4,000;0,117;0,240;0,107
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,060;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,060;0,036
SP00128;SP;9830,000;6546,000;3284,000;5910,000;9,000;0,152;0,540;0,137
SP00129;SP;8021,000;5609,000;2412,000;5146,000;4,000;0,078;0,240;0,071
SP00130;SP;7718,000;5325,000;2393,000;4865,000;9,000;0,185;0,540;0,169
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,120;0,055
SP00132;SP;4938,000;3378,000;1560,000;3079,000;2,000;0,065;0,120;0,059
