CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,467;0,018
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,467;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,467;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,467;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,467;0,017
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,467;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,467;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,935;0,056
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;2,336;0,040
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,467;0,012
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,467;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,467;0,025
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,467;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,935;0,064
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,467;0,025
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,467;0,033
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,467;0,011
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,467;0,018
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,467;0,030
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,467;0,058
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,467;0,034
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,467;0,021
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,467;0,015
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,467;0,028
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,467;0,015
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,467;0,019
SP00154;SP;6876,000;4799,000;2077,000;4025,000;3,000;0,075;1,402;0,063
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,467;0,023
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,467;0,016
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,467;0,033
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,467;0,043
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,467;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;3,000;0,050;1,402;0,045
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,467;0,029
SP00207;SP;4643,000;3544,000;1099,000;3043,000;2,000;0,066;0,935;0,056
SP00210;SP;2712,000;2153,000;559,000;1857,000;2,000;0,108;0,935;0,093
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,467;0,023
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,467;0,025
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,467;0,031
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,467;0,035
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,467;0,024
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,467;0,025
SP00321;SP;4314,000;3059,000;1255,000;2771,000;2,000;0,072;0,935;0,065
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,467;0,044
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,935;0,037
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,467;0,055
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,467;0,051
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,467;0,028
SP00399;SP;4200,000;2969,000;1231,000;2600,000;1,000;0,038;0,467;0,034
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,467;0,017
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,467;0,018
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,467;0,033
SP00505;SP;2185,000;1532,000;653,000;1335,000;3,000;0,225;1,402;0,196
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,467;0,019
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,467;0,028
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,467;0,029
SP00528;SP;2366,000;1777,000;589,000;1569,000;2,000;0,127;0,935;0,113
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,467;0,019
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;0,467;0,035
SP00575;SP;1945,000;1339,000;606,000;1078,000;1,000;0,093;0,467;0,075
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,467;0,023
SP00602;SP;3850,000;2848,000;1002,000;2482,000;1,000;0,040;0,467;0,035
SP00611;SP;1902,000;1499,000;403,000;1287,000;2,000;0,155;0,935;0,133
SP00616;SP;3937,000;3054,000;883,000;2687,000;2,000;0,074;0,935;0,065
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,467;0,020
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,467;0,013
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,467;0,018
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,467;0,021
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,467;0,027
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,467;0,038
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;0,467;0,035
SP00657;SP;6658,000;4729,000;1929,000;4302,000;3,000;0,070;1,402;0,063
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,467;0,032
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,467;0,020
SP00675;SP;2186,000;1721,000;465,000;1556,000;1,000;0,064;0,467;0,058
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,467;0,012
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,467;0,036
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;0,467;0,026
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,467;0,017
SP00695;SP;5738,000;3934,000;1804,000;3443,000;1,000;0,029;0,467;0,025
SP00701;SP;4091,000;3020,000;1071,000;2626,000;1,000;0,038;0,467;0,033
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,467;0,028
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;0,467;0,024
SP00745;SP;4714,000;3481,000;1233,000;3072,000;1,000;0,033;0,467;0,029
SP00752;SP;3263,000;2381,000;882,000;1917,000;1,000;0,052;0,467;0,042
SP00761;SP;3317,000;2430,000;887,000;2099,000;1,000;0,048;0,467;0,041
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,467;0,018
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,467;0,019
SP00772;SP;5664,000;4117,000;1547,000;3538,000;1,000;0,028;0,467;0,024
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;0,467;0,021
SP00784;SP;3105,000;2329,000;776,000;1939,000;1,000;0,052;0,467;0,043
SP00800;SP;5404,000;4006,000;1398,000;3410,000;1,000;0,029;0,467;0,025
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,467;0,022
SP00817;SP;5075,000;3549,000;1526,000;2989,000;1,000;0,033;0,467;0,028
SP00830;SP;1919,000;1541,000;378,000;1355,000;1,000;0,074;0,467;0,065
SP00856;SP;6062,000;4538,000;1524,000;3805,000;1,000;0,026;0,467;0,022
SP00884;SP;6025,000;4117,000;1908,000;3528,000;4,000;0,113;1,869;0,097
SP00887;SP;2549,000;1778,000;771,000;1536,000;10,000;0,651;4,673;0,562
SP00888;SP;3225,000;2422,000;803,000;2160,000;1,000;0,046;0,467;0,041
SP00890;SP;6506,000;4670,000;1836,000;4087,000;2,000;0,049;0,935;0,043
SP00891;SP;6195,000;4624,000;1571,000;4037,000;2,000;0,050;0,935;0,043
SP00897;SP;4232,000;3120,000;1112,000;2666,000;7,000;0,263;3,271;0,224
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;0,467;0,031
SP00902;SP;3771,000;2901,000;870,000;2421,000;1,000;0,041;0,467;0,034
SP00904;SP;1355,000;1053,000;302,000;902,000;3,000;0,333;1,402;0,285
SP00908;SP;2080,000;1573,000;507,000;1325,000;1,000;0,075;0,467;0,064
SP00911;SP;2895,000;2154,000;741,000;1865,000;1,000;0,054;0,467;0,046
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,467;0,027
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;0,935;0,033
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,467;0,020
SP00975;SP;5925,000;4068,000;1857,000;3551,000;1,000;0,028;0,467;0,025
SP00977;SP;4747,000;3316,000;1431,000;2910,000;1,000;0,034;0,467;0,030
SP00978;SP;4720,000;3350,000;1370,000;2972,000;2,000;0,067;0,935;0,060
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,467;0,019
SP01064;SP;6076,000;4508,000;1568,000;3796,000;1,000;0,026;0,467;0,022
SP01128;SP;4920,000;3469,000;1451,000;2978,000;1,000;0,034;0,467;0,029
SP01133;SP;5893,000;4168,000;1725,000;3571,000;1,000;0,028;0,467;0,024
SP01143;SP;3097,000;2339,000;758,000;2010,000;1,000;0,050;0,467;0,043
SP01149;SP;3540,000;2733,000;807,000;2341,000;2,000;0,085;0,935;0,073
SP01186;SP;3559,000;2774,000;785,000;2416,000;1,000;0,041;0,467;0,036
SP01282;SP;8652,000;6512,000;2140,000;5430,000;1,000;0,018;0,467;0,015
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;0,467;0,024
SP01306;SP;10069,000;7542,000;2527,000;6154,000;1,000;0,016;0,467;0,013
SP01316;SP;6703,000;4570,000;2133,000;3887,000;4,000;0,103;1,869;0,088
SP01318;SP;5897,000;4085,000;1812,000;3426,000;3,000;0,088;1,402;0,073
SP01324;SP;1575,000;1123,000;452,000;935,000;1,000;0,107;0,467;0,089
SP01327;SP;5676,000;4019,000;1657,000;3252,000;1,000;0,031;0,467;0,025
SP01337;SP;5929,000;4445,000;1484,000;3629,000;1,000;0,028;0,467;0,022
SP01364;SP;3423,000;2550,000;873,000;2100,000;1,000;0,048;0,467;0,039
SP01378;SP;5134,000;3809,000;1325,000;3086,000;3,000;0,097;1,402;0,079
SP01382;SP;4773,000;3511,000;1262,000;2832,000;2,000;0,071;0,935;0,057
SP01408;SP;3519,000;2466,000;1053,000;2143,000;1,000;0,047;0,467;0,041
SP01460;SP;3158,000;2407,000;751,000;1981,000;1,000;0,050;0,467;0,042
SP01462;SP;7003,000;5161,000;1842,000;4135,000;1,000;0,024;0,467;0,019
SP01484;SP;4803,000;3637,000;1166,000;3023,000;1,000;0,033;0,467;0,027
SP01550;SP;1274,000;1007,000;267,000;818,000;1,000;0,122;0,467;0,099
SP01578;SP;5035,000;3915,000;1120,000;3263,000;1,000;0,031;0,467;0,026
SP01583;SP;5432,000;4096,000;1336,000;3442,000;1,000;0,029;0,467;0,024
SP01613;SP;5274,000;3845,000;1429,000;3229,000;1,000;0,031;0,467;0,026
SP01621;SP;5101,000;3838,000;1263,000;3203,000;1,000;0,031;0,467;0,026
SP01732;SP;5337,000;4122,000;1215,000;3348,000;1,000;0,030;0,467;0,024
SP01775;SP;5254,000;3935,000;1319,000;3270,000;2,000;0,061;0,935;0,051
SP01784;SP;5548,000;4158,000;1390,000;3356,000;1,000;0,030;0,467;0,024
SP01826;SP;6250,000;4422,000;1828,000;3846,000;1,000;0,026;0,467;0,023
SP01831;SP;3229,000;2462,000;767,000;2131,000;1,000;0,047;0,467;0,041
SP01836;SP;6148,000;4540,000;1608,000;3783,000;1,000;0,026;0,467;0,022
SP01845;SP;6584,000;4733,000;1851,000;3854,000;1,000;0,026;0,467;0,021
SP01865;SP;4732,000;3337,000;1395,000;2900,000;1,000;0,034;0,467;0,030
SP01873;SP;2770,000;2105,000;665,000;1871,000;1,000;0,053;0,467;0,048
SP01884;SP;7365,000;5467,000;1898,000;4519,000;1,000;0,022;0,467;0,018
SP01890;SP;5322,000;3800,000;1522,000;3207,000;1,000;0,031;0,467;0,026
SP01893;SP;6981,000;4853,000;2128,000;4154,000;1,000;0,024;0,467;0,021
SP01937;SP;2730,000;2058,000;672,000;1763,000;2,000;0,113;0,935;0,097
SP01948;SP;4518,000;3392,000;1126,000;2842,000;1,000;0,035;0,467;0,029
SP01990;SP;6386,000;4883,000;1503,000;4034,000;1,000;0,025;0,467;0,020
SP02032;SP;4842,000;3184,000;1658,000;2718,000;1,000;0,037;0,467;0,031
SP02038;SP;5939,000;4569,000;1370,000;3984,000;2,000;0,050;0,935;0,044
