CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,115;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,115;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,115;0,017
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,115;0,034
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,115;0,017
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,115;0,011
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,115;0,018
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,115;0,025
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,115;0,021
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,115;0,026
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,231;0,031
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,115;0,050
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,115;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,115;0,016
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,115;0,043
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,115;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,115;0,015
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,115;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,231;0,037
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,115;0,028
SP00210;SP;2712,000;2153,000;559,000;1857,000;3,000;0,162;0,346;0,139
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,115;0,021
SP00218;SP;3583,000;2575,000;1008,000;2277,000;2,000;0,088;0,231;0,078
SP00280;SP;6493,000;4855,000;1638,000;3966,000;2,000;0,050;0,231;0,041
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,115;0,032
SP00335;SP;4066,000;2940,000;1126,000;2443,000;1,000;0,041;0,115;0,034
SP00380;SP;4357,000;2944,000;1413,000;2747,000;1,000;0,036;0,115;0,034
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,115;0,031
SP00430;SP;8129,000;5971,000;2158,000;5396,000;2,000;0,037;0,231;0,033
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,115;0,036
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,115;0,028
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,115;0,024
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,115;0,033
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;0,115;0,027
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,115;0,027
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,115;0,019
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,115;0,021
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,115;0,026
SP00635;SP;5917,000;4054,000;1863,000;3591,000;4,000;0,111;0,461;0,099
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,115;0,024
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,115;0,038
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;0,115;0,035
SP00649;SP;2648,000;1982,000;666,000;1760,000;1,000;0,057;0,115;0,050
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,115;0,028
SP00651;SP;4603,000;3022,000;1581,000;2669,000;3,000;0,112;0,346;0,099
SP00652;SP;4711,000;3356,000;1355,000;2915,000;2,000;0,069;0,231;0,060
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,115;0,025
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,115;0,033
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,115;0,015
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,115;0,017
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,115;0,025
SP00712;SP;7054,000;5112,000;1942,000;4323,000;1,000;0,023;0,115;0,020
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,115;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;3,000;0,059;0,346;0,051
SP00730;SP;5502,000;4153,000;1349,000;3563,000;1,000;0,028;0,115;0,024
SP00734;SP;3871,000;2912,000;959,000;2509,000;2,000;0,080;0,231;0,069
SP00736;SP;6501,000;5079,000;1422,000;4352,000;1,000;0,023;0,115;0,020
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,115;0,015
SP00739;SP;1868,000;1437,000;431,000;1249,000;1,000;0,080;0,115;0,070
SP00741;SP;4300,000;3373,000;927,000;2832,000;1,000;0,035;0,115;0,030
SP00742;SP;5088,000;4001,000;1087,000;3393,000;1,000;0,029;0,115;0,025
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,115;0,031
SP00746;SP;1614,000;1302,000;312,000;1139,000;1,000;0,088;0,115;0,077
SP00758;SP;4241,000;3341,000;900,000;2876,000;3,000;0,104;0,346;0,090
SP00761;SP;3317,000;2430,000;887,000;2099,000;1,000;0,048;0,115;0,041
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,115;0,029
SP00772;SP;5664,000;4117,000;1547,000;3538,000;1,000;0,028;0,115;0,024
SP00773;SP;6264,000;4426,000;1838,000;3805,000;3,000;0,079;0,346;0,068
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,115;0,019
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;0,115;0,021
SP00778;SP;7392,000;5180,000;2212,000;4241,000;3,000;0,071;0,346;0,058
SP00779;SP;7813,000;5789,000;2024,000;4877,000;1,000;0,021;0,115;0,017
SP00780;SP;3820,000;2943,000;877,000;2559,000;2,000;0,078;0,231;0,068
SP00781;SP;4179,000;2991,000;1188,000;2524,000;2,000;0,079;0,231;0,067
SP00782;SP;6626,000;4932,000;1694,000;4068,000;2,000;0,049;0,231;0,041
SP00784;SP;3105,000;2329,000;776,000;1939,000;1,000;0,052;0,115;0,043
SP00786;SP;4539,000;3402,000;1137,000;2835,000;3,000;0,106;0,346;0,088
SP00787;SP;2366,000;1797,000;569,000;1532,000;1,000;0,065;0,115;0,056
SP00788;SP;6979,000;5171,000;1808,000;4203,000;3,000;0,071;0,346;0,058
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,115;0,052
SP00794;SP;5472,000;4057,000;1415,000;3352,000;4,000;0,119;0,461;0,099
SP00795;SP;5107,000;3746,000;1361,000;3093,000;3,000;0,097;0,346;0,080
SP00803;SP;3495,000;2525,000;970,000;2040,000;1,000;0,049;0,115;0,040
SP00804;SP;1445,000;1087,000;358,000;869,000;1,000;0,115;0,115;0,092
SP00822;SP;1894,000;1440,000;454,000;1247,000;1,000;0,080;0,115;0,069
SP00829;SP;1366,000;1096,000;270,000;992,000;1,000;0,101;0,115;0,091
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,115;0,023
