CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,321;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,321;0,018
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,641;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,321;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,321;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,321;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,321;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,321;0,024
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,321;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,962;0,058
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,321;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,641;0,038
SP00036;SP;6716,000;4776,000;1940,000;4457,000;3,000;0,067;0,962;0,063
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,321;0,046
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,321;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,321;0,023
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,321;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,321;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,321;0,027
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,321;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,321;0,024
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,321;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,321;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,321;0,027
SP00085;SP;7942,000;5522,000;2420,000;4861,000;3,000;0,062;0,962;0,054
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,321;0,020
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,641;0,035
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,321;0,019
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,321;0,027
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,321;0,014
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,641;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,641;0,027
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,641;0,075
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,641;0,072
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,321;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,321;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;8,000;0,155;2,564;0,143
SP00130;SP;7718,000;5325,000;2393,000;4865,000;4,000;0,082;1,282;0,075
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,321;0,030
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,321;0,031
SP00144;SP;5788,000;3963,000;1825,000;3611,000;8,000;0,222;2,564;0,202
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,321;0,027
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,641;0,038
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,321;0,028
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,641;0,032
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,321;0,030
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,321;0,016
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,321;0,043
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,321;0,030
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,321;0,028
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,321;0,038
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;0,641;0,041
SP00261;SP;5727,000;3983,000;1744,000;3376,000;2,000;0,059;0,641;0,050
SP00262;SP;6791,000;4838,000;1953,000;4128,000;4,000;0,097;1,282;0,083
SP00263;SP;10873,000;8161,000;2712,000;7067,000;3,000;0,042;0,962;0,037
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,321;0,021
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,321;0,023
SP00269;SP;4567,000;3317,000;1250,000;2813,000;2,000;0,071;0,641;0,060
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,321;0,022
SP00274;SP;5083,000;4027,000;1056,000;3417,000;2,000;0,059;0,641;0,050
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,321;0,031
SP00282;SP;6521,000;4899,000;1622,000;4004,000;4,000;0,100;1,282;0,082
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,321;0,030
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,321;0,056
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,321;0,024
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,321;0,023
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,321;0,032
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,321;0,030
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,321;0,037
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;0,321;0,046
SP00356;SP;6871,000;5190,000;1681,000;4713,000;2,000;0,042;0,641;0,039
SP00365;SP;5757,000;3680,000;2077,000;3504,000;1,000;0,029;0,321;0,027
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,321;0,049
SP00379;SP;4356,000;2992,000;1364,000;2717,000;3,000;0,110;0,962;0,100
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,321;0,035
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,321;0,020
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,321;0,050
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,321;0,033
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,321;0,028
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,321;0,021
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,321;0,026
SP00472;SP;2507,000;1806,000;701,000;1593,000;1,000;0,063;0,321;0,055
SP00476;SP;5975,000;4311,000;1664,000;3817,000;2,000;0,052;0,641;0,046
SP00485;SP;1466,000;1071,000;395,000;957,000;1,000;0,104;0,321;0,093
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,321;0,020
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,321;0,028
SP00523;SP;4290,000;3229,000;1061,000;2690,000;1,000;0,037;0,321;0,031
SP00540;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,321;0,048
SP00541;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,321;0,048
SP00542;SP;4842,000;3391,000;1451,000;2867,000;1,000;0,035;0,321;0,029
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;0,321;0,027
SP00577;SP;8415,000;5842,000;2573,000;5257,000;2,000;0,038;0,641;0,034
SP00588;SP;5167,000;3521,000;1646,000;3105,000;1,000;0,032;0,321;0,028
SP00590;SP;7580,000;5281,000;2299,000;4546,000;2,000;0,044;0,641;0,038
SP00607;SP;2771,000;2166,000;605,000;1868,000;1,000;0,054;0,321;0,046
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,321;0,017
SP00626;SP;6265,000;4313,000;1952,000;3939,000;2,000;0,051;0,641;0,046
SP00639;SP;9027,000;6272,000;2755,000;5745,000;4,000;0,070;1,282;0,064
SP00640;SP;6187,000;4214,000;1973,000;3845,000;2,000;0,052;0,641;0,047
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;0,321;0,035
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,321;0,033
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,321;0,033
SP00661;SP;3498,000;2295,000;1203,000;2021,000;2,000;0,099;0,641;0,087
SP00665;SP;4690,000;3236,000;1454,000;2925,000;2,000;0,068;0,641;0,062
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,321;0,012
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,321;0,027
SP00709;SP;5869,000;4162,000;1707,000;3614,000;1,000;0,028;0,321;0,024
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;0,321;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;2,000;0,039;0,641;0,034
