CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,287;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,287;0,028
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,287;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,287;0,023
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,287;0,069
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,862;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;1,437;0,040
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,287;0,012
SP00037;SP;5446,000;3922,000;1524,000;3606,000;4,000;0,111;1,149;0,102
SP00038;SP;8044,000;5650,000;2394,000;5177,000;5,000;0,097;1,437;0,088
SP00039;SP;6391,000;4336,000;2055,000;3981,000;3,000;0,075;0,862;0,069
SP00040;SP;7288,000;5434,000;1854,000;4999,000;7,000;0,140;2,011;0,129
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,287;0,031
SP00046;SP;8211,000;6097,000;2114,000;5678,000;5,000;0,088;1,437;0,082
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,575;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,287;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,287;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,287;0,034
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,287;0,052
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,575;0,098
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,287;0,010
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,287;0,019
