CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,057;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,057;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,114;0,049
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,057;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,114;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,057;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;3,000;0,084;0,170;0,077
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,114;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,057;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,057;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,057;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,114;0,048
SP00022;SP;5474,000;3858,000;1616,000;3218,000;3,000;0,093;0,170;0,078
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,057;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,057;0,031
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,057;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,057;0,034
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,057;0,046
SP00053;SP;6007,000;3594,000;2413,000;3140,000;4,000;0,127;0,227;0,111
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,057;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,114;0,037
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,057;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,114;0,050
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,114;0,048
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,057;0,034
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,057;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,114;0,050
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,057;0,043
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,114;0,104
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,057;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,114;0,067
SP00071;SP;6547,000;4082,000;2465,000;3615,000;3,000;0,083;0,170;0,073
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,057;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,114;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,057;0,033
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,057;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;5,000;0,111;0,284;0,097
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,114;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;3,000;0,067;0,170;0,059
SP00081;SP;4985,000;3194,000;1791,000;2755,000;4,000;0,145;0,227;0,125
SP00083;SP;12710,000;9298,000;3412,000;8373,000;4,000;0,048;0,227;0,043
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,057;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,057;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,057;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,114;0,035
SP00091;SP;6781,000;4661,000;2120,000;4098,000;4,000;0,098;0,227;0,086
SP00093;SP;4638,000;3524,000;1114,000;3163,000;6,000;0,190;0,341;0,170
SP00094;SP;3713,000;2680,000;1033,000;2357,000;7,000;0,297;0,398;0,261
SP00095;SP;7262,000;5378,000;1884,000;4657,000;13,000;0,279;0,739;0,242
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,057;0,035
SP00097;SP;4480,000;3320,000;1160,000;2831,000;3,000;0,106;0,170;0,090
