CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,163;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,163;0,018
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,163;0,019
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,163;0,019
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,163;0,027
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,163;0,034
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,163;0,021
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,163;0,038
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,163;0,015
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,163;0,026
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,163;0,021
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,163;0,023
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,163;0,020
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,163;0,016
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,163;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;5,000;0,090;0,813;0,080
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,163;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;5,000;0,087;0,813;0,080
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,163;0,043
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,163;0,040
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,163;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;10,000;0,158;1,626;0,142
SP00199;SP;9351,000;6697,000;2654,000;6031,000;15,000;0,249;2,439;0,224
SP00200;SP;4987,000;3648,000;1339,000;3251,000;4,000;0,123;0,650;0,110
SP00203;SP;7005,000;4837,000;2168,000;4332,000;2,000;0,046;0,325;0,041
SP00204;SP;4526,000;3486,000;1040,000;3183,000;2,000;0,063;0,325;0,057
SP00207;SP;4643,000;3544,000;1099,000;3043,000;2,000;0,066;0,325;0,056
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,163;0,078
SP00209;SP;4117,000;3042,000;1075,000;2774,000;3,000;0,108;0,488;0,099
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,163;0,046
SP00211;SP;6388,000;4682,000;1706,000;4168,000;3,000;0,072;0,488;0,064
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,163;0,024
SP00213;SP;4732,000;3454,000;1278,000;3107,000;3,000;0,097;0,488;0,087
SP00214;SP;5779,000;4297,000;1482,000;3759,000;2,000;0,053;0,325;0,047
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,163;0,131
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,163;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;3,000;0,090;0,488;0,078
SP00220;SP;2119,000;1454,000;665,000;1292,000;2,000;0,155;0,325;0,138
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,163;0,029
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,163;0,023
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;0,163;0,046
SP00336;SP;3224,000;2282,000;942,000;1932,000;2,000;0,104;0,325;0,088
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,163;0,030
SP00391;SP;3539,000;2437,000;1102,000;2119,000;2,000;0,094;0,325;0,082
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,163;0,031
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,163;0,052
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,163;0,052
SP00534;SP;4351,000;3409,000;942,000;3003,000;1,000;0,033;0,163;0,029
SP00550;SP;4742,000;3413,000;1329,000;2933,000;2,000;0,068;0,325;0,059
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,163;0,041
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,163;0,027
SP00593;SP;5605,000;4143,000;1462,000;3635,000;2,000;0,055;0,325;0,048
SP00596;SP;3534,000;2596,000;938,000;2206,000;1,000;0,045;0,163;0,039
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,163;0,023
SP00603;SP;4959,000;3460,000;1499,000;2923,000;2,000;0,068;0,325;0,058
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,163;0,029
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;0,163;0,020
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,163;0,017
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,163;0,026
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,163;0,014
SP00635;SP;5917,000;4054,000;1863,000;3591,000;2,000;0,056;0,325;0,049
SP00637;SP;5885,000;3783,000;2102,000;3470,000;2,000;0,058;0,325;0,053
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,163;0,022
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,163;0,016
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,163;0,024
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,163;0,021
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,163;0,027
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,163;0,041
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,163;0,028
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,163;0,033
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,163;0,015
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,163;0,021
SP00661;SP;3498,000;2295,000;1203,000;2021,000;2,000;0,099;0,325;0,087
SP00663;SP;4883,000;3374,000;1509,000;3029,000;1,000;0,033;0,163;0,030
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,163;0,034
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,163;0,019
SP00668;SP;5384,000;3806,000;1578,000;3465,000;1,000;0,029;0,163;0,026
SP00670;SP;5766,000;4219,000;1547,000;3799,000;2,000;0,053;0,325;0,047
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;0,163;0,039
SP00679;SP;4304,000;3017,000;1287,000;2683,000;1,000;0,037;0,163;0,033
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,163;0,026
SP00687;SP;5282,000;3669,000;1613,000;3211,000;3,000;0,093;0,488;0,082
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,163;0,017
SP00700;SP;2038,000;1296,000;742,000;1148,000;1,000;0,087;0,163;0,077
SP00710;SP;3923,000;2817,000;1106,000;2427,000;1,000;0,041;0,163;0,035
SP00713;SP;5464,000;4097,000;1367,000;3538,000;1,000;0,028;0,163;0,024
SP00724;SP;3664,000;2699,000;965,000;2432,000;19,000;0,781;3,089;0,704
SP00725;SP;5899,000;4174,000;1725,000;3691,000;13,000;0,352;2,114;0,311
SP00726;SP;4468,000;3025,000;1443,000;2675,000;9,000;0,336;1,463;0,298
SP00727;SP;5267,000;3869,000;1398,000;3416,000;32,000;0,937;5,203;0,827
SP00728;SP;4919,000;3629,000;1290,000;3093,000;6,000;0,194;0,976;0,165
SP00729;SP;8105,000;5929,000;2176,000;5111,000;52,000;1,017;8,455;0,877
SP00730;SP;5502,000;4153,000;1349,000;3563,000;13,000;0,365;2,114;0,313
SP00731;SP;4685,000;3466,000;1219,000;3004,000;6,000;0,200;0,976;0,173
SP00733;SP;6587,000;4986,000;1601,000;4131,000;4,000;0,097;0,650;0,080
SP00735;SP;5909,000;4419,000;1490,000;3878,000;13,000;0,335;2,114;0,294
SP00736;SP;6501,000;5079,000;1422,000;4352,000;7,000;0,161;1,138;0,138
SP00737;SP;6265,000;4846,000;1419,000;4149,000;9,000;0,217;1,463;0,186
SP00738;SP;8744,000;6776,000;1968,000;5693,000;2,000;0,035;0,325;0,030
SP00740;SP;3936,000;3068,000;868,000;2621,000;2,000;0,076;0,325;0,065
SP00741;SP;4300,000;3373,000;927,000;2832,000;9,000;0,318;1,463;0,267
SP00742;SP;5088,000;4001,000;1087,000;3393,000;1,000;0,029;0,163;0,025
SP00743;SP;4240,000;3246,000;994,000;2798,000;19,000;0,679;3,089;0,585
SP00744;SP;5446,000;4215,000;1231,000;3568,000;5,000;0,140;0,813;0,119
SP00745;SP;4714,000;3481,000;1233,000;3072,000;8,000;0,260;1,301;0,230
SP00747;SP;4941,000;3778,000;1163,000;3217,000;2,000;0,062;0,325;0,053
SP00748;SP;3624,000;2591,000;1033,000;2215,000;4,000;0,181;0,650;0,154
SP00749;SP;1955,000;1539,000;416,000;1305,000;2,000;0,153;0,325;0,130
SP00750;SP;1353,000;1052,000;301,000;900,000;4,000;0,444;0,650;0,380
SP00754;SP;1139,000;973,000;166,000;857,000;1,000;0,117;0,163;0,103
SP00755;SP;2817,000;2116,000;701,000;1822,000;2,000;0,110;0,325;0,095
SP00756;SP;3235,000;2278,000;957,000;1971,000;6,000;0,304;0,976;0,263
SP00757;SP;3284,000;2523,000;761,000;2167,000;4,000;0,185;0,650;0,159
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;0,163;0,037
SP00760;SP;6093,000;4322,000;1771,000;3614,000;1,000;0,028;0,163;0,023
SP00761;SP;3317,000;2430,000;887,000;2099,000;2,000;0,095;0,325;0,082
SP00763;SP;2894,000;2276,000;618,000;1887,000;1,000;0,053;0,163;0,044
SP00768;SP;4292,000;2930,000;1362,000;2636,000;1,000;0,038;0,163;0,034
SP00774;SP;7854,000;5792,000;2062,000;5026,000;1,000;0,020;0,163;0,017
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,163;0,019
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;0,163;0,021
SP00780;SP;3820,000;2943,000;877,000;2559,000;1,000;0,039;0,163;0,034
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,163;0,025
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,163;0,027
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,163;0,021
SP00905;SP;5577,000;4262,000;1315,000;3604,000;1,000;0,028;0,163;0,023
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,163;0,021
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,163;0,019
SP00943;SP;5578,000;4080,000;1498,000;3484,000;1,000;0,029;0,163;0,025
SP00951;SP;6758,000;5122,000;1636,000;4246,000;1,000;0,024;0,163;0,020
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;0,163;0,033
SP00992;SP;1966,000;1511,000;455,000;1290,000;1,000;0,078;0,163;0,066
SP01021;SP;5856,000;4048,000;1808,000;3411,000;1,000;0,029;0,163;0,025
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;0,163;0,029
SP01034;SP;3909,000;2923,000;986,000;2528,000;2,000;0,079;0,325;0,068
SP01041;SP;1390,000;1045,000;345,000;903,000;1,000;0,111;0,163;0,096
SP01076;SP;3137,000;2436,000;701,000;2116,000;2,000;0,095;0,325;0,082
SP01163;SP;4114,000;2788,000;1326,000;2400,000;1,000;0,042;0,163;0,036
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,163;0,026
SP01169;SP;6535,000;4709,000;1826,000;3984,000;2,000;0,050;0,325;0,042
SP01172;SP;6690,000;4889,000;1801,000;4302,000;3,000;0,070;0,488;0,061
SP01173;SP;4537,000;3315,000;1222,000;2833,000;1,000;0,035;0,163;0,030
SP01174;SP;6350,000;4434,000;1916,000;3606,000;1,000;0,028;0,163;0,023
SP01176;SP;8236,000;5751,000;2485,000;4720,000;3,000;0,064;0,488;0,052
SP01180;SP;4666,000;3372,000;1294,000;2690,000;1,000;0,037;0,163;0,030
SP01182;SP;5929,000;4415,000;1514,000;3910,000;4,000;0,102;0,650;0,091
SP01183;SP;6376,000;4658,000;1718,000;4013,000;5,000;0,125;0,813;0,107
SP01272;SP;3598,000;2700,000;898,000;2308,000;1,000;0,043;0,163;0,037
SP01274;SP;6482,000;4544,000;1938,000;3933,000;1,000;0,025;0,163;0,022
SP01275;SP;8215,000;5845,000;2370,000;4919,000;5,000;0,102;0,813;0,086
SP01276;SP;5814,000;4245,000;1569,000;3567,000;7,000;0,196;1,138;0,165
SP01277;SP;5451,000;4180,000;1271,000;3551,000;4,000;0,113;0,650;0,096
SP01278;SP;6124,000;4326,000;1798,000;3583,000;1,000;0,028;0,163;0,023
SP01279;SP;7160,000;5349,000;1811,000;4413,000;4,000;0,091;0,650;0,075
SP01280;SP;5845,000;4462,000;1383,000;3757,000;6,000;0,160;0,976;0,134
SP01281;SP;6196,000;4845,000;1351,000;4089,000;4,000;0,098;0,650;0,083
SP01282;SP;8652,000;6512,000;2140,000;5430,000;1,000;0,018;0,163;0,015
SP01283;SP;4641,000;3663,000;978,000;3179,000;1,000;0,031;0,163;0,027
SP01285;SP;4343,000;3311,000;1032,000;2805,000;2,000;0,071;0,325;0,060
SP01287;SP;4630,000;3599,000;1031,000;3061,000;2,000;0,065;0,325;0,056
SP01288;SP;3628,000;2787,000;841,000;2393,000;1,000;0,042;0,163;0,036
SP01289;SP;8261,000;6336,000;1925,000;5214,000;2,000;0,038;0,325;0,032
SP01292;SP;5775,000;4372,000;1403,000;3718,000;4,000;0,108;0,650;0,091
SP01293;SP;8374,000;6450,000;1924,000;5532,000;1,000;0,018;0,163;0,016
SP01294;SP;5309,000;4157,000;1152,000;3488,000;2,000;0,057;0,325;0,048
SP01298;SP;4397,000;3285,000;1112,000;2749,000;2,000;0,073;0,325;0,061
SP01300;SP;3153,000;2400,000;753,000;2048,000;2,000;0,098;0,325;0,083
SP01303;SP;4518,000;3486,000;1032,000;2977,000;2,000;0,067;0,325;0,057
SP01305;SP;3647,000;2691,000;956,000;2223,000;1,000;0,045;0,163;0,037
SP01306;SP;10069,000;7542,000;2527,000;6154,000;2,000;0,032;0,325;0,027
SP01309;SP;3292,000;2582,000;710,000;2150,000;2,000;0,093;0,325;0,077
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,163;0,030
SP01314;SP;4826,000;3450,000;1376,000;2922,000;1,000;0,034;0,163;0,029
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;0,163;0,019
SP01319;SP;6497,000;4542,000;1955,000;3670,000;1,000;0,027;0,163;0,022
SP01320;SP;8209,000;6019,000;2190,000;5015,000;1,000;0,020;0,163;0,017
SP01321;SP;5117,000;3907,000;1210,000;3326,000;1,000;0,030;0,163;0,026
SP01322;SP;6445,000;4994,000;1451,000;4166,000;1,000;0,024;0,163;0,020
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;0,163;0,021
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,163;0,016
SP01364;SP;3423,000;2550,000;873,000;2100,000;1,000;0,048;0,163;0,039
SP01366;SP;6944,000;5099,000;1845,000;4243,000;1,000;0,024;0,163;0,020
SP01369;SP;3307,000;2556,000;751,000;2150,000;1,000;0,047;0,163;0,039
SP01371;SP;7808,000;5764,000;2044,000;4744,000;1,000;0,021;0,163;0,017
SP01380;SP;6398,000;4752,000;1646,000;3983,000;1,000;0,025;0,163;0,021
SP01389;SP;5537,000;3939,000;1598,000;3325,000;1,000;0,030;0,163;0,025
SP01390;SP;5471,000;4004,000;1467,000;3342,000;1,000;0,030;0,163;0,025
SP01391;SP;5920,000;4493,000;1427,000;3657,000;2,000;0,055;0,325;0,045
SP01392;SP;5417,000;4157,000;1260,000;3419,000;3,000;0,088;0,488;0,072
SP01393;SP;4576,000;3329,000;1247,000;2824,000;1,000;0,035;0,163;0,030
SP01425;SP;3763,000;2914,000;849,000;2538,000;1,000;0,039;0,163;0,034
SP01427;SP;13842,000;9705,000;4137,000;8556,000;1,000;0,012;0,163;0,010
SP01479;SP;7013,000;5355,000;1658,000;4424,000;1,000;0,023;0,163;0,019
SP01485;SP;4366,000;3308,000;1058,000;2767,000;1,000;0,036;0,163;0,030
SP01517;SP;8843,000;6741,000;2102,000;5697,000;1,000;0,018;0,163;0,015
SP01518;SP;6543,000;4968,000;1575,000;4096,000;2,000;0,049;0,325;0,040
SP01521;SP;6526,000;4864,000;1662,000;4159,000;1,000;0,024;0,163;0,021
SP01527;SP;5330,000;3896,000;1434,000;3210,000;1,000;0,031;0,163;0,026
SP01529;SP;8092,000;6107,000;1985,000;5030,000;2,000;0,040;0,325;0,033
SP01530;SP;4997,000;3947,000;1050,000;3258,000;1,000;0,031;0,163;0,025
SP01533;SP;7786,000;5910,000;1876,000;5039,000;5,000;0,099;0,813;0,085
SP01534;SP;4049,000;2999,000;1050,000;2548,000;2,000;0,078;0,325;0,067
SP01538;SP;4587,000;3519,000;1068,000;2931,000;1,000;0,034;0,163;0,028
SP01539;SP;2252,000;1662,000;590,000;1375,000;1,000;0,073;0,163;0,060
SP01547;SP;2943,000;2176,000;767,000;1791,000;1,000;0,056;0,163;0,046
SP01549;SP;4270,000;3162,000;1108,000;2619,000;1,000;0,038;0,163;0,032
SP01550;SP;1274,000;1007,000;267,000;818,000;3,000;0,367;0,488;0,298
SP01551;SP;3659,000;2697,000;962,000;2171,000;1,000;0,046;0,163;0,037
SP01556;SP;2397,000;1711,000;686,000;1386,000;1,000;0,072;0,163;0,058
SP01565;SP;1058,000;799,000;259,000;665,000;2,000;0,301;0,325;0,250
SP01591;SP;5257,000;4209,000;1048,000;3614,000;1,000;0,028;0,163;0,024
SP01633;SP;5184,000;3704,000;1480,000;3122,000;1,000;0,032;0,163;0,027
SP01651;SP;6989,000;5363,000;1626,000;4534,000;1,000;0,022;0,163;0,019
SP01688;SP;5851,000;4458,000;1393,000;3814,000;1,000;0,026;0,163;0,022
SP01738;SP;6502,000;4692,000;1810,000;3933,000;1,000;0,025;0,163;0,021
SP01752;SP;5109,000;3572,000;1537,000;2956,000;1,000;0,034;0,163;0,028
SP01771;SP;2820,000;2169,000;651,000;1788,000;1,000;0,056;0,163;0,046
SP01778;SP;5530,000;4135,000;1395,000;3487,000;1,000;0,029;0,163;0,024
SP01822;SP;6815,000;4948,000;1867,000;4153,000;1,000;0,024;0,163;0,020
SP01823;SP;7272,000;5078,000;2194,000;4264,000;3,000;0,070;0,488;0,059
SP01826;SP;6250,000;4422,000;1828,000;3846,000;1,000;0,026;0,163;0,023
SP01834;SP;1138,000;842,000;296,000;764,000;1,000;0,131;0,163;0,119
SP01835;SP;6616,000;4983,000;1633,000;4177,000;1,000;0,024;0,163;0,020
SP01858;SP;8697,000;5871,000;2826,000;5026,000;1,000;0,020;0,163;0,017
SP01866;SP;4946,000;3465,000;1481,000;3008,000;1,000;0,033;0,163;0,029
SP01867;SP;5509,000;4205,000;1304,000;3512,000;1,000;0,028;0,163;0,024
SP01871;SP;7738,000;5921,000;1817,000;5048,000;1,000;0,020;0,163;0,017
SP01881;SP;7339,000;5302,000;2037,000;4562,000;1,000;0,022;0,163;0,019
SP01883;SP;5157,000;3842,000;1315,000;3197,000;1,000;0,031;0,163;0,026
SP01914;SP;5492,000;3919,000;1573,000;3429,000;3,000;0,087;0,488;0,077
SP01916;SP;6631,000;4767,000;1864,000;4053,000;1,000;0,025;0,163;0,021
SP01918;SP;5928,000;4224,000;1704,000;3607,000;1,000;0,028;0,163;0,024
SP01919;SP;5480,000;3862,000;1618,000;3239,000;1,000;0,031;0,163;0,026
