CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,444;0,019
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,889;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,889;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,444;0,017
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,444;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,444;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,889;0,020
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,444;0,065
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,889;0,056
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,444;0,014
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,444;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,444;0,013
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,444;0,038
SP00122;SP;2338,000;1648,000;690,000;1510,000;3,000;0,199;1,333;0,182
SP00129;SP;8021,000;5609,000;2412,000;5146,000;3,000;0,058;1,333;0,053
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,444;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;3,000;0,061;1,333;0,054
SP00140;SP;5793,000;3889,000;1904,000;3467,000;2,000;0,058;0,889;0,051
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,444;0,025
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,444;0,018
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,444;0,029
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,444;0,043
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,444;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,444;0,021
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,444;0,024
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,444;0,029
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,444;0,045
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,444;0,044
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,444;0,018
SP00365;SP;5757,000;3680,000;2077,000;3504,000;1,000;0,029;0,444;0,027
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,444;0,026
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,444;0,030
