CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,331;0,018
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,662;0,035
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,331;0,017
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,331;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,662;0,045
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,331;0,052
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,331;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,331;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,331;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,662;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,662;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,331;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,331;0,031
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,331;0,046
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,331;0,039
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,331;0,050
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,331;0,069
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,662;0,053
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,331;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,331;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,662;0,056
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,331;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,331;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,993;0,031
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,331;0,065
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,662;0,045
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,331;0,019
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,662;0,054
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,331;0,030
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,331;0,034
SP00116;SP;13458,000;8809,000;4649,000;8195,000;3,000;0,037;0,993;0,034
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,662;0,025
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,331;0,020
SP00122;SP;2338,000;1648,000;690,000;1510,000;2,000;0,132;0,662;0,121
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,331;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,331;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,331;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;3,000;0,050;0,993;0,044
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,331;0,015
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,331;0,047
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,662;0,056
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,331;0,018
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,331;0,037
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,331;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,331;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,331;0,015
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,331;0,029
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,331;0,078
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,331;0,023
SP00219;SP;5453,000;3846,000;1607,000;3316,000;2,000;0,060;0,662;0,052
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,331;0,034
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,331;0,052
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,331;0,027
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,331;0,083
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,331;0,032
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,331;0,030
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,331;0,021
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,331;0,044
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,331;0,046
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,331;0,025
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,331;0,023
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,331;0,032
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,662;0,065
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,331;0,045
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;0,331;0,046
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,331;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,331;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,331;0,024
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,331;0,082
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,331;0,023
SP00365;SP;5757,000;3680,000;2077,000;3504,000;1,000;0,029;0,331;0,027
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,331;0,026
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,331;0,033
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,331;0,034
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,331;0,019
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,331;0,025
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,331;0,030
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,331;0,030
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,331;0,035
SP00382;SP;1970,000;1370,000;600,000;1292,000;1,000;0,077;0,331;0,073
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;0,331;0,059
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,331;0,032
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,331;0,025
SP00418;SP;1339,000;967,000;372,000;784,000;1,000;0,128;0,331;0,103
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,331;0,033
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,331;0,021
SP00455;SP;4145,000;2936,000;1209,000;2668,000;1,000;0,037;0,331;0,034
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,331;0,023
SP00482;SP;6633,000;4865,000;1768,000;4345,000;3,000;0,069;0,993;0,062
SP00486;SP;4286,000;3178,000;1108,000;2833,000;1,000;0,035;0,331;0,031
SP00495;SP;54,000;40,000;14,000;23,000;1,000;4,348;0,331;2,500
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,331;0,030
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,331;0,046
SP00500;SP;6586,000;4736,000;1850,000;4014,000;2,000;0,050;0,662;0,042
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,331;0,022
SP00508;SP;5317,000;3827,000;1490,000;3334,000;2,000;0,060;0,662;0,052
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,331;0,021
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,331;0,038
SP00520;SP;3065,000;2185,000;880,000;1832,000;2,000;0,109;0,662;0,092
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,331;0,019
SP00542;SP;4842,000;3391,000;1451,000;2867,000;1,000;0,035;0,331;0,029
SP00553;SP;4676,000;3124,000;1552,000;2659,000;1,000;0,038;0,331;0,032
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,331;0,027
SP00589;SP;4702,000;3299,000;1403,000;2808,000;1,000;0,036;0,331;0,030
SP00598;SP;4844,000;3433,000;1411,000;2954,000;3,000;0,102;0,993;0,087
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,331;0,023
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,331;0,026
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,331;0,025
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,331;0,020
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,331;0,013
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,331;0,018
SP00630;SP;5514,000;3774,000;1740,000;3466,000;3,000;0,087;0,993;0,079
SP00632;SP;9851,000;7134,000;2717,000;6537,000;3,000;0,046;0,993;0,042
SP00633;SP;3955,000;2796,000;1159,000;2560,000;1,000;0,039;0,331;0,036
SP00635;SP;5917,000;4054,000;1863,000;3591,000;2,000;0,056;0,662;0,049
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,331;0,026
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,331;0,022
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,331;0,016
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,331;0,021
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,331;0,028
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,331;0,015
SP00657;SP;6658,000;4729,000;1929,000;4302,000;3,000;0,070;0,993;0,063
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,331;0,033
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,331;0,019
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;0,331;0,039
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,331;0,026
SP00682;SP;2306,000;1759,000;547,000;1584,000;1,000;0,063;0,331;0,057
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,331;0,025
SP00684;SP;1542,000;1148,000;394,000;1039,000;3,000;0,289;0,993;0,261
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,331;0,017
SP00695;SP;5738,000;3934,000;1804,000;3443,000;1,000;0,029;0,331;0,025
SP00698;SP;4269,000;3022,000;1247,000;2595,000;1,000;0,039;0,331;0,033
SP00708;SP;5710,000;3952,000;1758,000;3354,000;2,000;0,060;0,662;0,051
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,331;0,028
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,331;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,331;0,017
SP00735;SP;5909,000;4419,000;1490,000;3878,000;2,000;0,052;0,662;0,045
SP00758;SP;4241,000;3341,000;900,000;2876,000;1,000;0,035;0,331;0,030
SP00761;SP;3317,000;2430,000;887,000;2099,000;1,000;0,048;0,331;0,041
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,331;0,018
SP00771;SP;7436,000;5164,000;2272,000;4500,000;2,000;0,044;0,662;0,039
SP00774;SP;7854,000;5792,000;2062,000;5026,000;4,000;0,080;1,325;0,069
SP00790;SP;1404,000;1020,000;384,000;912,000;1,000;0,110;0,331;0,098
SP00798;SP;3561,000;2771,000;790,000;2464,000;1,000;0,041;0,331;0,036
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,331;0,022
SP00823;SP;2754,000;2085,000;669,000;1805,000;1,000;0,055;0,331;0,048
SP00832;SP;4365,000;3114,000;1251,000;2744,000;1,000;0,036;0,331;0,032
SP00837;SP;2272,000;1787,000;485,000;1553,000;1,000;0,064;0,331;0,056
SP00841;SP;6587,000;5004,000;1583,000;4195,000;2,000;0,048;0,662;0,040
SP00843;SP;5641,000;3932,000;1709,000;3203,000;2,000;0,062;0,662;0,051
SP00845;SP;1830,000;1419,000;411,000;1181,000;1,000;0,085;0,331;0,070
SP00847;SP;4082,000;3056,000;1026,000;2550,000;1,000;0,039;0,331;0,033
SP00851;SP;5695,000;3897,000;1798,000;3271,000;1,000;0,031;0,331;0,026
SP00860;SP;3076,000;2411,000;665,000;1994,000;4,000;0,201;1,325;0,166
SP00865;SP;5331,000;4079,000;1252,000;3454,000;1,000;0,029;0,331;0,025
SP00879;SP;5137,000;3540,000;1597,000;2959,000;1,000;0,034;0,331;0,028
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;0,331;0,032
SP00899;SP;3360,000;2430,000;930,000;2195,000;1,000;0,046;0,331;0,041
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;0,331;0,016
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;0,331;0,026
SP00926;SP;5575,000;3935,000;1640,000;3387,000;2,000;0,059;0,662;0,051
SP00946;SP;4553,000;3449,000;1104,000;2787,000;1,000;0,036;0,331;0,029
SP00947;SP;6568,000;4904,000;1664,000;4056,000;1,000;0,025;0,331;0,020
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,331;0,012
SP00965;SP;6230,000;4373,000;1857,000;3908,000;1,000;0,026;0,331;0,023
SP00966;SP;4337,000;2920,000;1417,000;2568,000;1,000;0,039;0,331;0,034
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;0,331;0,033
SP00977;SP;4747,000;3316,000;1431,000;2910,000;1,000;0,034;0,331;0,030
SP00994;SP;3170,000;2321,000;849,000;2062,000;1,000;0,048;0,331;0,043
SP01000;SP;5650,000;4018,000;1632,000;3607,000;1,000;0,028;0,331;0,025
SP01002;SP;3956,000;2855,000;1101,000;2507,000;1,000;0,040;0,331;0,035
SP01003;SP;6014,000;4523,000;1491,000;4108,000;1,000;0,024;0,331;0,022
SP01004;SP;8670,000;6136,000;2534,000;5546,000;2,000;0,036;0,662;0,033
SP01008;SP;3674,000;2717,000;957,000;2363,000;1,000;0,042;0,331;0,037
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;0,331;0,029
SP01024;SP;1053,000;748,000;305,000;632,000;1,000;0,158;0,331;0,134
