CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,087;0,030
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,044;0,028
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,044;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,087;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,044;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,044;0,032
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,044;0,036
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,044;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,044;0,019
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,044;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,044;0,023
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,044;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,087;0,052
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,087;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,044;0,018
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,044;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,044;0,023
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,044;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,044;0,028
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,044;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,044;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,044;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,044;0,010
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,044;0,027
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,044;0,011
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,044;0,020
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,087;0,043
SP00094;SP;3713,000;2680,000;1033,000;2357,000;2,000;0,085;0,087;0,075
SP00096;SP;3961,000;2845,000;1116,000;2437,000;5,000;0,205;0,218;0,176
SP00097;SP;4480,000;3320,000;1160,000;2831,000;24,000;0,848;1,044;0,723
SP00098;SP;5038,000;3701,000;1337,000;3156,000;5,000;0,158;0,218;0,135
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,044;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,044;0,015
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,044;0,035
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,044;0,013
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,044;0,017
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,044;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;2,000;0,071;0,087;0,063
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,044;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,087;0,035
SP00144;SP;5788,000;3963,000;1825,000;3611,000;2,000;0,055;0,087;0,050
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,044;0,028
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,044;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,044;0,025
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,044;0,018
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,044;0,023
