CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,193;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,193;0,017
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,193;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,193;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,193;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,193;0,032
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,193;0,019
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,193;0,052
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,193;0,025
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,193;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,193;0,039
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,193;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,193;0,034
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,193;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,193;0,010
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,193;0,019
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,193;0,011
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,386;0,029
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,193;0,033
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,193;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,193;0,020
