CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;1,000;0,018
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;1,000;0,023
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;1,000;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;2,000;0,035
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;1,000;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;1,000;0,016
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;1,000;0,034
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;1,000;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;1,000;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;1,000;0,010
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;1,000;0,020
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;2,000;0,041
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;1,000;0,015
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;1,000;0,034
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;1,000;0,011
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;1,000;0,018
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;1,000;0,027
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;1,000;0,018
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;1,000;0,034
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;1,000;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;1,000;0,015
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;1,000;0,028
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;1,000;0,039
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;1,000;0,022
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;1,000;0,016
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;1,000;0,029
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;1,000;0,033
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;1,000;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;1,000;0,037
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;1,000;0,044
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;1,000;0,059
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;1,000;0,021
SP00451;SP;1835,000;1413,000;422,000;1250,000;1,000;0,080;1,000;0,071
SP00496;SP;4579,000;3372,000;1207,000;3009,000;2,000;0,066;2,000;0,059
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;1,000;0,026
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;1,000;0,022
SP00587;SP;3697,000;2586,000;1111,000;2332,000;1,000;0,043;1,000;0,039
SP00599;SP;6251,000;4342,000;1909,000;3651,000;2,000;0,055;2,000;0,046
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;1,000;0,020
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;1,000;0,025
SP00630;SP;5514,000;3774,000;1740,000;3466,000;3,000;0,087;3,000;0,079
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;1,000;0,028
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;1,000;0,016
SP00795;SP;5107,000;3746,000;1361,000;3093,000;1,000;0,032;1,000;0,027
SP00809;SP;4931,000;3684,000;1247,000;3295,000;1,000;0,030;1,000;0,027
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;1,000;0,027
SP00843;SP;5641,000;3932,000;1709,000;3203,000;1,000;0,031;1,000;0,025
SP00882;SP;1968,000;1497,000;471,000;1197,000;1,000;0,084;1,000;0,067
SP00899;SP;3360,000;2430,000;930,000;2195,000;1,000;0,046;1,000;0,041
SP00904;SP;1355,000;1053,000;302,000;902,000;1,000;0,111;1,000;0,095
SP00906;SP;1659,000;1267,000;392,000;1089,000;1,000;0,092;1,000;0,079
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;1,000;0,026
SP00938;SP;7741,000;5514,000;2227,000;4610,000;1,000;0,022;1,000;0,018
SP00967;SP;4335,000;3041,000;1294,000;2679,000;1,000;0,037;1,000;0,033
SP00971;SP;4461,000;3050,000;1411,000;2736,000;1,000;0,037;1,000;0,033
SP01010;SP;2767,000;2011,000;756,000;1774,000;2,000;0,113;2,000;0,099
SP01013;SP;5581,000;4094,000;1487,000;3585,000;1,000;0,028;1,000;0,024
SP01030;SP;3473,000;2728,000;745,000;2337,000;1,000;0,043;1,000;0,037
SP01035;SP;6691,000;4957,000;1734,000;4181,000;1,000;0,024;1,000;0,020
SP01042;SP;4324,000;3222,000;1102,000;2725,000;1,000;0,037;1,000;0,031
SP01154;SP;7187,000;5411,000;1776,000;4524,000;3,000;0,066;3,000;0,055
SP01212;SP;7434,000;5663,000;1771,000;4627,000;1,000;0,022;1,000;0,018
SP01236;SP;4335,000;3024,000;1311,000;2493,000;1,000;0,040;1,000;0,033
SP01244;SP;3449,000;2654,000;795,000;2184,000;1,000;0,046;1,000;0,038
SP01343;SP;2274,000;1747,000;527,000;1438,000;1,000;0,070;1,000;0,057
SP01351;SP;1693,000;1310,000;383,000;1037,000;1,000;0,096;1,000;0,076
SP01361;SP;7818,000;5512,000;2306,000;4598,000;2,000;0,043;2,000;0,036
SP01363;SP;5696,000;3998,000;1698,000;3277,000;1,000;0,031;1,000;0,025
SP01367;SP;4323,000;3020,000;1303,000;2537,000;1,000;0,039;1,000;0,033
SP01375;SP;4586,000;3582,000;1004,000;2958,000;1,000;0,034;1,000;0,028
