CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,141;0,024
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,141;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,141;0,031
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,141;0,031
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,141;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,282;0,016
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,141;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,141;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,141;0,012
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,141;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,141;0,026
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,282;0,037
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,141;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,141;0,039
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,141;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,141;0,032
SP00056;SP;5794,000;3640,000;2154,000;3156,000;3,000;0,095;0,424;0,082
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,282;0,067
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,141;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,141;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,282;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;3,000;0,066;0,424;0,058
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,141;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,282;0,022
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,141;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,141;0,020
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,424;0,053
SP00093;SP;4638,000;3524,000;1114,000;3163,000;2,000;0,063;0,282;0,057
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,141;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;3,000;0,064;0,424;0,056
SP00098;SP;5038,000;3701,000;1337,000;3156,000;4,000;0,127;0,565;0,108
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;0,282;0,060
SP00102;SP;4710,000;2822,000;1888,000;2446,000;3,000;0,123;0,424;0,106
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,141;0,033
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,141;0,014
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,141;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,141;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,141;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,141;0,020
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,141;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,141;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,141;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;4,000;0,067;0,565;0,058
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,282;0,040
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,141;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,141;0,018
SP00146;SP;7336,000;5404,000;1932,000;4752,000;2,000;0,042;0,282;0,037
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,141;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;10,000;0,248;1,412;0,205
SP00160;SP;7072,000;5254,000;1818,000;4369,000;8,000;0,183;1,130;0,152
SP00163;SP;6612,000;4970,000;1642,000;4153,000;4,000;0,096;0,565;0,080
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,141;0,026
SP00168;SP;4204,000;3050,000;1154,000;2550,000;7,000;0,275;0,989;0,230
SP00174;SP;4271,000;3221,000;1050,000;2581,000;9,000;0,349;1,271;0,279
SP00198;SP;9846,000;7057,000;2789,000;6333,000;3,000;0,047;0,424;0,043
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,141;0,078
SP00216;SP;2036,000;1558,000;478,000;1384,000;1,000;0,072;0,141;0,064
SP00224;SP;4682,000;3295,000;1387,000;2841,000;2,000;0,070;0,282;0,061
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,141;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,141;0,023
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,141;0,022
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,141;0,021
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,141;0,025
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,141;0,031
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,141;0,020
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,141;0,030
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,141;0,056
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,141;0,035
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,141;0,024
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,141;0,042
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,141;0,054
SP00321;SP;4314,000;3059,000;1255,000;2771,000;3,000;0,108;0,424;0,098
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,141;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,141;0,037
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,141;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,141;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;2,000;0,054;0,282;0,049
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,141;0,068
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,141;0,019
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,141;0,082
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,141;0,023
SP00369;SP;4203,000;2956,000;1247,000;2789,000;2,000;0,072;0,282;0,068
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,141;0,030
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,141;0,036
SP00395;SP;7319,000;5036,000;2283,000;4255,000;2,000;0,047;0,282;0,040
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,141;0,056
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,141;0,031
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,141;0,019
SP00414;SP;2489,000;1977,000;512,000;1655,000;1,000;0,060;0,141;0,051
SP00422;SP;10320,000;7595,000;2725,000;6744,000;4,000;0,059;0,565;0,053
SP00425;SP;6519,000;4845,000;1674,000;4356,000;7,000;0,161;0,989;0,144
SP00426;SP;6948,000;4982,000;1966,000;4433,000;19,000;0,429;2,684;0,381
SP00427;SP;4605,000;3414,000;1191,000;3042,000;6,000;0,197;0,847;0,176
SP00429;SP;5111,000;3592,000;1519,000;3236,000;7,000;0,216;0,989;0,195
SP00430;SP;8129,000;5971,000;2158,000;5396,000;4,000;0,074;0,565;0,067
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;0,141;0,032
SP00432;SP;3964,000;2754,000;1210,000;2401,000;3,000;0,125;0,424;0,109
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,141;0,028
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,141;0,019
SP00436;SP;2845,000;1967,000;878,000;1697,000;2,000;0,118;0,282;0,102
SP00437;SP;4783,000;3440,000;1343,000;3049,000;2,000;0,066;0,282;0,058
SP00438;SP;3263,000;2333,000;930,000;2012,000;1,000;0,050;0,141;0,043
SP00440;SP;4147,000;2940,000;1207,000;2548,000;3,000;0,118;0,424;0,102
SP00441;SP;4817,000;3411,000;1406,000;2965,000;1,000;0,034;0,141;0,029
SP00443;SP;5342,000;3920,000;1422,000;3502,000;7,000;0,200;0,989;0,179
SP00447;SP;4015,000;3076,000;939,000;2611,000;2,000;0,077;0,282;0,065
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,141;0,021
SP00452;SP;3018,000;2212,000;806,000;1929,000;3,000;0,156;0,424;0,136
SP00453;SP;1256,000;908,000;348,000;767,000;1,000;0,130;0,141;0,110
SP00466;SP;6038,000;4389,000;1649,000;3812,000;2,000;0,052;0,282;0,046
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,141;0,021
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,141;0,020
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,141;0,046
SP00500;SP;6586,000;4736,000;1850,000;4014,000;2,000;0,050;0,282;0,042
SP00502;SP;6808,000;4910,000;1898,000;4207,000;2,000;0,048;0,282;0,041
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,141;0,022
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,141;0,033
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,141;0,038
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,141;0,029
SP00543;SP;8077,000;5459,000;2618,000;4653,000;2,000;0,043;0,282;0,037
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,141;0,032
SP00548;SP;4404,000;2954,000;1450,000;2590,000;1,000;0,039;0,141;0,034
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,141;0,031
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,141;0,025
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,141;0,024
SP00557;SP;5966,000;4380,000;1586,000;3694,000;1,000;0,027;0,141;0,023
SP00568;SP;4355,000;3188,000;1167,000;2856,000;1,000;0,035;0,141;0,031
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,141;0,017
SP00584;SP;2542,000;1782,000;760,000;1552,000;1,000;0,064;0,141;0,056
SP00591;SP;6263,000;4400,000;1863,000;3772,000;2,000;0,053;0,282;0,045
SP00595;SP;3557,000;2586,000;971,000;2244,000;1,000;0,045;0,141;0,039
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,141;0,033
SP00602;SP;3850,000;2848,000;1002,000;2482,000;1,000;0,040;0,141;0,035
SP00616;SP;3937,000;3054,000;883,000;2687,000;1,000;0,037;0,141;0,033
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,141;0,025
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,141;0,023
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,141;0,020
SP00641;SP;6983,000;4703,000;2280,000;4242,000;5,000;0,118;0,706;0,106
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,141;0,038
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,141;0,039
SP00653;SP;9758,000;6871,000;2887,000;6317,000;2,000;0,032;0,282;0,029
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,141;0,025
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,141;0,018
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,141;0,021
SP00659;SP;4066,000;2843,000;1223,000;2587,000;1,000;0,039;0,141;0,035
SP00664;SP;4189,000;2951,000;1238,000;2669,000;2,000;0,075;0,282;0,068
SP00665;SP;4690,000;3236,000;1454,000;2925,000;1,000;0,034;0,141;0,031
