CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,131;0,023
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,262;0,056
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,131;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,131;0,008
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,131;0,023
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,131;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,131;0,023
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,131;0,031
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,262;0,035
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,262;0,033
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,131;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,131;0,050
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,131;0,069
SP00059;SP;6072,000;4040,000;2032,000;3525,000;5,000;0,142;0,655;0,124
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,131;0,024
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,262;0,067
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,131;0,025
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,131;0,052
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,131;0,024
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,262;0,054
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,262;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;4,000;0,089;0,524;0,078
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,131;0,017
SP00097;SP;4480,000;3320,000;1160,000;2831,000;2,000;0,071;0,262;0,060
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,131;0,015
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,131;0,028
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,131;0,030
SP00135;SP;10099,000;6853,000;3246,000;5983,000;3,000;0,050;0,393;0,044
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,131;0,025
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,131;0,021
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,131;0,031
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,131;0,015
SP00212;SP;5586,000;4124,000;1462,000;3719,000;3,000;0,081;0,393;0,073
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,131;0,026
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,131;0,029
SP00233;SP;2180,000;1518,000;662,000;1306,000;1,000;0,077;0,131;0,066
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,131;0,029
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,131;0,026
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,131;0,023
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,131;0,025
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,131;0,067
SP00294;SP;5157,000;3659,000;1498,000;3309,000;1,000;0,030;0,131;0,027
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,131;0,033
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,131;0,056
SP00306;SP;5275,000;3647,000;1628,000;3252,000;3,000;0,092;0,393;0,082
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,131;0,042
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,131;0,037
SP00312;SP;3428,000;2474,000;954,000;2235,000;2,000;0,089;0,262;0,081
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,131;0,032
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,131;0,033
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;0,262;0,036
SP00324;SP;4770,000;3319,000;1451,000;2949,000;2,000;0,068;0,262;0,060
SP00325;SP;4286,000;3094,000;1192,000;2780,000;3,000;0,108;0,393;0,097
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,131;0,044
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,131;0,037
SP00341;SP;3178,000;2297,000;881,000;2077,000;2,000;0,096;0,262;0,087
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,131;0,024
SP00346;SP;1595,000;1205,000;390,000;1113,000;1,000;0,090;0,131;0,083
SP00347;SP;3164,000;2342,000;822,000;2145,000;4,000;0,186;0,524;0,171
SP00350;SP;1278,000;961,000;317,000;845,000;1,000;0,118;0,131;0,104
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,131;0,055
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,131;0,068
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,131;0,023
SP00377;SP;4059,000;2893,000;1166,000;2693,000;2,000;0,074;0,262;0,069
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,131;0,036
SP00399;SP;4200,000;2969,000;1231,000;2600,000;3,000;0,115;0,393;0,101
SP00401;SP;6075,000;4286,000;1789,000;3723,000;2,000;0,054;0,262;0,047
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,131;0,027
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,131;0,033
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,131;0,020
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,131;0,017
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,131;0,055
SP00447;SP;4015,000;3076,000;939,000;2611,000;2,000;0,077;0,262;0,065
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,131;0,026
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,131;0,031
SP00476;SP;5975,000;4311,000;1664,000;3817,000;2,000;0,052;0,262;0,046
SP00499;SP;6834,000;4904,000;1930,000;4285,000;2,000;0,047;0,262;0,041
SP00502;SP;6808,000;4910,000;1898,000;4207,000;2,000;0,048;0,262;0,041
SP00506;SP;4319,000;3065,000;1254,000;2647,000;2,000;0,076;0,262;0,065
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;0,131;0,026
SP00510;SP;6209,000;4329,000;1880,000;3594,000;2,000;0,056;0,262;0,046
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,131;0,019
SP00516;SP;6938,000;4877,000;2061,000;4090,000;2,000;0,049;0,262;0,041
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,131;0,024
SP00522;SP;4695,000;3519,000;1176,000;2921,000;3,000;0,103;0,393;0,085
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,131;0,022
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,131;0,086
SP00531;SP;6972,000;5267,000;1705,000;4395,000;2,000;0,046;0,262;0,038
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;0,131;0,024
SP00546;SP;4580,000;3085,000;1495,000;2705,000;2,000;0,074;0,262;0,065
SP00548;SP;4404,000;2954,000;1450,000;2590,000;1,000;0,039;0,131;0,034
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,131;0,031
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,131;0,025
SP00558;SP;5547,000;4114,000;1433,000;3404,000;1,000;0,029;0,131;0,024
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;0,131;0,020
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,131;0,033
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;0,131;0,027
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,131;0,019
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,131;0,039
SP00602;SP;3850,000;2848,000;1002,000;2482,000;1,000;0,040;0,131;0,035
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,131;0,025
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;0,131;0,023
SP00638;SP;6804,000;4640,000;2164,000;4208,000;4,000;0,095;0,524;0,086
SP00639;SP;9027,000;6272,000;2755,000;5745,000;3,000;0,052;0,393;0,048
SP00644;SP;5516,000;3931,000;1585,000;3555,000;1,000;0,028;0,131;0,025
SP00665;SP;4690,000;3236,000;1454,000;2925,000;2,000;0,068;0,262;0,062
SP00679;SP;4304,000;3017,000;1287,000;2683,000;1,000;0,037;0,131;0,033
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,131;0,015
SP00710;SP;3923,000;2817,000;1106,000;2427,000;1,000;0,041;0,131;0,035
SP00733;SP;6587,000;4986,000;1601,000;4131,000;1,000;0,024;0,131;0,020
SP00756;SP;3235,000;2278,000;957,000;1971,000;1,000;0,051;0,131;0,044
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,131;0,022
SP00770;SP;6150,000;4203,000;1947,000;3615,000;2,000;0,055;0,262;0,048
SP00778;SP;7392,000;5180,000;2212,000;4241,000;1,000;0,024;0,131;0,019
SP00780;SP;3820,000;2943,000;877,000;2559,000;5,000;0,195;0,655;0,170
SP00803;SP;3495,000;2525,000;970,000;2040,000;2,000;0,098;0,262;0,079
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,131;0,020
SP00806;SP;5119,000;3556,000;1563,000;3097,000;1,000;0,032;0,131;0,028
SP00808;SP;5967,000;4362,000;1605,000;3844,000;1,000;0,026;0,131;0,023
SP00809;SP;4931,000;3684,000;1247,000;3295,000;3,000;0,091;0,393;0,081
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,131;0,033
SP00811;SP;4790,000;3322,000;1468,000;2896,000;8,000;0,276;1,048;0,241
SP00812;SP;6537,000;4507,000;2030,000;3857,000;9,000;0,233;1,180;0,200
SP00813;SP;5405,000;3715,000;1690,000;3298,000;6,000;0,182;0,786;0,162
SP00815;SP;4827,000;3371,000;1456,000;2943,000;4,000;0,136;0,524;0,119
SP00816;SP;4010,000;2677,000;1333,000;2281,000;1,000;0,044;0,131;0,037
SP00817;SP;5075,000;3549,000;1526,000;2989,000;1,000;0,033;0,131;0,028
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,131;0,027
SP00820;SP;2998,000;2256,000;742,000;1983,000;2,000;0,101;0,262;0,089
SP00821;SP;3156,000;2353,000;803,000;2019,000;1,000;0,050;0,131;0,042
SP00822;SP;1894,000;1440,000;454,000;1247,000;1,000;0,080;0,131;0,069
SP00823;SP;2754,000;2085,000;669,000;1805,000;4,000;0,222;0,524;0,192
SP00824;SP;5510,000;4207,000;1303,000;3616,000;4,000;0,111;0,524;0,095
SP00825;SP;3960,000;3079,000;881,000;2727,000;8,000;0,293;1,048;0,260
SP00827;SP;7530,000;5704,000;1826,000;4991,000;2,000;0,040;0,262;0,035
SP00838;SP;4893,000;3681,000;1212,000;3136,000;2,000;0,064;0,262;0,054
SP00841;SP;6587,000;5004,000;1583,000;4195,000;1,000;0,024;0,131;0,020
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,131;0,023
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;0,131;0,035
SP00859;SP;4366,000;3337,000;1029,000;2773,000;1,000;0,036;0,131;0,030
SP00884;SP;6025,000;4117,000;1908,000;3528,000;71,000;2,012;9,305;1,725
SP00885;SP;3760,000;2696,000;1064,000;2288,000;6,000;0,262;0,786;0,223
SP00887;SP;2549,000;1778,000;771,000;1536,000;3,000;0,195;0,393;0,169
SP00888;SP;3225,000;2422,000;803,000;2160,000;2,000;0,093;0,262;0,083
SP00889;SP;4118,000;2831,000;1287,000;2529,000;7,000;0,277;0,917;0,247
SP00890;SP;6506,000;4670,000;1836,000;4087,000;11,000;0,269;1,442;0,236
SP00891;SP;6195,000;4624,000;1571,000;4037,000;16,000;0,396;2,097;0,346
SP00892;SP;4485,000;3072,000;1413,000;2701,000;11,000;0,407;1,442;0,358
