CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,339;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,339;0,028
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,339;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,339;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,339;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,339;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,678;0,045
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,339;0,031
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,339;0,050
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,678;0,055
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,678;0,020
SP00075;SP;2374,000;1530,000;844,000;1347,000;2,000;0,148;0,678;0,131
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,339;0,019
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,339;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,678;0,022
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,339;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,339;0,030
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,339;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,339;0,058
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,339;0,012
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,339;0,029
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,339;0,078
SP00270;SP;6129,000;4512,000;1617,000;3803,000;2,000;0,053;0,678;0,044
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,339;0,061
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,339;0,074
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,339;0,078
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,339;0,037
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,339;0,068
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,339;0,028
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,339;0,050
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,339;0,023
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,339;0,032
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,339;0,027
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,339;0,030
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,339;0,020
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,339;0,032
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,339;0,027
SP00584;SP;2542,000;1782,000;760,000;1552,000;1,000;0,064;0,339;0,056
SP00586;SP;2592,000;1953,000;639,000;1703,000;1,000;0,059;0,339;0,051
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,339;0,019
SP00595;SP;3557,000;2586,000;971,000;2244,000;1,000;0,045;0,339;0,039
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,339;0,023
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,339;0,029
SP00609;SP;2139,000;1671,000;468,000;1413,000;2,000;0,142;0,678;0,120
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,339;0,025
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;0,339;0,039
SP00704;SP;5896,000;4329,000;1567,000;3685,000;1,000;0,027;0,339;0,023
SP00761;SP;3317,000;2430,000;887,000;2099,000;1,000;0,048;0,339;0,041
SP00784;SP;3105,000;2329,000;776,000;1939,000;1,000;0,052;0,339;0,043
SP00841;SP;6587,000;5004,000;1583,000;4195,000;1,000;0,024;0,339;0,020
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,339;0,023
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;0,339;0,035
SP00874;SP;3637,000;2753,000;884,000;2278,000;1,000;0,044;0,339;0,036
SP00886;SP;3614,000;2519,000;1095,000;2153,000;1,000;0,046;0,339;0,040
SP00949;SP;6028,000;4426,000;1602,000;3627,000;1,000;0,028;0,339;0,023
SP01021;SP;5856,000;4048,000;1808,000;3411,000;1,000;0,029;0,339;0,025
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,339;0,031
SP01028;SP;4443,000;3184,000;1259,000;2685,000;1,000;0,037;0,339;0,031
SP01036;SP;4224,000;3283,000;941,000;2773,000;1,000;0,036;0,339;0,030
SP01042;SP;4324,000;3222,000;1102,000;2725,000;1,000;0,037;0,339;0,031
SP01063;SP;4282,000;3023,000;1259,000;2516,000;2,000;0,079;0,678;0,066
SP01068;SP;3742,000;2791,000;951,000;2367,000;1,000;0,042;0,339;0,036
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;0,339;0,013
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,339;0,016
SP01123;SP;8211,000;5806,000;2405,000;4970,000;13,000;0,262;4,407;0,224
SP01124;SP;6479,000;4476,000;2003,000;3780,000;1,000;0,026;0,339;0,022
SP01125;SP;3476,000;2517,000;959,000;2129,000;5,000;0,235;1,695;0,199
SP01126;SP;6161,000;4278,000;1883,000;3664,000;4,000;0,109;1,356;0,094
SP01127;SP;7942,000;5676,000;2266,000;4893,000;1,000;0,020;0,339;0,018
SP01130;SP;6066,000;4251,000;1815,000;3689,000;1,000;0,027;0,339;0,024
SP01131;SP;5996,000;4609,000;1387,000;3959,000;2,000;0,051;0,678;0,043
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;0,339;0,025
SP01133;SP;5893,000;4168,000;1725,000;3571,000;1,000;0,028;0,339;0,024
SP01134;SP;4563,000;3326,000;1237,000;2843,000;2,000;0,070;0,678;0,060
SP01135;SP;5468,000;3955,000;1513,000;3382,000;87,000;2,572;29,492;2,200
SP01136;SP;6560,000;4999,000;1561,000;4267,000;5,000;0,117;1,695;0,100
SP01138;SP;3414,000;2601,000;813,000;2219,000;1,000;0,045;0,339;0,038
SP01139;SP;2703,000;2011,000;692,000;1677,000;2,000;0,119;0,678;0,099
SP01140;SP;4702,000;3629,000;1073,000;3096,000;2,000;0,065;0,678;0,055
SP01141;SP;6662,000;5002,000;1660,000;4271,000;23,000;0,539;7,797;0,460
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;0,339;0,026
SP01144;SP;3086,000;2381,000;705,000;2043,000;4,000;0,196;1,356;0,168
SP01146;SP;4300,000;3212,000;1088,000;2676,000;2,000;0,075;0,678;0,062
SP01147;SP;2332,000;1719,000;613,000;1447,000;1,000;0,069;0,339;0,058
SP01149;SP;3540,000;2733,000;807,000;2341,000;4,000;0,171;1,356;0,146
SP01152;SP;1143,000;876,000;267,000;745,000;2,000;0,268;0,678;0,228
SP01153;SP;12021,000;8675,000;3346,000;7258,000;4,000;0,055;1,356;0,046
SP01154;SP;7187,000;5411,000;1776,000;4524,000;1,000;0,022;0,339;0,018
SP01157;SP;6773,000;5060,000;1713,000;4280,000;1,000;0,023;0,339;0,020
SP01161;SP;2722,000;2141,000;581,000;1793,000;1,000;0,056;0,339;0,047
SP01191;SP;7205,000;5151,000;2054,000;4314,000;1,000;0,023;0,339;0,019
SP01221;SP;4891,000;3743,000;1148,000;3051,000;1,000;0,033;0,339;0,027
SP01233;SP;3348,000;2374,000;974,000;1949,000;1,000;0,051;0,339;0,042
SP01245;SP;7927,000;6126,000;1801,000;5200,000;1,000;0,019;0,339;0,016
SP01277;SP;5451,000;4180,000;1271,000;3551,000;1,000;0,028;0,339;0,024
SP01286;SP;5329,000;4185,000;1144,000;3573,000;1,000;0,028;0,339;0,024
SP01304;SP;3849,000;2885,000;964,000;2389,000;1,000;0,042;0,339;0,035
SP01412;SP;6509,000;4892,000;1617,000;4139,000;1,000;0,024;0,339;0,020
SP01445;SP;5567,000;4250,000;1317,000;3503,000;1,000;0,029;0,339;0,024
SP01462;SP;7003,000;5161,000;1842,000;4135,000;2,000;0,048;0,678;0,039
SP01471;SP;1901,000;1496,000;405,000;1225,000;2,000;0,163;0,678;0,134
SP01615;SP;1988,000;1563,000;425,000;1367,000;2,000;0,146;0,678;0,128
SP01618;SP;8129,000;6088,000;2041,000;4942,000;2,000;0,040;0,678;0,033
SP01621;SP;5101,000;3838,000;1263,000;3203,000;2,000;0,062;0,678;0,052
SP01652;SP;5410,000;3880,000;1530,000;3273,000;1,000;0,031;0,339;0,026
SP01667;SP;1115,000;846,000;269,000;684,000;1,000;0,146;0,339;0,118
SP01718;SP;6133,000;4462,000;1671,000;3746,000;1,000;0,027;0,339;0,022
SP01727;SP;4196,000;3134,000;1062,000;2630,000;2,000;0,076;0,678;0,064
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;0,339;0,028
SP01753;SP;5888,000;4237,000;1651,000;3550,000;1,000;0,028;0,339;0,024
SP01768;SP;5069,000;3536,000;1533,000;2973,000;2,000;0,067;0,678;0,057
SP01780;SP;6187,000;4519,000;1668,000;3758,000;1,000;0,027;0,339;0,022
SP01799;SP;7489,000;5627,000;1862,000;4802,000;1,000;0,021;0,339;0,018
SP01802;SP;4568,000;3396,000;1172,000;2879,000;1,000;0,035;0,339;0,029
SP01814;SP;4705,000;3560,000;1145,000;2954,000;1,000;0,034;0,339;0,028
SP01833;SP;6103,000;4442,000;1661,000;3955,000;1,000;0,025;0,339;0,023
SP01866;SP;4946,000;3465,000;1481,000;3008,000;1,000;0,033;0,339;0,029
SP01872;SP;7613,000;5835,000;1778,000;5033,000;1,000;0,020;0,339;0,017
SP01878;SP;4970,000;3583,000;1387,000;2983,000;1,000;0,034;0,339;0,028
SP01881;SP;7339,000;5302,000;2037,000;4562,000;1,000;0,022;0,339;0,019
SP01932;SP;6660,000;4948,000;1712,000;3975,000;1,000;0,025;0,339;0,020
SP01957;SP;4354,000;2954,000;1400,000;2548,000;1,000;0,039;0,339;0,034
SP01989;SP;5992,000;4344,000;1648,000;3718,000;1,000;0,027;0,339;0,023
SP01990;SP;6386,000;4883,000;1503,000;4034,000;1,000;0,025;0,339;0,020
SP01993;SP;5680,000;4331,000;1349,000;3584,000;1,000;0,028;0,339;0,023
SP01994;SP;8040,000;6246,000;1794,000;5147,000;2,000;0,039;0,678;0,032
SP01995;SP;5916,000;4532,000;1384,000;3685,000;1,000;0,027;0,339;0,022
SP01996;SP;4065,000;3200,000;865,000;2650,000;3,000;0,113;1,017;0,094
SP02001;SP;3226,000;2487,000;739,000;1984,000;1,000;0,050;0,339;0,040
SP02002;SP;3675,000;2757,000;918,000;2297,000;1,000;0,044;0,339;0,036
SP02008;SP;2358,000;1843,000;515,000;1542,000;1,000;0,065;0,339;0,054
