CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,669;0,049
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,334;0,019
SP00013;SP;4269,000;2958,000;1311,000;2742,000;4,000;0,146;1,338;0,135
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,334;0,028
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,334;0,036
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,334;0,019
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,669;0,024
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,334;0,026
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,334;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,334;0,018
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,669;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,334;0,016
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,669;0,098
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,334;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,334;0,011
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,334;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,334;0,018
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,334;0,023
SP00095;SP;7262,000;5378,000;1884,000;4657,000;4,000;0,086;1,338;0,074
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,334;0,035
SP00107;SP;5091,000;3438,000;1653,000;3201,000;2,000;0,062;0,669;0,058
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,334;0,011
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,334;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;4,000;0,068;1,338;0,061
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,669;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,334;0,019
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,334;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,334;0,020
SP00140;SP;5793,000;3889,000;1904,000;3467,000;3,000;0,087;1,003;0,077
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,334;0,033
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,334;0,025
