CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,755;0,064
SP00034;SP;5401,000;3246,000;2155,000;2941,000;2,000;0,068;0,755;0,062
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,377;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,755;0,037
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,377;0,015
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,377;0,031
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,377;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,377;0,021
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,377;0,021
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,377;0,034
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,377;0,052
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,377;0,030
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,377;0,021
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,377;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;4,000;0,108;1,509;0,089
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,377;0,046
SP00249;SP;3623,000;2627,000;996,000;2284,000;2,000;0,088;0,755;0,076
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,377;0,035
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,377;0,029
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,377;0,020
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,377;0,025
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,377;0,021
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,377;0,030
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,377;0,022
SP00271;SP;6516,000;4689,000;1827,000;3929,000;2,000;0,051;0,755;0,043
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,377;0,025
SP00275;SP;4248,000;3284,000;964,000;2804,000;3,000;0,107;1,132;0,091
SP00278;SP;3874,000;2884,000;990,000;2434,000;2,000;0,082;0,755;0,069
SP00279;SP;3855,000;2853,000;1002,000;2307,000;4,000;0,173;1,509;0,140
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,377;0,021
