CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,407;0,030
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,204;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,204;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,204;0,024
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,204;0,016
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,204;0,026
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,204;0,019
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,204;0,019
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,407;0,035
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,407;0,060
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,204;0,016
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,407;0,053
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,204;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,204;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,407;0,056
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,204;0,025
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,204;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,204;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,204;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,204;0,018
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,407;0,043
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,204;0,027
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,204;0,015
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,204;0,043
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,204;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,204;0,020
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,204;0,026
SP00149;SP;3452,000;2590,000;862,000;2234,000;3,000;0,134;0,611;0,116
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,204;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;2,000;0,050;0,407;0,042
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,407;0,041
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,204;0,108
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,204;0,017
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,407;0,040
SP00164;SP;5864,000;4364,000;1500,000;3543,000;2,000;0,056;0,407;0,046
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,204;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,407;0,041
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,204;0,033
