CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,137;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,137;0,024
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,137;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,137;0,023
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,137;0,023
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,137;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,137;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,137;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,137;0,017
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,275;0,064
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,275;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,137;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,137;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,137;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,137;0,034
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,137;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,275;0,048
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,137;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,137;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,137;0,024
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,137;0,031
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,137;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,137;0,023
