CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;3,175;0,041
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;1,587;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;5,000;0,156;7,937;0,133
SP00055;SP;8226,000;5391,000;2835,000;4660,000;4,000;0,086;6,349;0,074
SP00057;SP;4525,000;2909,000;1616,000;2485,000;8,000;0,322;12,698;0,275
SP00058;SP;5387,000;3548,000;1839,000;3095,000;3,000;0,097;4,762;0,085
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;1,587;0,025
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;3,175;0,039
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;1,587;0,020
SP00084;SP;8514,000;5960,000;2554,000;5282,000;3,000;0,057;4,762;0,050
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;1,587;0,012
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;1,587;0,015
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;1,587;0,027
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;1,587;0,039
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;1,587;0,026
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;1,587;0,020
SP00483;SP;2523,000;1867,000;656,000;1612,000;1,000;0,062;1,587;0,054
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;1,587;0,021
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;1,587;0,024
SP00543;SP;8077,000;5459,000;2618,000;4653,000;4,000;0,086;6,349;0,073
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;1,587;0,027
SP00689;SP;6259,000;4395,000;1864,000;3885,000;1,000;0,026;1,587;0,023
SP00712;SP;7054,000;5112,000;1942,000;4323,000;1,000;0,023;1,587;0,020
SP00795;SP;5107,000;3746,000;1361,000;3093,000;1,000;0,032;1,587;0,027
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;1,587;0,018
SP01019;SP;3579,000;2715,000;864,000;2251,000;1,000;0,044;1,587;0,037
SP01044;SP;4726,000;3643,000;1083,000;3151,000;1,000;0,032;1,587;0,027
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;1,587;0,020
SP01079;SP;8588,000;6157,000;2431,000;5169,000;2,000;0,039;3,175;0,032
SP01085;SP;3957,000;3131,000;826,000;2527,000;1,000;0,040;1,587;0,032
SP01182;SP;5929,000;4415,000;1514,000;3910,000;1,000;0,026;1,587;0,023
SP01360;SP;4177,000;2805,000;1372,000;2337,000;1,000;0,043;1,587;0,036
SP01576;SP;4532,000;3498,000;1034,000;2944,000;1,000;0,034;1,587;0,029
SP01798;SP;7205,000;5180,000;2025,000;4415,000;1,000;0,023;1,587;0,019
SP01859;SP;6287,000;4438,000;1849,000;3780,000;1,000;0,026;1,587;0,023
SP01893;SP;6981,000;4853,000;2128,000;4154,000;2,000;0,048;3,175;0,041
SP02027;SP;5306,000;3655,000;1651,000;3143,000;1,000;0,032;1,587;0,027
SP02051;SP;4627,000;3564,000;1063,000;3165,000;1,000;0,032;1,587;0,028
